chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	94	80	135	90	8.36	10956.64	66649	2024-05-09 02:00:00	5.82	False	True	True	True	4	1a1722	0.0006664	52.96	52.96	52.96	24.64	2024-05-09 04:05:49.498055
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	105	84	188	134	6.7	10174.71	56435	2024-05-09 02:00:00	8.09	False	True	True	True	4	1a1722	0.0005643	29.52	29.52	29.52	3.87	2024-05-09 04:08:05.119930
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	115	102	243	187	5.68	10262.27	55849	2024-05-09 02:00:00	10.33	False	True	True	True	4	1a1722	0.0005584	28.17	28.17	28.17	6.44	2024-05-09 04:10:19.734396
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	95	87	294	232	3.88	10696.59	59455	2024-05-09 02:00:00	12.68	False	True	True	True	4	1a1722	0.0005945	36.45	36.45	36.45	27.76	2024-05-09 04:12:40.581357
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	89	82	336	273	3.18	10696.11	58412	2024-05-09 02:00:00	14.93	False	True	True	True	4	1a1722	0.0005841	34.06	34.06	34.06	3.41	2024-05-09 04:14:55.987057
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	69	75	398	340	2.08	10561.08	55246	2024-05-09 02:00:00	19.51	False	True	True	True	4	1a1722	0.0005524	26.79	26.79	26.79	2.82	2024-05-09 04:19:30.887803
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	66	72	439	381	1.8	10532.89	53948	2024-05-09 02:00:00	21.78	False	True	True	True	4	1a1722	0.0005394	23.81	23.81	23.81	8.13	2024-05-09 04:21:46.803014
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	64	67	462	407	1.66	10495.8	52799	2024-05-09 02:00:00	24.05	False	True	True	True	4	1a1722	0.0005279	21.17	21.17	21.17	-4.43	2024-05-09 04:24:02.899072
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	24	20	493	434	0.58	11249.95	59984	2024-05-09 02:00:00	28.58	False	True	True	True	4	1a1722	0.0005998	37.66	37.66	37.66	29.7	2024-05-09 04:28:34.559477
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	37	30	515	452	0.86	11665.04	63939	2024-05-09 02:00:00	30.82	False	True	True	True	4	1a1722	0.0006393	46.74	46.74	46.74	10.17	2024-05-09 04:30:49.041625
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	57	50	546	480	1.25	11850.49	65091	2024-05-09 02:00:00	33.08	False	True	True	True	4	1a1722	0.0006509	49.38	49.38	49.38	9.78	2024-05-09 04:33:04.836187
solana	raydium	FxQnmHb4kgMMAF6nWfzTjqANbjuUNuHV4ukKF6bB7J1G	6FQQzB9vxfMyP3EQYATb9wZo81PqZV2av7TXLYFHvYNX	Popo	POPO	61	61	574	511	1.28	12996.69	77433	2024-05-09 02:00:00	35.33	False	True	True	True	4	1a1722	0.0007743	77.71	77.71	77.71	21.82	2024-05-09 04:35:20.037777
