chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	316	152	316	152	12.0	35697.34	123889	2024-05-06 22:57:33	3.98	False	True	True	True	3	806e86	0.0001238	85.69	85.69	85.69	85.69	2024-05-07 01:01:31.813411
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	295	182	462	231	7.66	42604.16	175172	2024-05-06 22:57:33	6.18	False	True	True	True	3	806e86	0.0001751	163	163	163	145	2024-05-07 01:03:43.549133
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	292	175	617	333	5.68	45300.89	197551	2024-05-06 22:57:33	8.4	False	True	True	True	3	806e86	0.0001975	196	196	196	62.66	2024-05-07 01:05:56.850095
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	310	196	749	420	4.97	45681.51	199289	2024-05-06 22:57:33	10.59	False	True	True	True	3	806e86	0.0001992	199	199	199	57.4	2024-05-07 01:08:08.666029
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	300	206	882	518	4.08	45002.72	191732	2024-05-06 22:57:33	12.8	False	True	True	True	3	806e86	0.0001917	187	187	187	-6.75	2024-05-07 01:10:21.211689
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	297	245	1004	633	3.55	45620.93	195924	2024-05-06 22:57:33	15.0	False	True	True	True	3	806e86	0.0001959	194	194	194	6.84	2024-05-07 01:12:33.172137
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	193	147	1103	682	2.1	42378.97	168428	2024-05-06 22:57:33	17.18	False	True	True	True	3	806e86	0.0001684	152	152	152	4.57	2024-05-07 01:14:43.586441
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	178	102	1184	735	1.8	44528.68	185074	2024-05-06 22:57:33	19.37	False	True	True	True	3	806e86	0.0001850	177	177	177	-9.16	2024-05-07 01:16:55.412979
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	191	123	1286	798	1.78	42813.4	170528	2024-05-06 22:57:33	21.54	False	True	True	True	3	806e86	0.0001705	156	156	156	-11.9	2024-05-07 01:19:05.674306
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	197	140	1366	868	1.73	34720.89	111557	2024-05-06 22:57:33	23.72	False	True	True	True	3	806e86	0.0001115	67.2	67.2	67.2	-50.67	2024-05-07 01:21:16.390243
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	322	261	1580	1034	2.45	32173.63	93614	2024-05-06 22:57:33	25.92	False	True	True	True	3	806e86	0.00009361	40.31	40.31	40.31	-39.67	2024-05-07 01:23:28.092915
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	284	208	1680	1112	2.03	32107.17	92789	2024-05-06 22:57:33	28.13	False	True	True	True	3	806e86	0.00009278	39.07	39.07	39.07	-16.16	2024-05-07 01:25:40.623315
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	222	193	1819	1237	1.46	25667.25	58618	2024-05-06 22:57:33	30.33	False	True	True	True	3	806e86	0.00005861	-12.14	-12.14	-12.14	-40.88	2024-05-07 01:27:53.025550
solana	raydium	FQLiFk6Zvbr94Nn8ovgfBEdmnTFg9mMz8Wdw7v4SNfLu	6H1kvyWTZ9jX528EB9zw4KwXohZE7w4Ra8j5DquKEvGB	chinchi	chinchi	207	166	1887	1278	1.32	26946.03	64514	2024-05-06 22:57:33	32.51	False	True	True	True	3	806e86	0.00006451	-3.31	-3.31	-3.31	-30.47	2024-05-07 01:30:03.671352
