chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	170	190	760	808	2.68	23694.75	102426	2024-05-09 18:02:19	17.36	False	True	True	True	3	10e06d	0.0001024	7640	7640	7640	39.82	2024-05-09 20:19:40.687256
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	141	113	828	857	2.04	24249.58	107099	2024-05-09 18:02:19	19.67	False	True	True	True	3	10e06d	0.0001070	7993	7993	7993	14.46	2024-05-09 20:21:58.984140
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	141	84	903	894	1.87	25527.39	118549	2024-05-09 18:02:19	22.0	False	True	True	True	3	10e06d	0.0001185	8858	8858	8858	13.57	2024-05-09 20:24:18.988119
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	120	115	964	977	1.49	19990.52	72394	2024-05-09 18:02:19	24.32	False	True	True	True	3	10e06d	0.00007239	5371	5371	5371	-36.92	2024-05-09 20:26:37.957792
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	97	104	1009	1020	1.15	19941.57	71882	2024-05-09 18:02:19	26.62	False	True	True	True	3	10e06d	0.00007188	5332	5332	5332	-30.34	2024-05-09 20:28:55.991811
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	92	88	1055	1059	1.05	19458.93	68007	2024-05-09 18:02:19	28.95	False	True	True	True	3	10e06d	0.00006800	5039	5039	5039	-18.73	2024-05-09 20:31:16.090972
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	74	52	1328	1385	0.67	19329.97	66326	2024-05-09 18:02:19	47.5	False	True	True	True	3	10e06d	0.00006632	4912	4912	4912	116	2024-05-09 20:49:49.176843
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	110	67	1385	1413	0.95	17442.82	53895	2024-05-09 18:02:19	49.81	False	True	True	True	3	10e06d	0.00005389	3973	3973	3973	51.8	2024-05-09 20:52:07.773629
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	82	42	1407	1427	0.7	20247.82	72508	2024-05-09 18:02:19	52.22	False	True	True	True	3	10e06d	0.00007250	5379	5379	5379	19.58	2024-05-09 20:54:32.376364
solana	raydium	3cc5FNPnrjWyTzwScp2TTmWX4yh7NLboBqUUMP2qs4mS	6Zoi7ZZE7awFqBsXK44WVnP8T2b96RX1qptBiFSwmJa8	DARKMAGA	DARKMAGA	51	36	1438	1454	0.43	17552.61	54285	2024-05-09 18:02:19	54.54	False	True	True	True	3	10e06d	0.00005428	4002	4002	4002	3.25	2024-05-09 20:56:51.511579
