chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	7	4	231	210	0.36	12304.81	50608	2024-05-12 19:53:58	65.73	False	True	True	True	3	46cf25	0.00005060	6796	6796	37.7	39.54	2024-05-12 22:59:42.016525
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	17	13	238	214	0.86	15016.32	75368	2024-05-12 19:53:58	68.33	False	True	True	True	3	46cf25	0.00007536	10169	10169	136	103	2024-05-12 23:02:17.597622
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	27	22	244	209	1.33	18100.05	109367	2024-05-12 19:53:58	70.83	False	True	True	True	3	46cf25	0.0001093	14802	14802	303	139	2024-05-12 23:04:47.912843
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	79	47	301	237	3.15	18301.76	111307	2024-05-12 19:53:58	73.16	False	True	True	True	3	46cf25	0.0001113	15066	15066	334	34.32	2024-05-12 23:07:07.620523
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	71	37	248	207	3.44	16908.62	94783	2024-05-12 19:53:58	75.45	False	True	True	True	3	46cf25	0.00009478	12815	12815	260	-31	2024-05-12 23:09:24.853666
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	48	22	246	212	2.34	19062.99	119976	2024-05-12 19:53:58	77.87	False	True	True	True	3	46cf25	0.0001199	16247	16247	284	2.25	2024-05-12 23:11:50.067236
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	65	29	282	217	2.77	21487.08	152177	2024-05-12 19:53:58	80.2	False	True	True	True	3	46cf25	0.0001521	20635	20635	436	60.55	2024-05-12 23:14:09.945302
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	59	43	290	223	2.44	20317.98	135717	2024-05-12 19:53:58	82.7	False	True	True	True	3	46cf25	0.0001357	18392	18392	484	10.1	2024-05-12 23:16:40.100747
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	40	48	308	238	1.56	20909.97	143013	2024-05-12 19:53:58	85.06	False	True	True	True	3	46cf25	0.0001430	19387	19387	653	-8.24	2024-05-12 23:19:01.343393
solana	raydium	3pUXQMdhEVddKAxmajvEFN6jCsf1588KFVzWNZrSfoZf	6ec2ppT7zCAChVVE14GGRL7sLA8F6LrhxbYEV7TCa2h3	Lawyer Cat	LAWCAT	40	51	321	250	1.5	23226.65	176171	2024-05-12 19:53:58	87.37	False	True	True	True	3	46cf25	0.0001761	23905	23905	799	23.51	2024-05-12 23:21:20.412833
