chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	455	184	455	184	12.0	43441.34	71728	2024-05-09 10:00:00	4.34	False	True	True	True	3	ecf581	0.0007172	19.33	19.33	19.33	19.33	2024-05-09 12:04:20.158129
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	511	206	746	303	8.22	48476.39	88418	2024-05-09 10:00:00	6.59	False	True	True	True	3	ecf581	0.0008841	47.09	47.09	47.09	3.02	2024-05-09 12:06:35.471362
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	485	227	983	429	5.92	47426.51	83855	2024-05-09 10:00:00	8.85	False	True	True	True	3	ecf581	0.0008385	39.5	39.5	39.5	-9.52	2024-05-09 12:08:50.992667
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	504	244	1247	545	4.85	50552.85	94582	2024-05-09 10:00:00	11.12	False	True	True	True	3	ecf581	0.0009458	57.35	57.35	57.35	7.65	2024-05-09 12:11:07.464225
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	459	207	1506	659	3.66	49128.04	88319	2024-05-09 10:00:00	13.39	False	True	True	True	3	ecf581	0.0008831	46.93	46.93	46.93	2.35	2024-05-09 12:13:23.651812
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	378	189	1655	753	2.74	50960.95	94288	2024-05-09 10:00:00	15.66	False	True	True	True	3	ecf581	0.0009428	56.86	56.86	56.86	13.43	2024-05-09 12:15:39.789880
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	307	186	1813	845	2.03	55063.68	109610	2024-05-09 10:00:00	17.95	False	True	True	True	3	ecf581	0.001096	82.35	82.35	82.35	24.11	2024-05-09 12:17:56.817476
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	369	221	2015	971	2.2	51427.65	94612	2024-05-09 10:00:00	20.2	False	True	True	True	3	ecf581	0.0009461	57.39	57.39	57.39	6.18	2024-05-09 12:20:12.235339
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	318	192	2118	1031	1.8	53262.89	101192	2024-05-09 10:00:00	22.47	False	True	True	True	3	ecf581	0.001011	68.34	68.34	68.34	-5.16	2024-05-09 12:22:28.225558
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	248	158	2273	1134	1.31	53289.59	100596	2024-05-09 10:00:00	24.75	False	True	True	True	3	ecf581	0.001005	67.35	67.35	67.35	-5.57	2024-05-09 12:24:45.005245
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	304	210	2430	1245	1.5	54272.06	104039	2024-05-09 10:00:00	27.01	False	True	True	True	3	ecf581	0.001040	73.08	73.08	73.08	1.39	2024-05-09 12:27:00.463625
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	342	227	2592	1342	1.58	54538.11	104272	2024-05-09 10:00:00	29.29	False	True	True	True	3	ecf581	0.001042	73.47	73.47	73.47	-3.72	2024-05-09 12:29:17.448402
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	270	185	2749	1454	1.18	52888.51	97265	2024-05-09 10:00:00	31.57	False	True	True	True	3	ecf581	0.0009726	61.81	61.81	61.81	-5.8	2024-05-09 12:31:34.231755
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	288	195	2887	1553	1.2	54284.97	102116	2024-05-09 10:00:00	33.84	False	True	True	True	3	ecf581	0.001021	69.88	69.88	69.88	2.92	2024-05-09 12:33:50.576015
solana	raydium	3YxFy3sLf1syE24SG9pHrw2smpqh6W6ifyW6Y5xKG77j	6kb5gybuNZi54agQUon4mACy181QpFLDphohQ67vFghm	SVG of Solana	SVG	306	216	3044	1667	1.21	55702.66	106977	2024-05-09 10:00:00	36.12	False	True	True	True	3	ecf581	0.001069	77.96	77.96	77.96	19.63	2024-05-09 12:36:07.441388
