chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	47	6	47	6	12.0	24861.1	64661	2024-05-12 16:32:23	0.88	False	False	False	True	2	005a55	0.00006466	8.9	8.9	8.9	8.9	2024-05-12 18:33:15.714061
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	289	109	289	109	12.0	22413.78	51911	2024-05-12 16:32:23	3.15	False	False	False	True	2	005a55	0.00005191	-12.58	-12.58	-12.58	-12.58	2024-05-12 18:35:31.861316
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	314	172	439	197	8.58	27705.66	78613	2024-05-12 16:32:23	5.44	False	False	False	True	2	005a55	0.00007861	32.39	32.39	32.39	142	2024-05-12 18:37:49.471881
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	329	241	618	348	6.39	28050.19	80123	2024-05-12 16:32:23	7.72	False	False	False	True	2	005a55	0.00008012	34.94	34.94	34.94	52.65	2024-05-12 18:40:06.227312
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	349	262	758	448	5.53	32074.7	104393	2024-05-12 16:32:23	9.99	False	False	False	True	2	005a55	0.0001043	75.81	75.81	75.81	16.74	2024-05-12 18:42:22.676813
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	265	177	919	547	3.46	34122.82	117382	2024-05-12 16:32:23	12.26	False	False	False	True	2	005a55	0.0001173	97.69	97.69	97.69	39.76	2024-05-12 18:44:38.359236
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	246	193	1013	644	2.91	33491.92	112403	2024-05-12 16:32:23	14.56	False	False	False	True	2	005a55	0.0001124	89.3	89.3	89.3	-1.33	2024-05-12 18:46:56.392853
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	283	293	1190	834	2.85	27714.48	76322	2024-05-12 16:32:23	16.85	False	False	False	True	2	005a55	0.00007632	28.54	28.54	28.54	-29.24	2024-05-12 18:49:13.790667
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	95	78	1523	1137	0.75	24029.58	56573	2024-05-12 16:32:23	26.16	False	False	False	True	2	005a55	0.00005657	-4.72	-4.72	-4.72	11.97	2024-05-12 18:58:32.590891
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	83	72	1566	1171	0.64	28592.01	79884	2024-05-12 16:32:23	28.44	False	False	False	True	2	005a55	0.00007988	34.54	34.54	34.54	65.4	2024-05-12 19:00:49.445007
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	93	89	1615	1224	0.69	26397.89	68179	2024-05-12 16:32:23	30.78	False	False	False	True	2	005a55	0.00006817	14.82	14.82	14.82	22.31	2024-05-12 19:03:09.627669
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	67	54	1648	1247	0.49	26548.42	68712	2024-05-12 16:32:23	33.13	False	False	False	True	2	005a55	0.00006871	15.72	15.72	15.72	23.03	2024-05-12 19:05:30.540160
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	70	51	1689	1278	0.5	35651.58	123378	2024-05-12 16:32:23	35.46	False	False	False	True	2	005a55	0.0001233	108	108	108	127	2024-05-12 19:07:50.601491
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	97	88	1745	1335	0.67	39045.55	147682	2024-05-12 16:32:23	37.88	False	False	False	True	2	005a55	0.0001476	149	149	149	115	2024-05-12 19:10:15.624126
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	135	105	1829	1402	0.89	41472.83	166045	2024-05-12 16:32:23	40.64	False	False	False	True	2	005a55	0.0001660	180	180	180	57.57	2024-05-12 19:13:01.624498
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	155	84	1924	1451	0.97	45048.36	195126	2024-05-12 16:32:23	43.06	False	False	False	True	2	005a55	0.0001951	229	229	229	65.96	2024-05-12 19:15:26.890179
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	194	100	2031	1507	1.15	38633.71	142903	2024-05-12 16:32:23	45.52	False	False	False	True	2	005a55	0.0001429	141	141	141	4.72	2024-05-12 19:17:54.435064
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	136	99	2060	1550	0.79	33754.93	109207	2024-05-12 16:32:23	47.96	False	False	False	True	2	005a55	0.0001092	83.92	83.92	83.92	-44.03	2024-05-12 19:20:20.802924
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	93	69	2130	1581	0.52	38383.86	140969	2024-05-12 16:32:23	50.43	False	False	False	True	2	005a55	0.0001409	137	137	137	-4.21	2024-05-12 19:22:48.855461
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	100	61	2162	1616	0.56	34882.22	116364	2024-05-12 16:32:23	52.77	False	False	False	True	2	005a55	0.0001163	95.97	95.97	95.97	9.05	2024-05-12 19:25:08.904894
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	85	58	2224	1649	0.46	34687.74	114739	2024-05-12 16:32:23	55.13	False	False	False	True	2	005a55	0.0001147	93.24	93.24	93.24	-14.79	2024-05-12 19:27:30.628560
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	74	63	2246	1682	0.4	35189.86	118080	2024-05-12 16:32:23	57.58	False	False	False	True	2	005a55	0.0001180	98.86	98.86	98.86	-1.9	2024-05-12 19:29:58.038135
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	51	56	2275	1705	0.27	36332.15	125920	2024-05-12 16:32:23	59.94	False	False	False	True	2	005a55	0.0001259	112	112	112	9.75	2024-05-12 19:32:19.307695
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	49	41	2013	1624	0.29	36816.95	129318	2024-05-12 16:32:23	62.35	False	False	False	True	2	005a55	0.0001293	118	118	146	14	2024-05-12 19:34:43.869277
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	44	46	1911	1565	0.28	35651.63	121130	2024-05-12 16:32:23	64.67	False	False	False	True	2	005a55	0.0001211	104	104	35.46	-6.23	2024-05-12 19:37:03.423985
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	70	71	1725	1436	0.49	28000.05	74500	2024-05-12 16:32:23	67.08	False	False	False	True	2	005a55	0.00007449	25.47	25.47	-11.29	-43.82	2024-05-12 19:39:27.562675
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	91	94	1645	1399	0.66	26677.53	67465	2024-05-12 16:32:23	69.39	False	False	False	True	2	005a55	0.00006746	13.62	13.62	-40.78	-39.79	2024-05-12 19:41:46.450917
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	67	95	1539	1360	0.52	24493.54	56856	2024-05-12 16:32:23	71.75	False	False	False	True	2	005a55	0.00005685	-4.25	-4.25	-47.28	-23.68	2024-05-12 19:44:07.806582
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	57	56	1429	1238	0.48	24558.68	57054	2024-05-12 16:32:23	74.12	False	False	False	True	2	005a55	0.00005705	-3.91	-3.91	-34.35	-6.4	2024-05-12 19:46:30.120464
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	59	72	1263	1062	0.56	23642.59	52726	2024-05-12 16:32:23	78.71	False	False	False	True	2	005a55	0.00005272	-11.2	-11.2	48.67	-12.24	2024-05-12 19:51:05.811484
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	48	58	1157	981	0.5	23363.72	51505	2024-05-12 16:32:23	81.04	False	False	False	True	2	005a55	0.00005150	-13.26	-13.26	1.94	30.24	2024-05-12 19:53:25.343734
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	28	22	1086	917	0.31	24851.42	58229	2024-05-12 16:32:23	83.33	False	False	False	True	2	005a55	0.00005822	-1.93	-1.93	20.56	8	2024-05-12 19:55:42.865941
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	44	25	1072	899	0.49	29319.06	80988	2024-05-12 16:32:23	85.66	False	False	False	True	2	005a55	0.00008098	36.4	36.4	45.29	57.24	2024-05-12 19:58:02.634998
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	56	36	1063	893	0.63	31625.47	94090	2024-05-12 16:32:23	88.0	False	False	False	True	2	005a55	0.00009408	58.46	58.46	22.73	66.32	2024-05-12 20:00:23.253729
solana	raydium	CqFQtgyUp35g7MtdT79z596X7vDXzhu2kyjUVcuhrySA	6nfye5s7WayafkNXAs6C3AaACWWfwbNeX6B6XQSXGiG8	boshi	boshi	41	27	1019	838	0.48	32890.74	101776	2024-05-12 16:32:23	90.4	False	False	False	True	2	005a55	0.0001017	71.4	71.4	87.08	14.07	2024-05-12 20:02:47.282417
