chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	148	75	274	130	6.48	13400.64	88079	2024-05-16 14:00:00	7.67	False	True	True	True	3	5d8540	0.0008807	54.11	54.11	54.11	9.5	2024-05-16 16:07:40.384490
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	139	64	361	167	4.62	14734.81	105242	2024-05-16 14:00:00	9.95	False	True	True	True	3	5d8540	0.001052	84.14	84.14	84.14	8.16	2024-05-16 16:09:56.798225
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	199	98	473	227	5.05	16464.49	129563	2024-05-16 14:00:00	12.26	False	True	True	True	3	5d8540	0.001295	127	127	127	45.48	2024-05-16 16:12:15.544613
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	216	121	571	287	4.54	14829.4	104073	2024-05-16 14:00:00	14.6	False	True	True	True	3	5d8540	0.001040	82.09	82.09	82.09	-2.48	2024-05-16 16:14:35.744338
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	145	99	635	341	2.74	11881.14	65950	2024-05-16 14:00:00	16.9	False	True	True	True	3	5d8540	0.0006595	15.39	15.39	15.39	-30.74	2024-05-16 16:16:54.079842
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	124	90	695	377	2.14	12855.53	76377	2024-05-16 14:00:00	19.2	False	True	True	True	3	5d8540	0.0007637	33.63	33.63	33.63	-26.61	2024-05-16 16:19:11.985026
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	159	90	776	420	2.46	12848.27	75455	2024-05-16 14:00:00	21.47	False	True	True	True	3	5d8540	0.0007545	32.02	32.02	32.02	11.32	2024-05-16 16:21:28.191918
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	163	94	866	476	2.26	12363.47	68409	2024-05-16 14:00:00	23.77	False	True	True	True	3	5d8540	0.0006840	19.69	19.69	19.69	-15.32	2024-05-16 16:23:46.278374
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	188	111	964	531	2.34	11712.45	60544	2024-05-16 14:00:00	26.08	False	True	True	True	3	5d8540	0.0006054	5.93	5.93	5.93	-19.76	2024-05-16 16:26:04.807392
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	170	87	1073	585	1.9	14462.95	90279	2024-05-16 14:00:00	28.35	False	True	True	True	3	5d8540	0.0009027	57.96	57.96	57.96	51.26	2024-05-16 16:28:21.197375
solana	raydium	DXZYWBSXYJjLdNLLxjQQmD4BafWf4S844RHtpdkgSytP	6yTeMGbtRiEebCw8i5wV4vDeboa2iQRzkdJjw2xYfujU	SolTweet	TWEET	205	111	1175	645	2.09	15311.87	99179	2024-05-16 14:00:00	30.62	False	True	True	True	3	5d8540	0.0009917	73.53	73.53	73.53	47.24	2024-05-16 16:30:37.399354
