chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	4	0	1135	652	0.04	293514.88	547297	2024-05-12 07:47:43	111.24	False	True	True	True	3	f3b7bc	0.000005472	26.17	26.17	9.69	4.08	2024-05-12 11:38:57.112047
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	11	1	961	559	0.14	293630.08	548065	2024-05-12 07:47:43	113.52	False	True	True	True	3	f3b7bc	0.000005480	26.35	26.35	9.53	4.23	2024-05-12 11:41:14.075782
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	10	4	795	475	0.15	293499.23	547121	2024-05-12 07:47:43	115.79	False	True	True	True	3	f3b7bc	0.000005471	26.13	26.13	9.18	0.07	2024-05-12 11:43:30.387659
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	2	5	533	321	0.05	292919.99	545263	2024-05-12 07:47:43	118.05	False	True	True	True	3	f3b7bc	0.000005452	25.7	25.7	9.28	-0.51	2024-05-12 11:45:45.710781
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	5	5	363	221	0.17	292904.16	545241	2024-05-12 07:47:43	120.33	False	True	True	True	3	f3b7bc	0.000005452	25.7	25.7	8.6	-0.34	2024-05-12 11:48:02.534446
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	10	5	230	135	0.52	294079.94	549550	2024-05-12 07:47:43	122.6	False	True	True	True	3	f3b7bc	0.000005495	26.69	26.69	9.65	0.36	2024-05-12 11:50:18.728481
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	4	0	64	31	0.75	294079.94	549550	2024-05-12 07:47:43	124.88	False	True	True	True	3	f3b7bc	0.000005495	26.69	26.69	7.44	0.12	2024-05-12 11:52:35.543188
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	3	2	60	31	0.6	294843.1	551832	2024-05-12 07:47:43	127.15	False	True	True	True	3	f3b7bc	0.000005518	27.22	27.22	6.1	0.42	2024-05-12 11:54:52.045364
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	8	4	62	33	1.55	294801.82	551638	2024-05-12 07:47:43	129.42	False	True	True	True	3	f3b7bc	0.000005516	27.17	27.17	5.93	0.38	2024-05-12 11:57:08.257160
solana	raydium	6yRsWfeMUBjSq5RTMVMyqdDMzmdBav3GbmVzwoj1PdEb	77ZvwpuPNsy6479LhwcGeBJkW9qkEtyV143yoS11oSNG	BOOK OF CRYPTO	BOCRYPT	4	2	61	31	0.79	294109.25	549011	2024-05-12 07:47:43	131.69	False	True	True	True	3	f3b7bc	0.000005490	26.57	26.57	3.46	-0.44	2024-05-12 11:59:24.252395
