chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	6	7	161	97	0.45	11122.16	50515	2024-05-18 16:31:58	106.04	False	True	True	True	3	55aa26	0.00005051	2296	2296	62.46	9.13	2024-05-18 20:18:00.529243
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	12	3	160	93	0.9	11658.71	55411	2024-05-18 16:31:58	113.17	False	True	True	True	3	55aa26	0.00005541	2528	2528	70.44	14.16	2024-05-18 20:25:08.402027
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	10	3	159	94	0.75	11887.64	57578	2024-05-18 16:31:58	115.53	False	True	True	True	3	55aa26	0.00005757	2631	2631	67.2	6.66	2024-05-18 20:27:29.676011
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	18	12	158	100	1.37	11459.08	53465	2024-05-18 16:31:58	120.41	False	True	True	True	3	55aa26	0.00005346	2436	2436	26.49	-7.14	2024-05-18 20:32:22.492596
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	19	12	169	105	1.35	11284.12	51844	2024-05-18 16:31:58	125.24	False	True	True	True	3	55aa26	0.00005184	2359	2359	30.94	-3.03	2024-05-18 20:37:12.304904
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	19	9	168	104	1.36	11269.34	51651	2024-05-18 16:31:58	127.59	False	True	True	True	3	55aa26	0.00005165	2350	2350	24.11	11.52	2024-05-18 20:39:33.224261
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	11	6	165	103	0.8	11414.59	52993	2024-05-18 16:31:58	129.93	False	True	True	True	3	55aa26	0.00005299	2413	2413	11.33	2.22	2024-05-18 20:41:54.033844
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	8	4	156	97	0.62	11280	51704	2024-05-18 16:31:58	132.31	False	True	True	True	3	55aa26	0.00005170	2352	2352	52.26	3.85	2024-05-18 20:44:16.484451
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	7	5	147	98	0.57	11325.68	52136	2024-05-18 16:31:58	134.65	False	True	True	True	3	55aa26	0.00005213	2373	2373	27.28	-1.62	2024-05-18 20:46:36.847757
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	10	2	146	94	0.82	11619.68	54900	2024-05-18 16:31:58	136.99	False	True	True	True	3	55aa26	0.00005490	2504	2504	30.84	13.19	2024-05-18 20:48:57.150272
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	10	4	148	93	0.81	11206.67	51033	2024-05-18 16:31:58	139.33	False	True	True	True	3	55aa26	0.00005103	2320	2320	42.47	-1.43	2024-05-18 20:51:17.562777
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	4	4	142	92	0.34	11440.02	53166	2024-05-18 16:31:58	141.72	False	True	True	True	3	55aa26	0.00005316	2421	2421	26.26	2.15	2024-05-18 20:53:41.151790
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	8	4	145	90	0.66	11902.74	57600	2024-05-18 16:31:58	144.07	False	True	True	True	3	55aa26	0.00005759	2632	2632	26.26	12.87	2024-05-18 20:56:02.441157
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	9	4	147	90	0.73	11448.67	53282	2024-05-18 16:31:58	146.42	False	True	True	True	3	55aa26	0.00005328	2427	2427	23.36	0.22	2024-05-18 20:58:23.416347
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	3	3	144	88	0.25	11482.94	53601	2024-05-18 16:31:58	148.76	False	True	True	True	3	55aa26	0.00005360	2442	2442	26.11	-3.09	2024-05-18 21:00:43.582311
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	2	2	144	85	0.17	11652.94	55197	2024-05-18 16:31:58	151.12	False	True	True	True	3	55aa26	0.00005519	2518	2518	40.49	3.59	2024-05-18 21:03:05.264033
solana	raydium	7j2yX2GEHMYw2VDM49dt78ggZnx1F7fw9F7EdMHJhDnC	79Lnaau9ejxZUTwFVJMBvmjegtN8r8K6muykCc3D5ELp	kittyWIFhat	KWIF	2	2	141	83	0.17	11624.71	54966	2024-05-18 16:31:58	153.47	False	True	True	True	3	55aa26	0.00005496	2507	2507	26.26	2.55	2024-05-18 21:05:25.979941
