chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	238	106	238	106	12.0	31872.3	88152	2024-05-18 13:56:33	2.68	False	True	False	True	2	7d6e7c	0.00008904	30.91	30.91	30.91	30.91	2024-05-18 15:59:13.914267
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	393	209	393	209	12.0	30796.59	81846	2024-05-18 13:56:33	5.03	False	True	False	True	2	7d6e7c	0.00008267	21.55	21.55	21.55	21.55	2024-05-18 16:01:34.510259
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	271	201	525	314	6.19	24985.77	53556	2024-05-18 13:56:33	7.38	False	True	False	True	2	7d6e7c	0.00005409	-20.46	-20.46	-20.46	-25.25	2024-05-18 16:03:55.930111
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	262	189	662	403	4.75	33383.96	94781	2024-05-18 13:56:33	9.7	False	True	False	True	2	7d6e7c	0.00009573	40.76	40.76	40.76	44.75	2024-05-18 16:06:14.990317
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	216	150	782	487	3.31	48278.66	197569	2024-05-18 13:56:33	12.1	False	True	False	True	2	7d6e7c	0.0001995	193	193	193	218	2024-05-18 16:08:39.073374
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	410	238	1090	657	4.51	42165.52	149106	2024-05-18 13:56:33	14.44	False	True	False	True	2	7d6e7c	0.0001506	121	121	121	54.92	2024-05-18 16:10:59.102081
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	456	274	1231	756	4.45	43351.75	156610	2024-05-18 13:56:33	16.81	False	True	False	True	2	7d6e7c	0.0001581	133	133	133	-15.62	2024-05-18 16:13:21.313482
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	225	142	1364	836	1.98	43341.2	156192	2024-05-18 13:56:33	19.15	False	True	False	True	2	7d6e7c	0.0001577	132	132	132	2.26	2024-05-18 16:15:41.912052
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	254	170	1498	931	2.03	40267.75	134763	2024-05-18 13:56:33	21.45	False	True	False	True	2	7d6e7c	0.0001361	100	100	100	-19.39	2024-05-18 16:17:59.997132
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	237	181	1602	1017	1.78	36412.8	109949	2024-05-18 13:56:33	23.81	False	True	False	True	2	7d6e7c	0.0001110	63.28	63.28	63.28	-30.07	2024-05-18 16:20:21.490083
solana	raydium	CLgxvEXsEmHUCi1P2DedGREPU19swnCfWQ1TPeg9y44L	79eYAYxECjWqo7a4V7LtxSiC4nCx8wcrpCMQNMG98aJi	TIGI	$TIGI	189	141	1714	1091	1.32	38245.12	120678	2024-05-18 13:56:33	26.18	False	True	False	True	2	7d6e7c	0.0001218	79.22	79.22	79.22	-9.16	2024-05-18 16:22:43.846565
