chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	90	53	351	166	3.08	29189.53	87151	2024-05-09 18:07:19	9.94	False	True	True	True	3	b0f30a	0.00008715	54.56	54.56	54.56	9.94	2024-05-09 20:17:15.294846
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	54	66	406	234	1.6	24023.14	58864	2024-05-09 18:07:19	14.67	False	True	True	True	3	b0f30a	0.00005886	4.39	4.39	4.39	-32.43	2024-05-09 20:21:58.983681
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	53	30	425	244	1.5	24882.3	63144	2024-05-09 18:07:19	17.0	False	True	True	True	3	b0f30a	0.00006314	11.98	11.98	11.98	21.98	2024-05-09 20:24:18.987757
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	31	19	439	256	0.85	25776.04	67683	2024-05-09 18:07:19	19.3	False	True	True	True	3	b0f30a	0.00006768	20.03	20.03	20.03	16.46	2024-05-09 20:26:37.219846
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	50	35	475	279	1.26	27786.74	78440	2024-05-09 18:07:19	21.62	False	True	True	True	3	b0f30a	0.00007844	39.11	39.11	39.11	24.22	2024-05-09 20:28:55.990943
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	77	44	516	299	1.79	28109.1	80241	2024-05-09 18:07:19	23.95	False	True	True	True	3	b0f30a	0.00008024	42.31	42.31	42.31	15.94	2024-05-09 20:31:16.090185
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	48	35	540	320	1.07	26505.7	70988	2024-05-09 18:07:19	26.31	False	True	True	True	3	b0f30a	0.00007098	25.9	25.9	25.9	-11.22	2024-05-09 20:33:37.874993
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	45	39	562	340	0.96	24223.9	59471	2024-05-09 18:07:19	28.68	False	True	True	True	3	b0f30a	0.00005947	5.47	5.47	5.47	-25.4	2024-05-09 20:35:59.867064
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	32	31	572	351	0.67	24362.46	60114	2024-05-09 18:07:19	30.98	False	True	True	True	3	b0f30a	0.00006011	6.61	6.61	6.61	-15.32	2024-05-09 20:38:17.921659
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	23	18	586	363	0.47	22812.44	52774	2024-05-09 18:07:19	33.3	False	True	True	True	3	b0f30a	0.00005277	-6.41	-6.41	-6.41	-16.83	2024-05-09 20:40:36.799748
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	33	24	619	386	0.64	22344.07	50544	2024-05-09 18:07:19	37.92	False	True	True	True	3	b0f30a	0.00005054	-10.36	-10.36	-10.36	-5.22	2024-05-09 20:45:14.075636
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	37	20	632	392	0.7	22663.99	52035	2024-05-09 18:07:19	40.19	False	True	True	True	3	b0f30a	0.00005203	-7.72	-7.72	-7.72	4.07	2024-05-09 20:47:30.620954
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	24	6	644	394	0.45	22795.92	52527	2024-05-09 18:07:19	42.5	False	True	True	True	3	b0f30a	0.00005252	-6.84	-6.84	-6.84	5.46	2024-05-09 20:49:49.176394
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	8	6	446	328	0.22	22451.6	50509	2024-05-09 18:07:19	65.82	False	True	True	True	3	b0f30a	0.00005050	-10.42	-10.42	-37.87	9.46	2024-05-09 21:13:08.397669
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	6	6	396	300	0.18	22482.59	50627	2024-05-09 18:07:19	68.12	False	True	True	True	3	b0f30a	0.00005062	-10.21	-10.21	-48.37	2.29	2024-05-09 21:15:26.065885
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	2	2	373	271	0.06	22482.59	50627	2024-05-09 18:07:19	70.42	False	True	True	True	3	b0f30a	0.00005062	-10.21	-10.21	-22.87	-0.51	2024-05-09 21:17:44.320783
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	5	4	348	237	0.17	22604.23	51078	2024-05-09 18:07:19	72.74	False	True	True	True	3	b0f30a	0.00005107	-9.41	-9.41	-13.62	0.89	2024-05-09 21:20:03.227675
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	10	9	336	232	0.36	23065.05	53053	2024-05-09 18:07:19	75.06	False	True	True	True	3	b0f30a	0.00005305	-5.91	-5.91	-8.72	4.09	2024-05-09 21:22:22.737576
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	16	7	324	223	0.59	23603.6	55556	2024-05-09 18:07:19	77.41	False	True	True	True	3	b0f30a	0.00005555	-1.47	-1.47	-16.07	-11.14	2024-05-09 21:24:43.431859
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	8	8	313	214	0.31	22636.85	51058	2024-05-09 18:07:19	79.73	False	True	True	True	3	b0f30a	0.00005105	-9.45	-9.45	-16.39	-9.32	2024-05-09 21:27:02.795521
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	8	1	176	119	0.55	22821.77	51620	2024-05-09 18:07:19	93.98	False	True	True	True	3	b0f30a	0.00005161	-8.45	-8.45	1.36	9.65	2024-05-09 21:41:17.735210
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	6	5	154	103	0.47	22664.8	50949	2024-05-09 18:07:19	96.35	False	True	True	True	3	b0f30a	0.00005094	-9.64	-9.64	7.33	5.45	2024-05-09 21:43:40.046550
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	1	0	114	89	0.11	22658.12	50679	2024-05-09 18:07:19	105.66	False	True	True	True	3	b0f30a	0.00005067	-10.12	-10.12	8.03	2.38	2024-05-09 21:52:58.892514
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	1	1	108	83	0.11	22704.76	50658	2024-05-09 18:07:19	108.04	False	True	True	True	3	b0f30a	0.00005065	-10.16	-10.16	10.81	2.34	2024-05-09 21:55:21.531032
solana	raydium	EhwBTsYgW1QdsNzsqH1KTn9gqtWeEqknbsiYkbTR55fR	7Ebc8iScFAdtc86tCHyrxmdCTodBAYLUjX44odNo1vP9	Pokimane	POKI	2	0	24	18	1.0	22579.1	50131	2024-05-09 18:07:19	175.16	False	True	True	True	3	b0f30a	0.00005013	-11.09	-11.09	8.3	1.16	2024-05-09 23:02:28.556443
