chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	1275	1205	1466	1209	10.44	105257.92	1233202	2024-05-08 13:23:12	6.04	False	True	True	True	3	38e5bb	0.01233	53304	53304	53304	21.8	2024-05-08 15:29:14.566021
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	1962	1873	2689	2390	8.76	111938.39	1378034	2024-05-08 13:23:12	8.35	False	True	True	True	3	38e5bb	0.01378	59576	59576	59576	36.39	2024-05-08 15:31:33.106655
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	2043	1985	3704	3389	6.62	106164.76	1235987	2024-05-08 13:23:12	10.67	False	True	True	True	3	38e5bb	0.01235	53424	53424	53424	2.46	2024-05-08 15:33:52.408645
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	2411	2345	5100	4735	5.67	110259.2	1322374	2024-05-08 13:23:12	12.95	False	True	True	True	3	38e5bb	0.01322	57165	57165	57165	-4.04	2024-05-08 15:36:09.287419
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	2054	1990	5675	5294	4.34	109362.92	1288658	2024-05-08 13:23:12	15.24	False	True	True	True	3	38e5bb	0.01288	55705	55705	55705	-4.63	2024-05-08 15:38:26.557560
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	562	546	5935	5550	1.14	107809.47	1246491	2024-05-08 13:23:12	17.52	False	True	True	True	3	38e5bb	0.01246	53879	53879	53879	-7.06	2024-05-08 15:40:43.024925
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	475	489	6156	5788	0.93	105467.99	1188592	2024-05-08 13:23:12	19.78	False	True	True	True	3	38e5bb	0.01188	51372	51372	51372	-8.27	2024-05-08 15:42:58.562068
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	591	603	6503	6129	1.09	107054	1212451	2024-05-08 13:23:12	22.05	False	True	True	True	3	38e5bb	0.01212	52405	52405	52405	-5.89	2024-05-08 15:45:15.280845
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	766	753	7025	6634	1.31	115786.86	1399150	2024-05-08 13:23:12	24.37	False	True	True	True	3	38e5bb	0.01399	60490	60490	60490	18.88	2024-05-08 15:47:34.309742
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	814	794	7428	7028	1.32	114898.97	1365476	2024-05-08 13:23:12	26.66	False	True	True	True	3	38e5bb	0.01365	59032	59032	59032	11.67	2024-05-08 15:49:51.690597
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	895	865	7899	7479	1.36	116656.32	1394950	2024-05-08 13:23:12	28.95	False	True	True	True	3	38e5bb	0.01394	60308	60308	60308	-0.15	2024-05-08 15:52:08.824409
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	970	922	8367	7919	1.39	118287.05	1425408	2024-05-08 13:23:12	31.26	False	True	True	True	3	38e5bb	0.01425	61627	61627	61627	3.98	2024-05-08 15:54:27.425740
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	825	779	8822	8354	1.12	119259.24	1436361	2024-05-08 13:23:12	33.57	False	True	True	True	3	38e5bb	0.01436	62101	62101	62101	1.64	2024-05-08 15:56:45.923299
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	900	882	9270	8801	1.17	117138.69	1376714	2024-05-08 13:23:12	35.85	False	True	True	True	3	38e5bb	0.01376	59518	59518	59518	-4.37	2024-05-08 15:59:02.760215
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	811	801	9606	9124	1.01	118269.78	1403988	2024-05-08 13:23:12	38.12	False	True	True	True	3	38e5bb	0.01403	60699	60699	60699	-5.43	2024-05-08 16:01:19.483502
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	600	584	9934	9446	0.72	116265.85	1356915	2024-05-08 13:23:12	40.4	False	True	True	True	3	38e5bb	0.01356	58661	58661	58661	-1.66	2024-05-08 16:03:35.962806
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	697	685	10304	9809	0.81	119129.57	1421932	2024-05-08 13:23:12	42.68	False	True	True	True	3	38e5bb	0.01421	61477	61477	61477	1.23	2024-05-08 16:05:52.762590
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	757	742	10691	10188	0.85	118119.13	1399177	2024-05-08 13:23:12	44.98	False	True	True	True	3	38e5bb	0.01399	60491	60491	60491	3.11	2024-05-08 16:08:10.696541
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	684	676	10937	10437	0.75	118039.43	1396961	2024-05-08 13:23:12	47.28	False	True	True	True	3	38e5bb	0.01396	60395	60395	60395	-1.14	2024-05-08 16:10:28.856014
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	771	764	11355	10846	0.81	116823.85	1366258	2024-05-08 13:23:12	49.6	False	True	True	True	3	38e5bb	0.01366	59066	59066	59066	-2.86	2024-05-08 16:12:47.989694
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	704	694	11764	11253	0.72	116658.72	1364737	2024-05-08 13:23:12	51.89	False	True	True	True	3	38e5bb	0.01364	59000	59000	59000	2.51	2024-05-08 16:15:05.456962
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	749	736	12106	11582	0.74	118017.68	1393030	2024-05-08 13:23:12	54.18	False	True	True	True	3	38e5bb	0.01393	60225	60225	60225	1.54	2024-05-08 16:17:22.810295
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	675	657	12535	12000	0.65	123044.25	1511986	2024-05-08 13:23:12	56.43	False	True	True	True	3	38e5bb	0.01511	65376	65376	65376	8.88	2024-05-08 16:19:37.777180
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	483	454	12623	12069	0.46	123288.97	1517048	2024-05-08 13:23:12	58.74	False	True	True	True	3	38e5bb	0.01517	65596	65596	65596	8.82	2024-05-08 16:21:56.327254
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	210	171	12521	12135	0.2	126530.12	1592539	2024-05-08 13:23:12	61.03	False	True	True	True	3	38e5bb	0.01592	68865	68865	57.3	10.48	2024-05-08 16:24:13.655822
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	211	161	12393	12002	0.2	130224.57	1682345	2024-05-08 13:23:12	63.3	False	True	True	True	3	38e5bb	0.01682	72754	72754	70.89	13.59	2024-05-08 16:26:29.710338
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	274	238	11326	10975	0.29	131069.21	1706386	2024-05-08 13:23:12	65.62	False	True	True	True	3	38e5bb	0.01706	73795	73795	41.46	7.06	2024-05-08 16:28:49.093333
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	226	220	10377	10072	0.26	126741.96	1594781	2024-05-08 13:23:12	67.91	False	True	True	True	3	38e5bb	0.01594	68962	68962	15.73	-5.75	2024-05-08 16:31:06.598763
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	117	113	9476	9184	0.15	130494.29	1693008	2024-05-08 13:23:12	70.17	False	True	True	True	3	38e5bb	0.01693	73215	73215	30.57	-2.24	2024-05-08 16:33:22.327274
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	172	161	7867	7629	0.26	137142.35	1866441	2024-05-08 13:23:12	72.43	False	True	True	True	3	38e5bb	0.01866	80726	80726	39.17	18.4	2024-05-08 16:35:37.866179
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	249	244	7668	7437	0.39	136394.34	1843768	2024-05-08 13:23:12	74.71	False	True	True	True	3	38e5bb	0.01843	79744	79744	42.29	6.23	2024-05-08 16:37:54.847064
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	275	242	7598	7347	0.43	134946.4	1802724	2024-05-08 13:23:12	77.03	False	True	True	True	3	38e5bb	0.01802	77967	77967	39.92	-4.11	2024-05-08 16:40:13.607525
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	224	205	7384	7122	0.36	138714.08	1900409	2024-05-08 13:23:12	79.3	False	True	True	True	3	38e5bb	0.01900	82197	82197	61.47	2.51	2024-05-08 16:42:30.176314
solana	raydium	6MkrHJYd8EVdQDpjDhLRSvrnGeSLJxXNiz8mDFyY7eQ2	7GLvXZrvsoJ3JbgVYnJzuCZHjBW2E3NQocrzvFBx1BZS	BOOK OF DOGS	BODE	226	213	7125	6854	0.38	139438.02	1919462	2024-05-08 13:23:12	81.57	False	True	True	True	3	38e5bb	0.01919	83022	83022	56.97	7.24	2024-05-08 16:44:46.055236
