chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	132	73	669	392	2.37	32892.32	105980	2024-05-09 23:23:28	17.49	False	True	False	True	2	63617b	0.0001059	83	83	83	-1.57	2024-05-10 01:40:57.411412
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	138	76	746	434	2.22	34859.4	118663	2024-05-09 23:23:28	19.77	False	True	False	True	2	63617b	0.0001186	105	105	105	20.25	2024-05-10 01:43:14.059543
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	130	78	818	477	1.91	38062.47	141289	2024-05-09 23:23:28	22.05	False	True	False	True	2	63617b	0.0001412	144	144	144	24.02	2024-05-10 01:45:30.773053
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	124	80	883	519	1.69	40412.28	158710	2024-05-09 23:23:28	24.41	False	True	False	True	2	63617b	0.0001587	174	174	174	18.6	2024-05-10 01:47:52.666261
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	126	94	944	573	1.6	38650.16	144782	2024-05-09 23:23:28	26.77	False	True	False	True	2	63617b	0.0001447	150	150	150	4.78	2024-05-10 01:50:13.990161
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	121	77	1021	610	1.42	39415.78	150329	2024-05-09 23:23:28	29.06	False	True	False	True	2	63617b	0.0001503	160	160	160	-13.86	2024-05-10 01:52:31.795847
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	132	71	1087	653	1.46	31482.97	95806	2024-05-09 23:23:28	31.32	False	True	False	True	2	63617b	0.00009580	65.43	65.43	65.43	-34.34	2024-05-10 01:54:47.296031
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	157	95	1177	705	1.6	35526.91	121320	2024-05-09 23:23:28	33.59	False	True	False	True	2	63617b	0.0001213	109	109	109	-18.91	2024-05-10 01:57:03.453547
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	172	108	1230	751	1.68	28051	75570	2024-05-09 23:23:28	35.85	False	True	False	True	2	63617b	0.00007557	30.49	30.49	30.49	-36.72	2024-05-10 01:59:19.147823
solana	raydium	69MTPZofKqd6nEqfpbPFFpWVrtfrRoPVC4DgFkpYGSJ3	7HrxNdfsLQEHpviczjzTD76b27hZtN3ro3386Q9QL1wg	BufitWifHat	BufWif	149	103	1310	802	1.36	30573.37	89664	2024-05-09 23:23:28	38.12	False	True	False	True	2	63617b	0.00008966	54.82	54.82	54.82	-18.32	2024-05-10 02:01:35.344918
