chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	147	65	147	65	12.0	26978.91	72004	2024-05-06 15:16:54	2.58	False	True	False	True	2	8c9fab	0.00007200	18.29	18.29	18.29	18.29	2024-05-06 17:19:29.000058
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	260	153	285	155	10.95	28404.74	79637	2024-05-06 15:16:54	4.78	False	True	False	True	2	8c9fab	0.00007963	30.83	30.83	30.83	23.47	2024-05-06 17:21:40.699598
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	195	148	352	217	6.65	30805.26	93151	2024-05-06 15:16:54	7.04	False	True	False	True	2	8c9fab	0.00009315	53.03	53.03	53.03	5.72	2024-05-06 17:23:56.277012
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	150	142	422	289	4.27	36703.78	131699	2024-05-06 15:16:54	9.25	False	True	False	True	2	8c9fab	0.0001316	116	116	116	69.78	2024-05-06 17:26:08.748096
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	200	194	533	395	4.5	35309.73	121291	2024-05-06 15:16:54	11.45	False	True	False	True	2	8c9fab	0.0001212	99.26	99.26	99.26	32.55	2024-05-06 17:28:21.239800
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	175	164	622	476	3.38	36930.72	132008	2024-05-06 15:16:54	13.71	False	True	False	True	2	8c9fab	0.0001320	117	117	117	-4.58	2024-05-06 17:30:36.459539
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	160	130	693	529	2.77	33253.54	106818	2024-05-06 15:16:54	15.89	False	True	False	True	2	8c9fab	0.0001068	75.48	75.48	75.48	-10.64	2024-05-06 17:32:47.337643
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	135	113	756	588	2.14	34263.85	112954	2024-05-06 15:16:54	18.07	False	True	False	True	2	8c9fab	0.0001129	85.56	85.56	85.56	-25.53	2024-05-06 17:34:58.431823
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	144	104	828	629	2.09	36697.32	129463	2024-05-06 15:16:54	20.3	False	True	False	True	2	8c9fab	0.0001294	113	113	113	20.45	2024-05-06 17:37:12.229090
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	114	96	862	671	1.59	33747.04	108985	2024-05-06 15:16:54	22.54	False	True	False	True	2	8c9fab	0.0001089	79.04	79.04	79.04	-6.48	2024-05-06 17:39:26.485231
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	55	66	889	700	0.74	32714.85	101999	2024-05-06 15:16:54	24.71	False	True	False	True	2	8c9fab	0.0001019	67.56	67.56	67.56	-16.92	2024-05-06 17:41:36.401816
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	74	73	937	747	0.95	31127.77	91986	2024-05-06 15:16:54	26.89	False	True	False	True	2	8c9fab	0.00009198	51.11	51.11	51.11	-13.2	2024-05-06 17:43:47.392477
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	102	83	991	783	1.24	29538.37	82316	2024-05-06 15:16:54	29.11	False	True	False	True	2	8c9fab	0.00008231	35.23	35.23	35.23	-19.3	2024-05-06 17:46:00.401573
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	109	74	1036	817	1.26	29437.38	81841	2024-05-06 15:16:54	31.29	False	True	False	True	2	8c9fab	0.00008184	34.45	34.45	34.45	-9.23	2024-05-06 17:48:11.183499
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	104	69	1083	846	1.15	27453.11	71121	2024-05-06 15:16:54	33.49	False	True	False	True	2	8c9fab	0.00007112	16.84	16.84	16.84	5.39	2024-05-06 17:50:23.541209
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	80	45	1128	866	0.85	29356.34	81175	2024-05-06 15:16:54	35.68	False	True	False	True	2	8c9fab	0.00008117	33.35	33.35	33.35	0.91	2024-05-06 17:52:34.648179
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	59	40	1150	889	0.62	28781.56	77979	2024-05-06 15:16:54	37.86	False	True	False	True	2	8c9fab	0.00007797	28.1	28.1	28.1	24.25	2024-05-06 17:54:45.431269
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	33	39	1160	905	0.34	30975.79	90181	2024-05-06 15:16:54	40.04	False	True	False	True	2	8c9fab	0.00009018	48.15	48.15	48.15	11.57	2024-05-06 17:56:56.225157
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	30	42	1179	930	0.31	30212.72	85709	2024-05-06 15:16:54	42.23	False	True	False	True	2	8c9fab	0.00008570	40.8	40.8	40.8	10.21	2024-05-06 17:59:08.008430
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	45	44	1202	947	0.45	33240.41	103937	2024-05-06 15:16:54	44.44	False	True	False	True	2	8c9fab	0.0001039	70.75	70.75	70.75	23.17	2024-05-06 18:01:20.199153
solana	raydium	CHCEixJKucMhWqaGDhsfBrKsmVvCR9Xvg2TDAE5nu4QN	7c4yQ2EoxAN8CNbSecg1hdg27PKMppkF2EAEKbHLUM4r	edging hamster	edgester	61	50	1246	983	0.59	41194.1	159218	2024-05-06 15:16:54	46.62	False	True	False	True	2	8c9fab	0.0001592	162	162	162	80.52	2024-05-06 18:03:31.217510
