chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	22	7	166	127	1.59	13393.66	50023	2024-05-10 22:47:24	88.0	False	True	True	True	3	111293	0.00005002	1615	1615	256	49.3	2024-05-11 02:15:23.886180
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	52	34	185	162	3.37	13462.95	50191	2024-05-10 22:47:24	99.4	False	True	True	True	3	111293	0.00005019	1621	1621	134	40.45	2024-05-11 02:26:48.116162
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	46	35	192	169	2.88	14525.07	58329	2024-05-10 22:47:24	101.65	False	True	True	True	3	111293	0.00005832	1899	1899	155	-14.61	2024-05-11 02:29:03.159626
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	30	21	203	175	1.77	15024.13	62439	2024-05-10 22:47:24	103.92	False	True	True	True	3	111293	0.00006243	2040	2040	173	29.23	2024-05-11 02:31:19.282939
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	22	12	211	172	1.25	14948.91	61991	2024-05-10 22:47:24	106.2	False	True	True	True	3	111293	0.00006199	2025	2025	203	-8.03	2024-05-11 02:33:36.218303
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	15	12	212	174	0.85	14033.63	54644	2024-05-10 22:47:24	108.55	False	True	True	True	3	111293	0.00005464	1773	1773	204	-12.15	2024-05-11 02:35:56.980732
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	11	14	213	179	0.62	13624.89	51745	2024-05-10 22:47:24	110.82	False	True	True	True	3	111293	0.00005174	1674	1674	154	-16.53	2024-05-11 02:38:13.093583
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	20	12	212	180	1.13	16332.68	74259	2024-05-10 22:47:24	113.09	False	True	True	True	3	111293	0.00007425	2446	2446	409	54.13	2024-05-11 02:40:29.479158
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	43	28	228	195	2.26	14926.88	61799	2024-05-10 22:47:24	115.39	False	True	True	True	3	111293	0.00006179	2018	2018	178	21.09	2024-05-11 02:42:47.252654
solana	raydium	BpB3zyrqyoKqRgsowQ8Wab59zvHN33RJed6QL5XQyqZo	7dtpgysPJztKPoFaxGgch9P9isytGg3apgX3cT3ENaQd	MEWN	MEWN	44	27	234	195	2.26	15419.69	65930	2024-05-10 22:47:24	117.66	False	True	True	True	3	111293	0.00006593	2160	2160	192	-6.62	2024-05-11 02:45:03.361684
