chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	86	27	2133	1594	0.48	35952.88	124538	2024-05-10 13:47:56	56.98	False	True	False	True	2	1ea3bb	0.0001245	109	109	109	55.14	2024-05-10 16:44:55.036380
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	72	47	2156	1629	0.4	30295.14	88695	2024-05-10 13:47:56	59.29	False	True	False	True	2	1ea3bb	0.00008869	48.67	48.67	48.67	-17.41	2024-05-10 16:47:13.364091
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	61	53	2055	1618	0.36	31985.17	99073	2024-05-10 13:47:56	61.56	False	True	False	True	2	1ea3bb	0.00009907	66.06	66.06	39.06	-22.25	2024-05-10 16:49:29.757282
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	48	29	1873	1527	0.31	34981.98	118911	2024-05-10 13:47:56	63.84	False	True	False	True	2	1ea3bb	0.0001189	99.32	99.32	27.48	37.41	2024-05-10 16:51:46.109466
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	32	43	1751	1445	0.22	33030.01	107056	2024-05-10 13:47:56	66.1	False	True	False	True	2	1ea3bb	0.0001070	79.44	79.44	4.55	8.06	2024-05-10 16:54:01.780091
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	48	47	1660	1408	0.35	29128.06	83337	2024-05-10 13:47:56	68.39	False	True	False	True	2	1ea3bb	0.00008333	39.69	39.69	-23	-29.92	2024-05-10 16:56:19.291456
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	56	44	1558	1338	0.43	26935.04	70447	2024-05-10 13:47:56	70.65	False	True	False	True	2	1ea3bb	0.00007044	18.08	18.08	-55.6	-35.52	2024-05-10 16:58:35.283197
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	39	44	1383	1190	0.34	29285.77	83146	2024-05-10 13:47:56	72.93	False	True	False	True	2	1ea3bb	0.00008314	39.37	39.37	-47.14	-5.73	2024-05-10 17:00:52.007677
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	28	38	1280	1126	0.26	29036.97	82074	2024-05-10 13:47:56	75.2	False	True	False	True	2	1ea3bb	0.00008207	37.57	37.57	-42.21	17.52	2024-05-10 17:03:07.787621
solana	raydium	5BDEVhP7cVieA1MvYoqTDYWFGZj9CEQZ1QqELB1PsfgQ	7qyUL1bN1PHmqUEuQaHdKZsR1yNuJx4t66qRmZJ5Xr5p	Dog Wif Trump	WIFT	19	38	1199	1064	0.19	24726.95	59244	2024-05-10 13:47:56	77.45	False	True	False	True	2	1ea3bb	0.00005924	-0.7	-0.7	-65.03	-34.4	2024-05-10 17:05:23.088747
