chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	95	119	150	142	7.6	10923.78	65806	2024-05-09 07:30:00	6.09	False	True	True	True	3	865350	0.0006580	47.41	47.41	47.41	22.36	2024-05-09 09:36:05.149085
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	102	78	196	175	6.24	9911.81	53556	2024-05-09 07:30:00	8.34	False	True	True	True	3	865350	0.0005355	19.97	19.97	19.97	0.53	2024-05-09 09:38:20.279196
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	89	75	255	228	4.19	10364.95	57000	2024-05-09 07:30:00	10.61	False	True	True	True	3	865350	0.0005700	27.68	27.68	27.68	-15.05	2024-05-09 09:40:36.709194
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	102	86	308	269	3.97	11049.84	63511	2024-05-09 07:30:00	12.88	False	True	True	True	3	865350	0.0006351	42.27	42.27	42.27	4.06	2024-05-09 09:42:52.844506
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	92	77	347	304	3.18	12173.37	75853	2024-05-09 07:30:00	15.16	False	True	True	True	3	865350	0.0007585	69.92	69.92	69.92	16.83	2024-05-09 09:45:09.514530
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	104	90	404	354	3.09	12847.46	82855	2024-05-09 07:30:00	17.41	False	True	True	True	3	865350	0.0008285	85.6	85.6	85.6	35.82	2024-05-09 09:47:24.845761
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	99	83	454	393	2.62	12408.25	76341	2024-05-09 07:30:00	19.67	False	True	True	True	3	865350	0.0007634	71.01	71.01	71.01	10.99	2024-05-09 09:49:40.235033
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	88	74	494	429	2.14	12144.83	72163	2024-05-09 07:30:00	21.95	False	True	True	True	3	865350	0.0007216	61.65	61.65	61.65	-4.1	2024-05-09 09:51:57.038365
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	93	82	537	466	2.08	12543.82	76184	2024-05-09 07:30:00	24.21	False	True	True	True	3	865350	0.0007618	70.66	70.66	70.66	-3.63	2024-05-09 09:54:12.867312
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	66	62	568	500	1.39	13245.95	83533	2024-05-09 07:30:00	26.48	False	True	True	True	3	865350	0.0008353	87.12	87.12	87.12	4.63	2024-05-09 09:56:28.645512
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	72	76	610	542	1.42	13412.54	84042	2024-05-09 07:30:00	28.72	False	True	True	True	3	865350	0.0008404	88.26	88.26	88.26	9.05	2024-05-09 09:58:43.093227
solana	raydium	CY2bEo5xNiGdRzuMN6PkDo2pHU2LDx6kYsNAnMXjVPr7	7wY2DGeEviVhMwuiNgdJ6menrxdVTgCwoZNHnc29Zr8v	Meteor Protocol	METEOR	72	70	643	575	1.34	13583.06	85088	2024-05-09 07:30:00	31.0	False	True	True	True	3	865350	0.0008508	90.6	90.6	90.6	3.19	2024-05-09 10:01:00.260475
