chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	113	65	1521	1014	0.89	210751.26	4965748	2024-05-18 11:00:34	94.5	False	True	False	True	1	9428b8	0.04965	27507	27507	69.94	6	2024-05-18 14:35:03.843491
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	128	73	1529	999	1.0	214156.11	5117455	2024-05-18 11:00:34	96.82	False	True	False	True	1	9428b8	0.05117	28351	28351	69.08	6.62	2024-05-18 14:37:23.348889
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	103	66	1518	972	0.81	217986.23	5304485	2024-05-18 11:00:34	99.15	False	True	False	True	1	9428b8	0.05304	29390	29390	58.38	7.05	2024-05-18 14:39:43.117881
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	108	75	1531	972	0.85	222234.29	5515158	2024-05-18 11:00:34	101.45	False	True	False	True	1	9428b8	0.05515	30562	30562	56.11	6.29	2024-05-18 14:42:01.001347
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	122	84	1541	967	0.95	224764.02	5634093	2024-05-18 11:00:34	103.8	False	True	False	True	1	9428b8	0.05634	31223	31223	51.79	5.68	2024-05-18 14:44:22.043407
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	130	77	1557	958	1.0	224944.65	5639459	2024-05-18 11:00:34	106.2	False	True	False	True	1	9428b8	0.05639	31253	31253	39.18	2.26	2024-05-18 14:46:45.939228
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	143	75	1578	949	1.09	224152.49	5604320	2024-05-18 11:00:34	108.55	False	True	False	True	1	9428b8	0.05604	31057	31057	28.24	-0.86	2024-05-18 14:49:06.768924
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	102	59	1574	939	0.78	223542.14	5584162	2024-05-18 11:00:34	110.95	False	True	False	True	1	9428b8	0.05584	30945	30945	22.7	1.39	2024-05-18 14:51:30.834742
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	109	63	1583	932	0.83	221189.48	5459596	2024-05-18 11:00:34	113.27	False	True	False	True	1	9428b8	0.05459	30253	30253	15.18	-0.35	2024-05-18 14:53:49.978705
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	118	59	1592	925	0.89	220215.25	5408593	2024-05-18 11:00:34	115.56	False	True	False	True	1	9428b8	0.05408	29969	29969	13.2	-3.14	2024-05-18 14:56:07.512116
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	133	72	1617	926	0.99	219517.45	5381463	2024-05-18 11:00:34	117.88	False	True	False	True	1	9428b8	0.05381	29818	29818	9.18	-1.85	2024-05-18 14:58:26.927012
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	117	61	1599	894	0.88	220102.49	5411083	2024-05-18 11:00:34	120.3	False	True	False	True	1	9428b8	0.05411	29983	29983	6.91	0.85	2024-05-18 15:00:52.282485
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	127	65	1592	899	0.96	217794.5	5301647	2024-05-18 11:00:34	122.61	False	True	False	True	1	9428b8	0.05301	29375	29375	9.29	-1.49	2024-05-18 15:03:10.760213
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	128	71	1584	907	0.97	220734.36	5430242	2024-05-18 11:00:34	124.95	False	True	False	True	1	9428b8	0.05430	30089	30089	20.74	-0.9	2024-05-18 15:05:30.813174
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	127	74	1575	908	0.97	225595.88	5666459	2024-05-18 11:00:34	127.27	False	True	False	True	1	9428b8	0.05666	31403	31403	33.44	6.39	2024-05-18 15:07:50.406603
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	145	94	1592	924	1.09	227313.41	5747925	2024-05-18 11:00:34	129.62	False	True	False	True	1	9428b8	0.05747	31856	31856	27.42	6.48	2024-05-18 15:10:11.307318
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	115	76	1564	921	0.88	230673.77	5917656	2024-05-18 11:00:34	131.98	False	True	False	True	1	9428b8	0.05917	32799	32799	32.96	4.56	2024-05-18 15:12:32.610735
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	138	71	1599	921	1.04	224763.02	5617811	2024-05-18 11:00:34	134.3	False	True	False	True	1	9428b8	0.05617	31132	31132	27.15	-2.13	2024-05-18 15:14:51.883071
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	151	75	1616	936	1.12	217744.57	5255446	2024-05-18 11:00:34	136.7	False	True	False	True	1	9428b8	0.05255	29118	29118	16.87	-10.48	2024-05-18 15:17:16.289752
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	130	70	1617	931	0.96	221528.17	5434759	2024-05-18 11:00:34	139.04	False	True	False	True	1	9428b8	0.05434	30115	30115	20.79	-4.22	2024-05-18 15:19:36.473547
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	142	72	1645	935	1.04	221979.73	5445793	2024-05-18 11:00:34	141.37	False	True	False	True	1	9428b8	0.05445	30176	30176	17.03	3.44	2024-05-18 15:21:56.091913
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	141	83	1671	946	1.01	216911.13	5195165	2024-05-18 11:00:34	143.69	False	True	False	True	1	9428b8	0.05195	28783	28783	13.71	-5.62	2024-05-18 15:24:15.232462
solana	raydium	2RvkCxu6HoNPwf8F8cyYQcdfPtdzgYsM5j8zSvuFYpBh	83PmTQYtijufvXfz2K94MQuQvT1jZnRgq86bkckE7F5b	ROLL SAFE	SMARTER	136	98	1671	966	0.98	226014.07	5633426	2024-05-18 11:00:34	146.02	False	True	False	True	1	9428b8	0.05633	31219	31219	23.52	5.11	2024-05-18 15:26:35.080238
