chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	87	74	253	135	4.13	23435.75	56648	2024-05-10 17:38:49	8.65	False	True	True	True	3	270cf7	0.00005664	-0.28	-0.28	-0.28	56.66	2024-05-10 19:47:28.039586
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	45	35	274	146	1.97	22133	50613	2024-05-10 17:38:49	10.95	False	True	True	True	3	270cf7	0.00005061	-10.91	-10.91	-10.91	0.78	2024-05-10 19:49:45.844410
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	42	25	297	160	1.7	24863.47	64059	2024-05-10 17:38:49	13.24	False	True	True	True	3	270cf7	0.00006405	12.76	12.76	12.76	10.82	2024-05-10 19:52:03.571288
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	55	34	328	177	2.01	25503.24	67434	2024-05-10 17:38:49	15.53	False	True	True	True	3	270cf7	0.00006743	18.7	18.7	18.7	20.39	2024-05-10 19:54:20.771740
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	67	36	368	202	2.18	22521.35	52442	2024-05-10 17:38:49	17.9	False	True	True	True	3	270cf7	0.00005244	-7.69	-7.69	-7.69	-10.74	2024-05-10 19:56:42.824605
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	57	41	389	223	1.76	23494.95	56855	2024-05-10 17:38:49	20.16	False	True	True	True	3	270cf7	0.00005685	0.08	0.08	0.08	-19.67	2024-05-10 19:58:58.742426
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	27	13	553	335	0.59	24542.77	61508	2024-05-10 17:38:49	45.45	False	True	True	True	3	270cf7	0.00006150	8.27	8.27	8.27	74.28	2024-05-10 20:24:15.760681
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	24	11	625	375	0.46	22831.06	52483	2024-05-10 17:38:49	56.92	False	True	True	True	3	270cf7	0.00005248	-7.62	-7.62	-7.62	9.94	2024-05-10 20:35:44.356624
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	24	12	631	380	0.46	22940.83	53091	2024-05-10 17:38:49	59.21	False	True	True	True	3	270cf7	0.00005309	-6.55	-6.55	-6.55	12.34	2024-05-10 20:38:01.678611
solana	raydium	2M4G1VVEFz5aPQdwEACqR2YD7Q22ttzaiN74SvRPd9N3	85qV2dgSazR9boxUB15uuEAUd6em5CrRXK2Mi53f9U3E	The Donfather	DON	17	10	520	356	0.39	22616.79	51506	2024-05-10 17:38:49	61.51	False	True	True	True	3	270cf7	0.00005150	-9.34	-9.34	-3.79	-2.85	2024-05-10 20:40:19.841194
