chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	171	24	171	24	12.0	23908.56	59126	2024-05-11 18:55:08	2.3	False	True	False	True	2	022e08	0.00005952	5.31	5.31	5.31	5.31	2024-05-11 20:57:26.189030
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	249	60	249	60	12.0	27664.53	79116	2024-05-11 18:55:08	4.58	False	True	False	True	2	022e08	0.00007965	40.92	40.92	40.92	40.92	2024-05-11 20:59:42.937245
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	169	97	342	122	5.93	28382.56	83093	2024-05-11 18:55:08	6.84	False	True	False	True	2	022e08	0.00008365	48	48	48	40.72	2024-05-11 21:01:58.437602
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	188	118	428	177	5.27	30569.23	96202	2024-05-11 18:55:08	9.12	False	True	True	True	3	022e08	0.00009685	71.35	71.35	71.35	24.97	2024-05-11 21:04:15.257855
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	138	95	511	236	3.24	35680.31	130701	2024-05-11 18:55:08	11.4	False	True	True	True	3	022e08	0.0001315	133	133	133	76.47	2024-05-11 21:06:32.005047
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	143	103	578	282	2.97	33701.76	116237	2024-05-11 18:55:08	13.69	False	True	True	True	3	022e08	0.0001170	107	107	107	8.59	2024-05-11 21:08:49.436578
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	155	126	666	362	2.79	37558.07	143802	2024-05-11 18:55:08	16.0	False	True	True	True	3	022e08	0.0001447	156	156	156	10.02	2024-05-11 21:11:08.191878
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	145	126	750	420	2.32	37160.43	140561	2024-05-11 18:55:08	18.28	False	True	True	True	3	022e08	0.0001415	150	150	150	12.68	2024-05-11 21:13:24.767797
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	173	102	846	470	2.45	41903.51	178317	2024-05-11 18:55:08	20.58	False	True	True	True	3	022e08	0.0001795	218	218	218	30.54	2024-05-11 21:15:42.648848
solana	raydium	58ebaHwcnTgxhgYuQNXRnhSogapBxv8asExa8ZWBE1z8	8Bb3gyYbK3WcuX5qMk5rQrKhr9VHW6CFdjturCF5AKhm	wifnomichi	wifnomichi	218	127	968	546	2.7	36854.73	137441	2024-05-11 18:55:08	22.91	False	True	True	True	3	022e08	0.0001383	145	145	145	-3.23	2024-05-11 21:18:02.372744
