chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	86	77	610	403	1.69	15069.32	61247	2024-05-18 13:59:44	100.3	False	True	True	True	3	1d420a	0.0006124	1663	1663	298	41.55	2024-05-18 17:40:02.225478
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	105	97	658	451	1.91	15806.56	67117	2024-05-18 13:59:44	102.63	False	True	True	True	3	1d420a	0.0006711	1832	1832	313	43.89	2024-05-18 17:42:21.808416
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	123	99	720	499	2.05	17381.19	80669	2024-05-18 13:59:44	104.95	False	True	True	True	3	1d420a	0.0008066	2222	2222	433	15.5	2024-05-18 17:44:40.861964
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	225	134	866	578	3.12	18379.57	89532	2024-05-18 13:59:44	107.31	False	True	True	True	3	1d420a	0.0008953	2478	2478	475	34.11	2024-05-18 17:47:02.612474
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	228	152	940	645	2.91	20725.37	113308	2024-05-18 13:59:44	109.67	False	True	True	True	3	1d420a	0.001133	3162	3162	634	39.54	2024-05-18 17:49:23.906856
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	160	136	1032	713	1.86	20769.92	112752	2024-05-18 13:59:44	112.02	False	True	True	True	3	1d420a	0.001127	3146	3146	675	-3.35	2024-05-18 17:51:45.232647
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	151	118	1092	760	1.66	18549.89	89556	2024-05-18 13:59:44	114.37	False	True	True	True	3	1d420a	0.0008955	2478	2478	553	-19.15	2024-05-18 17:54:06.410553
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	168	118	1187	815	1.7	17964.29	83598	2024-05-18 13:59:44	116.72	False	True	True	True	3	1d420a	0.0008359	2307	2307	477	-31.84	2024-05-18 17:56:27.291108
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	126	76	1229	838	1.23	16989.9	74569	2024-05-18 13:59:44	119.11	False	True	True	True	3	1d420a	0.0007456	2047	2047	426	-6.78	2024-05-18 17:58:50.646780
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	53	37	1236	849	0.51	17663.08	80495	2024-05-18 13:59:44	121.41	False	True	True	True	3	1d420a	0.0008049	2217	2217	435	-7.54	2024-05-18 18:01:08.669508
solana	raydium	EHzXbepg4yKGo5GupqVZSRQPbtpCAVqxR1GPYZBsXNi1	8Gy6hUwA51ouPDuT34PMNv1VzXGMMbqpg5DEBPjN8j7M	Apu Apustaja	APU	95	44	1313	881	0.87	19155.83	94460	2024-05-18 13:59:44	123.79	False	True	True	True	3	1d420a	0.0009445	2619	2619	479	17.93	2024-05-18 18:03:31.112083
