chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	129	55	129	55	12.0	33205.98	99370	2024-05-19 16:14:17	2.5	False	True	True	True	3	517af8	0.00009986	54.79	54.79	54.79	54.79	2024-05-19 18:16:47.183999
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	213	120	213	120	12.0	34268.6	105135	2024-05-19 16:14:17	5.14	False	True	True	True	3	517af8	0.0001056	63.77	63.77	63.77	63.77	2024-05-19 18:19:25.493064
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	147	122	293	192	6.02	29670.21	78578	2024-05-19 16:14:17	7.77	False	True	True	True	3	517af8	0.00007897	22.4	22.4	22.4	-13.81	2024-05-19 18:22:03.226652
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	57	48	441	320	1.55	26927.28	64598	2024-05-19 16:14:17	16.2	False	True	True	True	3	517af8	0.00006492	0.63	0.63	0.63	-3.67	2024-05-19 18:30:29.294631
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	49	54	476	345	1.24	26955.22	64672	2024-05-19 16:14:17	18.83	False	True	True	True	3	517af8	0.00006499	0.74	0.74	0.74	-29.78	2024-05-19 18:33:06.583681
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	35	38	491	370	0.86	23939.04	50841	2024-05-19 16:14:17	21.43	False	True	True	True	3	517af8	0.00005109	-20.8	-20.8	-20.8	-15.84	2024-05-19 18:35:42.835310
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	18	25	500	379	0.43	24772.24	54287	2024-05-19 16:14:17	24.07	False	True	True	True	3	517af8	0.00005455	-15.44	-15.44	-15.44	-11.56	2024-05-19 18:38:21.300424
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	29	17	522	391	0.67	27637.95	67470	2024-05-19 16:14:17	26.71	False	True	True	True	3	517af8	0.00006780	5.1	5.1	5.1	31.09	2024-05-19 18:40:59.602425
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	30	17	541	403	0.67	31450.59	87366	2024-05-19 16:14:17	29.32	False	True	True	True	3	517af8	0.00008780	36.09	36.09	36.09	44.17	2024-05-19 18:43:36.355261
solana	raydium	3nMvni3xMa82zNanFkQZFqze2w9ztdq9LFLcgCiZVTpW	8ad9wwCPvCdt34crgAEy9ab2wyiPKS45z92uW8fnt4jk	1WifNoOne	NoOne	49	32	572	424	1.03	30053.55	79718	2024-05-19 16:14:17	31.94	False	True	True	True	3	517af8	0.00008011	24.18	24.18	24.18	19.64	2024-05-19 18:46:13.263386
