chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	6	3	174	76	0.41	85622.07	207637	2024-05-06 18:01:03	49.03	False	True	True	True	3	b2b0a4	0.00004943	27.69	27.69	27.69	1.74	2024-05-06 20:50:04.679720
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	6	5	176	78	0.41	86982.79	214608	2024-05-06 18:01:03	51.22	False	True	True	True	3	b2b0a4	0.00005109	31.98	31.98	31.98	3.1	2024-05-06 20:52:16.347738
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	5	4	179	80	0.34	88695.34	223364	2024-05-06 18:01:03	53.43	False	True	True	True	3	b2b0a4	0.00005318	37.36	37.36	37.36	7.57	2024-05-06 20:54:28.528438
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	7	0	185	80	0.45	89457.43	227111	2024-05-06 18:01:03	55.69	False	True	True	True	3	b2b0a4	0.00005407	39.67	39.67	39.67	2.44	2024-05-06 20:56:44.593032
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	8	1	187	81	0.51	89594.66	227746	2024-05-06 18:01:03	57.96	False	True	True	True	3	b2b0a4	0.00005422	40.06	40.06	40.06	1.96	2024-05-06 20:59:00.817218
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	5	2	190	82	0.32	89372.19	226715	2024-05-06 18:01:03	60.17	False	True	True	True	3	b2b0a4	0.00005397	39.42	39.42	39.42	-0.17	2024-05-06 21:01:13.498388
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	3	1	93	63	0.39	89372.19	226715	2024-05-06 18:01:03	62.36	False	True	True	True	3	b2b0a4	0.00005397	39.42	39.42	14.18	-0.45	2024-05-06 21:03:24.899951
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	1	2	74	56	0.16	89065.76	225443	2024-05-06 18:01:03	64.54	False	True	True	True	3	b2b0a4	0.00005367	38.64	38.64	-2.61	-0.56	2024-05-06 21:05:35.114125
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	3	2	68	40	0.53	89557.94	228088	2024-05-06 18:01:03	66.79	False	True	True	True	3	b2b0a4	0.00005430	40.27	40.27	1.46	0.61	2024-05-06 21:07:50.672037
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	5	1	67	37	0.9	90823.88	234382	2024-05-06 18:01:03	68.97	False	True	True	True	3	b2b0a4	0.00005580	44.14	44.14	7.03	3.97	2024-05-06 21:10:01.120295
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	10	3	72	38	1.67	90584.17	233046	2024-05-06 18:01:03	71.25	False	True	True	True	3	b2b0a4	0.00005548	43.32	43.32	7.49	2.55	2024-05-06 21:12:18.134964
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	13	4	77	34	2.03	90368.64	232852	2024-05-06 18:01:03	73.49	False	True	True	True	3	b2b0a4	0.00005544	43.2	43.2	18.68	0.62	2024-05-06 21:14:32.426815
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	7	3	75	28	1.12	89763.98	231201	2024-05-06 18:01:03	75.85	False	True	True	True	3	b2b0a4	0.00005504	42.18	42.18	31.42	-0.95	2024-05-06 21:16:54.185819
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	11	2	76	27	1.74	90470.73	234435	2024-05-06 18:01:03	78.14	False	True	True	True	3	b2b0a4	0.00005581	44.17	44.17	19.99	0.68	2024-05-06 21:19:11.634503
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	7	1	77	26	1.09	91166.32	237563	2024-05-06 18:01:03	80.45	False	True	True	True	3	b2b0a4	0.00005656	46.09	46.09	22.7	1.97	2024-05-06 21:21:30.286019
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	8	1	80	26	1.2	92170.81	241946	2024-05-06 18:01:03	82.71	False	True	True	True	3	b2b0a4	0.00005760	48.79	48.79	24.16	2.94	2024-05-06 21:23:45.575229
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	18	5	89	31	2.43	93951.26	251823	2024-05-06 18:01:03	84.93	False	True	True	True	3	b2b0a4	0.00005995	54.86	54.86	28.66	6	2024-05-06 21:25:58.684338
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	24	7	94	31	3.06	96291.31	264321	2024-05-06 18:01:03	87.14	False	True	True	True	3	b2b0a4	0.00006293	62.55	62.55	33.37	9.25	2024-05-06 21:28:11.294360
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	26	8	102	34	3.06	97641.77	272307	2024-05-06 18:01:03	89.38	False	True	True	True	3	b2b0a4	0.00006483	67.46	67.46	37.13	8.54	2024-05-06 21:30:25.876701
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	13	9	102	38	1.53	97612.44	272735	2024-05-06 18:01:03	91.61	False	True	True	True	3	b2b0a4	0.00006493	67.72	67.72	36.64	2.16	2024-05-06 21:32:39.630141
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	7	9	103	41	0.82	96372.9	265087	2024-05-06 18:01:03	93.92	False	True	True	True	3	b2b0a4	0.00006311	63.02	63.02	31.37	-2.81	2024-05-06 21:34:57.967675
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	3	5	103	43	0.35	95864.61	262382	2024-05-06 18:01:03	96.19	False	True	True	True	3	b2b0a4	0.00006247	61.36	61.36	30.03	-3.8	2024-05-06 21:37:14.365422
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	6	7	108	47	0.67	97432.03	270755	2024-05-06 18:01:03	98.42	False	True	True	True	3	b2b0a4	0.00006446	66.51	66.51	32.79	2.64	2024-05-06 21:39:28.421984
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	5	4	109	46	0.55	97556.27	271338	2024-05-06 18:01:03	100.65	False	True	True	True	3	b2b0a4	0.00006460	66.86	66.86	32.55	-1.17	2024-05-06 21:41:42.075439
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	3	2	110	47	0.33	99234.05	279794	2024-05-06 18:01:03	102.88	False	True	True	True	3	b2b0a4	0.00006661	72.06	72.06	37.1	3.34	2024-05-06 21:43:55.779366
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	4	2	112	47	0.43	99487.35	281463	2024-05-06 18:01:03	105.08	False	True	True	True	3	b2b0a4	0.00006701	73.09	73.09	37.92	3.73	2024-05-06 21:46:07.585599
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	3	1	108	46	0.33	99732.56	282056	2024-05-06 18:01:03	107.29	False	True	True	True	3	b2b0a4	0.00006715	73.46	73.46	34.36	0.81	2024-05-06 21:48:20.456987
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	2	4	106	46	0.23	99445.9	280012	2024-05-06 18:01:03	109.54	False	True	True	True	3	b2b0a4	0.00006666	72.2	72.2	30.48	-0.52	2024-05-06 21:50:35.521565
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	1	4	104	45	0.12	98505.38	275059	2024-05-06 18:01:03	111.74	False	True	True	True	3	b2b0a4	0.00006549	69.15	69.15	24.07	-2.48	2024-05-06 21:52:47.535502
solana	raydium	FVPpfCbuxcynYp5RwjLWjMeYWTMqFn1rVBBBbLXcMqSZ	8caaH4GJmEy6kVFYgznnDFt427TWXZswub9EZnz5DEKL	dogwifseal	dogwifseal	3	6	103	50	0.35	96874.86	266238	2024-05-06 18:01:03	114.05	False	True	True	True	3	b2b0a4	0.00006339	63.73	63.73	17.37	-4.92	2024-05-06 21:55:06.175934
