chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	91	81	230	164	4.75	11455.94	67725	2024-05-08 03:45:00	10.47	False	True	True	True	3	9be952	0.0006772	50.79	50.79	50.79	2.02	2024-05-08 05:55:28.281488
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	76	62	270	192	3.38	11980.65	73086	2024-05-08 03:45:00	12.71	False	True	True	True	3	9be952	0.0007308	62.72	62.72	62.72	-2.43	2024-05-08 05:57:42.625131
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	89	74	323	241	3.31	11451.13	65538	2024-05-08 03:45:00	14.96	False	True	True	True	3	9be952	0.0006553	45.92	45.92	45.92	-16.92	2024-05-08 05:59:57.680284
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	93	88	363	280	3.07	10917.97	58606	2024-05-08 03:45:00	17.22	False	True	True	True	3	9be952	0.0005860	30.48	30.48	30.48	-19.81	2024-05-08 06:02:12.986674
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	100	95	406	324	2.96	11290.01	61434	2024-05-08 03:45:00	19.48	False	True	True	True	3	9be952	0.0006143	36.78	36.78	36.78	-16.43	2024-05-08 06:04:28.699876
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	87	79	451	360	2.31	12812.57	77655	2024-05-08 03:45:00	21.74	False	True	True	True	3	9be952	0.0007765	72.9	72.9	72.9	34.77	2024-05-08 06:06:44.559248
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	91	74	497	398	2.2	12294.74	70300	2024-05-08 03:45:00	23.99	False	True	True	True	3	9be952	0.0007030	56.52	56.52	56.52	14.43	2024-05-08 06:08:59.649118
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	82	73	530	431	1.86	11195.51	57760	2024-05-08 03:45:00	26.27	False	True	True	True	3	9be952	0.0005776	28.6	28.6	28.6	-15.59	2024-05-08 06:11:16.274834
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	89	84	575	472	1.86	12140.91	66290	2024-05-08 03:45:00	28.52	False	True	True	True	3	9be952	0.0006628	47.59	47.59	47.59	-7.3	2024-05-08 06:13:31.154493
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	70	72	608	510	1.38	11049.57	54138	2024-05-08 03:45:00	30.76	False	True	True	True	3	9be952	0.0005413	20.54	20.54	20.54	-14.51	2024-05-08 06:15:45.733686
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	82	77	687	584	1.43	10844.54	50363	2024-05-08 03:45:00	35.28	False	True	True	True	3	9be952	0.0005036	12.13	12.13	12.13	6.31	2024-05-08 06:20:16.573596
solana	raydium	5N78bpbytPwUTsECsPiQDesEzKQgkYfzSuMD5RoH6URH	92dsWs8cW7SajjS2drqvSWbxcySiAJSf4cLTdcrPFo1a	Soland	LAND	49	45	736	629	0.8	11252.63	53077	2024-05-08 03:45:00	39.79	False	True	True	True	3	9be952	0.0005307	18.17	18.17	18.17	5.39	2024-05-08 06:24:47.427443
