chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	363	56	363	56	12.0	56402.67	311408	2024-05-06 15:28:53	1.72	False	True	True	True	3	ad1195	0.0003114	399	399	399	399	2024-05-06 17:30:36.457244
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	857	235	857	235	12.0	46444.2	205541	2024-05-06 15:28:53	3.91	False	True	True	True	3	ad1195	0.0002055	230	230	230	230	2024-05-06 17:32:47.335210
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	877	349	1230	404	8.56	58145.34	316377	2024-05-06 15:28:53	6.09	False	True	True	True	3	ad1195	0.0003163	407	407	407	30.37	2024-05-06 17:34:58.429108
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	727	343	1547	564	5.64	58302.97	314592	2024-05-06 15:28:53	8.32	False	True	True	True	3	ad1195	0.0003145	404	404	404	50.07	2024-05-06 17:37:12.227178
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	712	354	1880	729	4.54	51430.83	239640	2024-05-06 15:28:53	10.54	False	True	True	True	3	ad1195	0.0002396	284	284	284	-22.79	2024-05-06 17:39:25.506537
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	517	266	2098	857	2.96	55787.61	279551	2024-05-06 15:28:53	12.71	False	True	True	True	3	ad1195	0.0002795	348	348	348	59.22	2024-05-06 17:41:35.726597
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	392	252	2294	987	2.05	63707.04	360184	2024-05-06 15:28:53	14.9	False	True	True	True	3	ad1195	0.0003601	478	478	478	38.72	2024-05-06 17:43:46.719228
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	393	265	2493	1123	1.89	69095.19	419296	2024-05-06 15:28:53	17.11	False	True	True	True	3	ad1195	0.0004192	572	572	572	41.32	2024-05-06 17:45:59.739728
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	405	267	2674	1241	1.82	67616.43	400233	2024-05-06 15:28:53	19.29	False	True	True	True	3	ad1195	0.0004002	542	542	542	7.79	2024-05-06 17:48:10.535489
solana	raydium	GDFbhyYpiMektFpq7NZwCj2jH5EjKdDrLjnz31WbaWVj	98oqCXo6cB3Wtxo38a3HHoswmratNckCNKqtL4WuNyBG	Tap Of Memes	TOME	507	300	2969	1403	2.05	66013.35	376556	2024-05-06 15:28:53	21.51	False	True	True	True	3	ad1195	0.0003765	504	504	504	-6.55	2024-05-06 17:50:23.539741
