chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	114	72	488	307	2.8	15612.94	60361	2024-05-08 17:58:57	13.62	False	True	True	True	3	833f81	0.00006036	2797	2797	2797	174	2024-05-08 20:12:33.998817
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	75	52	514	328	1.75	16271.34	65267	2024-05-08 17:58:57	15.89	False	True	True	True	3	833f81	0.00006526	3033	3033	3033	38.62	2024-05-08 20:14:50.161930
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	63	47	551	355	1.37	15927.41	62392	2024-05-08 17:58:57	18.17	False	True	True	True	3	833f81	0.00006239	2895	2895	2895	6.75	2024-05-08 20:17:07.401359
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	71	51	583	378	1.46	14912.65	54486	2024-05-08 17:58:57	20.44	False	True	True	True	3	833f81	0.00005448	2515	2515	2515	-7.4	2024-05-08 20:19:23.579304
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	53	32	617	394	1.03	16023.39	62835	2024-05-08 17:58:57	22.72	False	True	True	True	3	833f81	0.00006283	2916	2916	2916	-9.48	2024-05-08 20:21:40.267827
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	47	28	632	408	0.89	15095.42	55514	2024-05-08 17:58:57	25.01	False	True	True	True	3	833f81	0.00005551	2565	2565	2565	11.12	2024-05-08 20:23:57.318560
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	93	48	707	441	1.58	15934.63	61447	2024-05-08 17:58:57	27.3	False	True	True	True	3	833f81	0.00006144	2850	2850	2850	-3.84	2024-05-08 20:26:15.069693
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	114	54	744	458	1.84	15014.22	54426	2024-05-08 17:58:57	29.59	False	True	True	True	3	833f81	0.00005442	2513	2513	2513	-9.11	2024-05-08 20:28:32.144211
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	66	46	777	489	1.02	16342.47	64510	2024-05-08 17:58:57	31.85	False	True	True	True	3	833f81	0.00006451	2997	2997	2997	7.43	2024-05-08 20:30:47.907767
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	41	42	791	501	0.62	15947.61	61494	2024-05-08 17:58:57	34.18	False	True	True	True	3	833f81	0.00006149	2852	2852	2852	-2.54	2024-05-08 20:33:07.795239
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	36	29	813	516	0.53	15749.7	60214	2024-05-08 17:58:57	36.47	False	True	True	True	3	833f81	0.00006021	2790	2790	2790	-7.22	2024-05-08 20:35:25.176322
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	30	25	823	527	0.44	15852.54	61108	2024-05-08 17:58:57	38.73	False	True	True	True	3	833f81	0.00006110	2833	2833	2833	-4.58	2024-05-08 20:37:41.069394
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	14	23	828	540	0.2	14855.4	53592	2024-05-08 17:58:57	41.0	False	True	True	True	3	833f81	0.00005359	2473	2473	2473	-15.69	2024-05-08 20:39:57.181071
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	23	22	845	548	0.33	15170.15	55825	2024-05-08 17:58:57	43.32	False	True	True	True	3	833f81	0.00005582	2580	2580	2580	-6.99	2024-05-08 20:42:16.185867
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	18	15	849	560	0.25	14579.59	51386	2024-05-08 17:58:57	45.58	False	True	True	True	3	833f81	0.00005138	2367	2367	2367	9.92	2024-05-08 20:44:32.049624
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	27	18	796	520	0.41	14446.74	50671	2024-05-08 17:58:57	61.58	False	True	True	True	3	833f81	0.00005067	2332	2332	26.15	35.07	2024-05-08 21:00:31.867615
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	61	32	739	499	0.99	16495.23	65694	2024-05-08 17:58:57	63.94	False	True	True	True	3	833f81	0.00006569	3053	3053	51.41	64.88	2024-05-08 21:02:53.272699
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	75	47	722	484	1.25	18246.32	80301	2024-05-08 17:58:57	66.24	False	True	True	True	3	833f81	0.00008030	3755	3755	148	58.48	2024-05-08 21:05:11.390378
solana	raydium	D2uAdk9kZzEsNHHHZaHh5DKRJPjjRNyE2fEYiFLC7n7u	9Pug19UEjW5wiFG5bLWYpjtz6s9K8ZGXmRvZwyfX7SNy	PHOX	PHOX	78	49	704	475	1.33	15174.98	55611	2024-05-08 17:58:57	68.53	False	True	True	True	3	833f81	0.00005561	2569	2569	152	-19.07	2024-05-08 21:07:28.733563
