chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	132	78	865	635	1.83	34876.56	121775	2024-05-12 05:57:16	24.4	False	False	False	True	2	8213a8	0.0001217	114	114	114	106	2024-05-12 08:21:40.139585
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	131	68	923	669	1.7	37023.11	136995	2024-05-12 05:57:16	26.67	False	False	False	True	2	8213a8	0.0001369	141	141	141	192	2024-05-12 08:23:55.989646
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	146	84	1009	716	1.74	45544.56	207044	2024-05-12 05:57:16	28.93	False	False	False	True	2	8213a8	0.0002070	265	265	265	81.76	2024-05-12 08:26:11.609455
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	150	82	1068	745	1.69	51774.28	267170	2024-05-12 05:57:16	31.19	False	False	False	True	2	8213a8	0.0002671	370	370	370	104	2024-05-12 08:28:27.646501
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	103	61	1125	783	1.1	45983.91	210294	2024-05-12 05:57:16	33.56	False	False	False	True	2	8213a8	0.0002102	270	270	270	-3.52	2024-05-12 08:30:49.305041
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	96	86	1167	833	0.99	52900.75	277580	2024-05-12 05:57:16	35.82	False	False	False	True	2	8213a8	0.0002775	389	389	389	1.98	2024-05-12 08:33:05.228474
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	89	93	1206	870	0.89	53269.96	281266	2024-05-12 05:57:16	38.07	False	False	False	True	2	8213a8	0.0002812	395	395	395	23.59	2024-05-12 08:35:20.049465
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	60	44	1239	890	0.58	55938.47	310250	2024-05-12 05:57:16	40.33	False	False	False	True	2	8213a8	0.0003102	446	446	446	10.99	2024-05-12 08:37:35.512788
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	79	79	1301	951	0.73	67732.83	453818	2024-05-12 05:57:16	42.59	False	False	False	True	2	8213a8	0.0004538	699	699	699	59.82	2024-05-12 08:39:51.118981
solana	raydium	Dfk133hHxjAA1yPryNkoPERGJ5DMpUtm79YeY1p1Wiyh	9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp	SelfieDogCoin	SELFIE	157	148	1395	1032	1.35	80039.89	632420	2024-05-12 05:57:16	44.84	False	False	False	True	2	8213a8	0.0006324	1013	1013	1013	97.36	2024-05-12 08:42:06.474343
