chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	17	12	120	80	1.7	12519.41	51780	2024-05-10 04:32:00	119.51	False	True	False	True	2	0d46d7	0.001035	2355	2355	30.9	17.1	2024-05-10 08:31:30.367330
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	15	7	118	78	1.53	13245.08	57944	2024-05-10 04:32:00	121.78	False	True	False	True	2	0d46d7	0.001158	2647	2647	49.56	12.44	2024-05-10 08:33:46.996068
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	11	4	121	77	1.09	13440.53	59587	2024-05-10 04:32:00	124.07	False	True	False	True	2	0d46d7	0.001191	2725	2725	67.69	15.08	2024-05-10 08:36:04.135701
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	8	7	120	76	0.8	13260.92	57976	2024-05-10 04:32:00	126.35	False	True	False	True	2	0d46d7	0.001159	2649	2649	64.6	1.18	2024-05-10 08:38:20.736187
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	5	4	123	72	0.49	13534.86	60395	2024-05-10 04:32:00	128.61	False	True	False	True	2	0d46d7	0.001207	2763	2763	161	1.41	2024-05-10 08:40:36.419493
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	6	0	114	66	0.63	13575.29	60740	2024-05-10 04:32:00	130.89	False	True	False	True	2	0d46d7	0.001214	2780	2780	133	3.46	2024-05-10 08:42:53.320085
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	3	2	108	68	0.33	13394.58	59016	2024-05-10 04:32:00	133.16	False	True	False	True	2	0d46d7	0.001180	2698	2698	95.75	-2.75	2024-05-10 08:45:09.312229
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	3	2	105	67	0.34	13478.15	59719	2024-05-10 04:32:00	135.44	False	True	False	True	2	0d46d7	0.001194	2731	2731	77.33	-1.68	2024-05-10 08:47:26.369335
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	1	0	98	57	0.12	13478.15	59719	2024-05-10 04:32:00	137.72	False	True	False	True	2	0d46d7	0.001194	2731	2731	94.18	0.48	2024-05-10 08:49:43.340561
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	0	5	95	58		13229.47	57425	2024-05-10 04:32:00	139.99	False	True	False	True	2	0d46d7	0.001148	2623	2623	94.71	-3.84	2024-05-10 08:51:59.689090
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	0	9	93	60		12655.08	52458	2024-05-10 04:32:00	142.26	False	True	False	True	2	0d46d7	0.001049	2387	2387	85.66	-12.16	2024-05-10 08:54:15.850898
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	12	1	51	41	2.82	13054.08	55549	2024-05-10 04:32:00	185.48	False	True	False	True	2	0d46d7	0.001110	2534	2534	-4.32	43.56	2024-05-10 09:37:28.818002
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	15	4	52	45	3.46	12929.33	54537	2024-05-10 04:32:00	187.77	False	True	False	True	2	0d46d7	0.001090	2486	2486	-10.13	24.95	2024-05-10 09:39:46.198178
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	20	7	63	48	3.81	13443.78	58867	2024-05-10 04:32:00	190.07	False	True	False	True	2	0d46d7	0.001177	2691	2691	-3.08	5.97	2024-05-10 09:42:04.173001
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	22	12	71	53	3.72	13295.27	57583	2024-05-10 04:32:00	192.34	False	True	False	True	2	0d46d7	0.001151	2630	2630	-2.43	1.86	2024-05-10 09:44:20.154906
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	12	10	74	56	1.95	12694.67	52505	2024-05-10 04:32:00	194.62	False	True	False	True	2	0d46d7	0.001050	2389	2389	-12.08	-11.39	2024-05-10 09:46:36.996917
solana	raydium	21Mp9y6DMZwM7apxvUDLvHPKzHpLmmmP4NjJjSaNtgmY	9XbFEE5hKwDZWcUqm9paE7JkcCkJkmM2V68dNTHdEpcb	SUPER TREMP	SUPER	6	7	76	60	0.95	12703.53	52682	2024-05-10 04:32:00	196.88	False	True	False	True	2	0d46d7	0.001053	2398	2398	-11.78	-9.6	2024-05-10 09:48:52.735290
