chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	34	11	443	261	0.92	109391.78	946722	2024-05-07 03:11:16	29.32	False	True	True	True	3	574826	0.0009467	5953	5953	5953	15.05	2024-05-07 05:40:35.213512
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	33	31	454	285	0.87	102610.19	832899	2024-05-07 03:11:16	31.51	False	True	True	True	3	574826	0.0008328	5225	5225	5225	0.41	2024-05-07 05:42:46.476704
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	22	43	465	304	0.57	93335.03	687613	2024-05-07 03:11:16	33.68	False	True	True	True	3	574826	0.0006876	4296	4296	4296	-27.37	2024-05-07 05:44:56.680501
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	34	30	488	313	0.84	95030.17	714862	2024-05-07 03:11:16	35.86	False	True	True	True	3	574826	0.0007148	4470	4470	4470	-14.39	2024-05-07 05:47:07.357895
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	29	34	491	333	0.71	87366.37	602545	2024-05-07 03:11:16	38.03	False	True	True	True	3	574826	0.0006025	3752	3752	3752	-21.83	2024-05-07 05:49:17.640376
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	25	29	510	340	0.59	94762.13	709291	2024-05-07 03:11:16	40.2	False	True	True	True	3	574826	0.0007092	4435	4435	4435	-2.09	2024-05-07 05:51:27.799399
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	23	15	516	349	0.53	89280.59	629204	2024-05-07 03:11:16	42.36	False	True	True	True	3	574826	0.0006292	3923	3923	3923	3.72	2024-05-07 05:53:37.398229
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	11	15	522	356	0.25	78027.35	479097	2024-05-07 03:11:16	44.54	False	True	True	True	3	574826	0.0004790	2963	2963	2963	-32.32	2024-05-07 05:55:48.195270
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	24	18	538	367	0.54	84550.58	564683	2024-05-07 03:11:16	46.69	False	True	True	True	3	574826	0.0005646	3510	3510	3510	-9.77	2024-05-07 05:57:57.308148
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	23	23	543	377	0.51	75936.72	454856	2024-05-07 03:11:16	48.85	False	True	True	True	3	574826	0.0004548	2808	2808	2808	-15.42	2024-05-07 06:00:06.787603
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	15	16	551	382	0.33	80725.56	511827	2024-05-07 03:11:16	51.01	False	True	True	True	3	574826	0.0005118	3172	3172	3172	-9.05	2024-05-07 06:02:16.748347
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	28	14	571	391	0.59	87486.24	600391	2024-05-07 03:11:16	53.2	False	True	True	True	3	574826	0.0006003	3739	3739	3739	32	2024-05-07 06:04:28.247040
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	37	11	591	394	0.75	90403.5	642246	2024-05-07 03:11:16	55.38	False	True	True	True	3	574826	0.0006422	4006	4006	4006	11.81	2024-05-07 06:06:38.632942
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	42	14	613	405	0.82	90169.75	637003	2024-05-07 03:11:16	57.55	False	True	True	True	3	574826	0.0006370	3973	3973	3973	6.1	2024-05-07 06:08:48.913489
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	33	15	624	409	0.63	90277.68	638256	2024-05-07 03:11:16	59.72	False	True	True	True	3	574826	0.0006382	3981	3981	3981	-0.62	2024-05-07 06:10:59.222571
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	28	11	589	409	0.57	94000.4	690149	2024-05-07 03:11:16	61.92	False	True	True	True	3	574826	0.0006901	4312	4312	516	5.88	2024-05-07 06:13:11.053836
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	27	7	564	398	0.57	97695.07	746227	2024-05-07 03:11:16	64.09	False	True	True	True	3	574826	0.0007462	4671	4671	34.8	16.92	2024-05-07 06:15:21.174248
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	18	6	515	363	0.42	95940.23	720028	2024-05-07 03:11:16	66.26	False	True	True	True	3	574826	0.0007200	4504	4504	-21.4	0.85	2024-05-07 06:17:31.729391
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	21	18	484	335	0.52	90165.97	636409	2024-05-07 03:11:16	68.44	False	True	True	True	3	574826	0.0006364	3969	3969	8.78	-14.72	2024-05-07 06:19:42.518664
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	17	23	436	319	0.47	88751	614915	2024-05-07 03:11:16	70.62	False	True	True	True	3	574826	0.0006149	3831	3831	30.28	-14.6	2024-05-07 06:21:53.114017
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	10	12	412	299	0.29	89951.04	631838	2024-05-07 03:11:16	72.79	False	True	True	True	3	574826	0.0006318	3940	3940	10.25	-0.72	2024-05-07 06:24:03.365352
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	17	10	404	288	0.5	88090.53	603044	2024-05-07 03:11:16	74.97	False	True	True	True	3	574826	0.0006030	3756	3756	33.96	0.69	2024-05-07 06:26:14.475506
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	18	15	391	280	0.55	86921.09	587401	2024-05-07 03:11:16	77.17	False	True	True	True	3	574826	0.0005874	3656	3656	50.09	-7.39	2024-05-07 06:28:25.947632
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	11	10	355	264	0.37	88361.34	606759	2024-05-07 03:11:16	79.32	False	True	True	True	3	574826	0.0006067	3779	3779	-13.89	0.62	2024-05-07 06:30:35.100500
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	12	9	341	245	0.42	90169.26	632954	2024-05-07 03:11:16	81.49	False	True	True	True	3	574826	0.0006329	3947	3947	-15.15	7.75	2024-05-07 06:32:45.287890
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	17	10	331	237	0.62	89883.54	629988	2024-05-07 03:11:16	83.65	False	True	True	True	3	574826	0.0006299	3928	3928	-33.98	3.83	2024-05-07 06:34:55.062199
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	21	10	313	226	0.81	95758.97	716979	2024-05-07 03:11:16	85.82	False	True	True	True	3	574826	0.0007169	4484	4484	-12.47	13.6	2024-05-07 06:37:05.316967
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	66	38	355	256	2.23	96979.91	734688	2024-05-07 03:11:16	87.98	False	True	True	True	3	574826	0.0007346	4597	4597	-15.78	16.67	2024-05-07 06:39:15.085742
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	79	39	355	248	2.67	97827.64	746717	2024-05-07 03:11:16	90.16	False	True	True	True	3	574826	0.0007467	4674	4674	-13.71	19.92	2024-05-07 06:41:25.683478
solana	raydium	DJqjYxWH9QR1aiLEmuhjDH83WtNUotspXCKC9jzCVP7z	9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi	PEPCAT	PEPCAT	26	17	350	230	0.89	97212.13	735418	2024-05-07 03:11:16	92.31	False	True	True	True	3	574826	0.0007354	4602	4602	-4.6	-6.6	2024-05-07 06:43:34.698227
