chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	68	37	653	413	1.25	72263.86	501990	2024-05-19 16:44:32	22.79	False	True	True	True	3	502269	0.005019	19748	19748	19748	47.34	2024-05-19 19:07:19.684882
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	151	64	775	460	2.34	71223.95	485247	2024-05-19 16:44:32	25.42	False	True	True	True	3	502269	0.004852	19086	19086	19086	22.83	2024-05-19 19:09:57.446835
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	93	50	827	483	1.35	72431.48	500520	2024-05-19 16:44:32	28.07	False	True	True	True	3	502269	0.005005	19690	19690	19690	-4.07	2024-05-19 19:12:36.438772
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	77	40	856	502	1.08	71204.07	481472	2024-05-19 16:44:32	30.69	False	True	True	True	3	502269	0.004814	18937	18937	18937	-1.51	2024-05-19 19:15:13.430109
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	69	55	903	544	0.92	75627.66	540530	2024-05-19 16:44:32	33.28	False	True	True	True	3	502269	0.005405	21272	21272	21272	14.17	2024-05-19 19:17:48.844808
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	60	41	939	567	0.77	68424.13	441666	2024-05-19 16:44:32	35.9	False	True	True	True	3	502269	0.004416	17363	17363	17363	-13.45	2024-05-19 19:20:26.185574
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	92	183	1004	735	1.1	56864.8	303584	2024-05-19 16:44:32	38.53	False	True	True	True	3	502269	0.003035	11903	11903	11903	-37.59	2024-05-19 19:23:04.035991
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	108	183	1058	777	1.22	48249.3	216695	2024-05-19 16:44:32	41.16	False	True	True	True	3	502269	0.002166	8468	8468	8468	-34.59	2024-05-19 19:25:41.850154
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	135	188	1146	928	1.41	43384.73	174577	2024-05-19 16:44:32	43.8	False	True	True	True	3	502269	0.001745	6803	6803	6803	-43.52	2024-05-19 19:28:19.884183
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	120	69	1194	952	1.21	48309.95	216861	2024-05-19 16:44:32	46.39	False	True	True	True	3	502269	0.002168	8474	8474	8474	62.12	2024-05-19 19:30:55.610708
solana	raydium	6SizwRs3vVmJEKQ6hc3kFFVwBvtKd3pXTS2gAvXi71rd	9pq9zw7Pm7xCxgKP3o6G6j5S9nTxaCJYVWZxDF7n8fdd	DAWG COIN	DAWG	53	40	1223	980	0.52	51244.78	243776	2024-05-19 16:44:32	48.99	False	True	True	True	3	502269	0.002437	9538	9538	9538	37.98	2024-05-19 19:33:31.468436
