chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	36	13	303	166	1.43	18108.68	51111	2024-05-16 00:47:44	453.84	False	True	True	True	3	a9e1e7	0.00005111	3766	51.77	509	1.51	2024-05-16 10:21:34.480252
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	26	7	352	183	0.89	18736.36	54705	2024-05-16 00:47:44	460.65	False	True	True	True	3	a9e1e7	0.00005470	4038	47.98	618	23.68	2024-05-16 10:28:22.926983
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	38	17	376	195	1.21	23362.66	85603	2024-05-16 00:47:44	462.95	False	True	True	True	3	a9e1e7	0.00008560	6376	110	1023	84.41	2024-05-16 10:30:41.139931
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	40	36	394	219	1.22	22095.39	76503	2024-05-16 00:47:44	465.22	False	True	True	True	3	a9e1e7	0.00007650	5687	83.34	904	24.69	2024-05-16 10:32:57.106294
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	29	33	404	227	0.86	21700.05	73685	2024-05-16 00:47:44	467.5	False	True	True	True	3	a9e1e7	0.00007368	5474	79.31	842	-13.85	2024-05-16 10:35:13.836152
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	37	15	426	232	1.04	21362.29	71220	2024-05-16 00:47:44	469.79	False	True	True	True	3	a9e1e7	0.00007122	5288	85.69	733	-8.87	2024-05-16 10:37:31.319532
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	29	13	431	239	0.81	21409.08	71459	2024-05-16 00:47:44	472.1	False	True	True	True	3	a9e1e7	0.00007146	5306	116	644	-4.51	2024-05-16 10:39:49.900068
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	17	9	440	240	0.46	22077.72	75974	2024-05-16 00:47:44	474.38	False	True	True	True	3	a9e1e7	0.00007597	5647	103	691	6.37	2024-05-16 10:42:06.568338
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	21	6	451	245	0.56	23665.1	87411	2024-05-16 00:47:44	476.68	False	True	True	True	3	a9e1e7	0.00008741	6513	128	811	22.88	2024-05-16 10:44:24.723788
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	35	23	477	261	0.88	20892.48	67802	2024-05-16 00:47:44	478.97	False	True	True	True	3	a9e1e7	0.00006780	5029	57.1	634	-29.49	2024-05-16 10:46:42.196502
solana	raydium	YFU1LBz2zFQeTFusbAEfxgJWvtRR5RzqAmKBsyduVDi	9q7P1mDhwrpWhyPib4brAu3Qjq2HmF7XJzFSsm2Rej6N	Invisible Cat	ICAT	45	50	495	291	1.09	18970.41	55795	2024-05-16 00:47:44	481.27	False	True	True	True	3	a9e1e7	0.00005579	4121	-11.48	538	-36.17	2024-05-16 10:49:00.124350
