chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	205	147	678	392	3.63	45184.72	187959	2024-05-08 01:07:57	10.21	False	True	True	True	3	e3ea01	0.0002042	201	201	201	-22.27	2024-05-08 03:18:09.343558
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	136	84	755	446	2.16	45394.81	189639	2024-05-08 01:07:57	12.53	False	True	True	True	3	e3ea01	0.0002060	204	204	204	16.19	2024-05-08 03:20:28.798289
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	98	84	794	483	1.48	43717.92	175398	2024-05-08 01:07:57	14.84	False	True	True	True	3	e3ea01	0.0001905	181	181	181	-13.8	2024-05-08 03:22:47.545585
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	94	92	849	538	1.33	38903.08	138827	2024-05-08 01:07:57	17.23	False	True	True	True	3	e3ea01	0.0001508	122	122	122	-26.79	2024-05-08 03:25:10.970046
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	147	141	935	611	1.89	45123.41	186001	2024-05-08 01:07:57	19.6	False	True	True	True	3	e3ea01	0.0002020	198	198	198	3.98	2024-05-08 03:27:33.007148
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	110	85	969	639	1.36	55502.92	280690	2024-05-08 01:07:57	21.9	False	True	True	True	3	e3ea01	0.0003049	349	349	349	172	2024-05-08 03:29:51.148328
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	95	68	1030	679	1.11	61609.05	344812	2024-05-08 01:07:57	24.18	False	True	True	True	3	e3ea01	0.0003746	452	452	452	85.38	2024-05-08 03:32:07.963058
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	140	116	1101	747	1.53	63697.4	368227	2024-05-08 01:07:57	26.44	False	True	True	True	3	e3ea01	0.0004000	489	489	489	54.11	2024-05-08 03:34:23.193810
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	148	117	1182	806	1.5	59880.71	323779	2024-05-08 01:07:57	28.74	False	True	True	True	3	e3ea01	0.0003517	418	418	418	1.27	2024-05-08 03:36:41.699620
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	145	111	1267	868	1.37	57229.92	294239	2024-05-08 01:07:57	31.03	False	True	True	True	3	e3ea01	0.0003196	371	371	371	-21.64	2024-05-08 03:38:58.574515
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	130	105	1311	911	1.19	49887.06	222944	2024-05-08 01:07:57	33.34	False	True	True	True	3	e3ea01	0.0002422	257	257	257	-30.67	2024-05-08 03:41:17.157727
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	135	105	1392	959	1.16	52636.94	247836	2024-05-08 01:07:57	35.6	False	True	True	True	3	e3ea01	0.0002692	297	297	297	-20.6	2024-05-08 03:43:33.068728
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	106	62	1443	984	0.88	63897.18	364575	2024-05-08 01:07:57	37.9	False	True	True	True	3	e3ea01	0.0003960	483	483	483	21.84	2024-05-08 03:45:50.918935
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	120	93	1516	1053	0.95	67295.63	403681	2024-05-08 01:07:57	40.16	False	True	True	True	3	e3ea01	0.0004385	546	546	546	67.02	2024-05-08 03:48:06.822930
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	121	97	1558	1078	0.93	67415.91	404249	2024-05-08 01:07:57	42.43	False	True	True	True	3	e3ea01	0.0004392	547	547	547	28.99	2024-05-08 03:50:22.705824
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	54	60	1581	1116	0.41	59961.95	319650	2024-05-08 01:07:57	44.72	False	True	True	True	3	e3ea01	0.0003472	412	412	412	-22.66	2024-05-08 03:52:40.084834
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	78	67	1636	1147	0.57	65915.01	385887	2024-05-08 01:07:57	47.02	False	True	True	True	3	e3ea01	0.0004192	518	518	518	-1.96	2024-05-08 03:54:58.350130
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	103	70	1684	1182	0.73	65715.75	383226	2024-05-08 01:07:57	49.34	False	True	True	True	3	e3ea01	0.0004163	513	513	513	15.27	2024-05-08 03:57:17.310442
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	78	69	1728	1224	0.54	71579.04	454010	2024-05-08 01:07:57	51.63	False	True	True	True	3	e3ea01	0.0004932	627	627	627	13.65	2024-05-08 03:59:34.591626
solana	raydium	94X9NLLNPj4d3wkezQwuSLJUoiiKXgoer99ayw6L1sy7	9qyMyv6uNR71ZBgFJmyJFjHWCgSSQuN3Lk58EUFJfoVL	GLAZING	GLAZE	87	71	1776	1260	0.59	76940.92	523665	2024-05-08 01:07:57	53.92	False	True	True	True	3	e3ea01	0.0005689	738	738	738	39.15	2024-05-08 04:01:52.434091
