chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	248	173	578	322	5.15	41054.37	63317	2024-05-09 13:00:00	8.97	False	True	True	True	3	b03825	0.0006331	139	139	139	-14.3	2024-05-09 15:08:58.197837
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	318	156	751	378	5.08	38149.73	54415	2024-05-09 13:00:00	11.27	False	True	True	True	3	b03825	0.0005441	106	106	106	-17.75	2024-05-09 15:11:15.940309
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	222	83	833	419	3.2	38935.6	56454	2024-05-09 13:00:00	13.54	False	True	True	True	3	b03825	0.0005645	113	113	113	-7.4	2024-05-09 15:13:32.693538
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	229	76	997	464	2.76	39078.92	56829	2024-05-09 13:00:00	15.81	False	True	True	True	3	b03825	0.0005682	115	115	115	32.32	2024-05-09 15:15:48.585843
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	304	115	1130	530	3.23	44424.64	73261	2024-05-09 13:00:00	18.08	False	True	True	True	3	b03825	0.0007326	177	177	177	32.08	2024-05-09 15:18:04.991503
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	334	152	1308	608	3.06	37712.92	52676	2024-05-09 13:00:00	20.38	False	True	True	True	3	b03825	0.0005267	99.15	99.15	99.15	-4.5	2024-05-09 15:20:22.513769
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	237	133	1415	684	2.01	37741.48	52664	2024-05-09 13:00:00	22.64	False	True	True	True	3	b03825	0.0005266	99.11	99.11	99.11	-20.97	2024-05-09 15:22:38.544151
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	233	160	1551	774	1.8	37940	53112	2024-05-09 13:00:00	24.93	False	True	True	True	3	b03825	0.0005311	101	101	101	-2.7	2024-05-09 15:24:56.076664
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	266	181	1681	865	1.9	40939.22	61396	2024-05-09 13:00:00	27.2	False	True	True	True	3	b03825	0.0006139	132	132	132	16.58	2024-05-09 15:27:12.002440
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	276	185	1789	947	1.85	41144.54	62014	2024-05-09 13:00:00	29.48	False	True	True	True	3	b03825	0.0006201	134	134	134	11.22	2024-05-09 15:29:28.559873
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	207	115	1900	1001	1.31	45147.09	74515	2024-05-09 13:00:00	31.75	False	True	True	True	3	b03825	0.0007451	182	182	182	40.2	2024-05-09 15:31:45.163089
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	218	129	2010	1079	1.3	43332.57	68524	2024-05-09 13:00:00	34.04	False	True	True	True	3	b03825	0.0006852	159	159	159	11.69	2024-05-09 15:34:02.104675
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	236	171	2117	1163	1.34	40149.36	58851	2024-05-09 13:00:00	36.31	False	True	True	True	3	b03825	0.0005885	122	122	122	-16.56	2024-05-09 15:36:18.364500
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	187	133	2205	1224	1.02	44132.7	70983	2024-05-09 13:00:00	38.61	False	True	True	True	3	b03825	0.0007098	168	168	168	4.92	2024-05-09 15:38:36.401774
solana	raydium	3XnozWo2AGc4N5e2dKkqbwFtdA5Q4xxi1E4kbibpAQ87	9sNYC2AYkhaWjT8TWbdn2s2J7vrqRUfQ6vJtzF28sLLQ	Thief Cat	thief	229	171	2354	1338	1.17	43742.25	69667	2024-05-09 13:00:00	40.88	False	True	True	True	3	b03825	0.0006966	163	163	163	13.66	2024-05-09 15:40:52.981811
