chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	87	32	87	32	12.0	27747.71	62646	2024-05-19 13:48:56	2.77	False	True	True	True	3	1379eb	0.00006970	7.84	7.84	7.84	7.84	2024-05-19 15:51:42.460951
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	155	89	161	89	11.55	31011.95	77834	2024-05-19 13:48:56	5.06	False	True	True	True	3	1379eb	0.00008660	33.99	33.99	33.99	31.27	2024-05-19 15:53:59.501009
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	185	107	266	138	8.35	40017.62	129047	2024-05-19 13:48:56	7.36	False	True	True	True	3	1379eb	0.0001435	122	122	122	109	2024-05-19 15:56:17.467770
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	241	129	386	211	7.49	39005.2	122297	2024-05-19 13:48:56	9.64	False	True	True	True	3	1379eb	0.0001360	111	111	111	53.3	2024-05-19 15:58:34.269232
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	157	106	442	267	4.26	43706.06	153445	2024-05-19 13:48:56	11.93	False	True	True	True	3	1379eb	0.0001707	164	164	164	53.93	2024-05-19 16:00:51.863508
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	167	135	553	348	3.62	47753.38	181896	2024-05-19 13:48:56	14.21	False	True	True	True	3	1379eb	0.0002024	213	213	213	55.49	2024-05-19 16:03:08.741024
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	203	137	636	396	3.83	50733.84	205787	2024-05-19 13:48:56	16.49	False	True	True	True	3	1379eb	0.0002289	254	254	254	43.98	2024-05-19 16:05:25.193126
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	164	116	733	476	2.68	57189.07	260543	2024-05-19 13:48:56	18.76	False	True	True	True	3	1379eb	0.0002899	349	349	349	34.43	2024-05-19 16:07:41.590671
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	203	151	840	549	2.9	52896.39	221861	2024-05-19 13:48:56	21.04	False	True	True	True	3	1379eb	0.0002468	282	282	282	7.55	2024-05-19 16:09:58.165025
solana	raydium	4T8CF4Q5jdF9uns5sAsFQHehHZLKiKyTRQ5r1KdypZAW	ABBaZGKaWnwScycVFjBJWNVC6gYQKgwB3UnBRbsCY5FW	REBCAT	RC	188	133	916	603	2.46	48583.33	186998	2024-05-19 13:48:56	23.31	False	True	True	True	3	1379eb	0.0002080	222	222	222	-37.6	2024-05-19 16:12:14.457386
