chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	1	0	93	34	0.13	1712.28	15308991	2024-05-11 09:31:33	38.22	False	True	False	True	2	fb603c	0.01530	350150	350150	350150	365	2024-05-11 12:09:46.413351
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	1	0	93	34	0.13	1712.28	15308991	2024-05-11 09:31:33	40.48	False	True	False	True	2	fb603c	0.01530	350150	350150	350150	365	2024-05-11 12:12:01.668599
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	1	0	94	34	0.13	4987.12	44612359	2024-05-11 09:31:33	42.75	False	True	False	True	2	fb603c	0.04461	1020573	1020573	1020573	191	2024-05-11 12:14:17.785905
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	3	0	96	34	0.38	59588.37	533191176	2024-05-11 09:31:33	45.04	False	True	False	True	2	fb603c	0.5331	12198626	12198626	12198626	3383	2024-05-11 12:16:35.661548
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	1	0	96	34	0.12	59588.37	533191176	2024-05-11 09:31:33	47.32	False	True	False	True	2	fb603c	0.5331	12198626	12198626	12198626	279	2024-05-11 12:18:52.049530
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	2	1	98	35	0.24	816002.38	7301698879	2024-05-11 09:31:33	49.56	False	True	False	True	2	fb603c	7.30	167053345	167053345	167053345	1269	2024-05-11 12:21:06.854349
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	14	15	110	49	1.53	227527.76	2035939941	2024-05-11 09:31:33	51.82	False	True	False	True	2	fb603c	2.035	46579578	46579578	46579578	282	2024-05-11 12:23:22.015525
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	31	23	129	65	2.88	342830	3067683949	2024-05-11 09:31:33	54.09	False	True	False	True	2	fb603c	3.067	70184549	70184549	70184549	23062	2024-05-11 12:25:38.422953
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	36	41	147	90	2.94	272279.15	2436382641	2024-05-11 09:31:33	56.36	False	True	False	True	2	fb603c	2.43	55741190	55741190	55741190	-96.13	2024-05-11 12:27:54.794144
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	30	64	155	127	2.32	644751.02	5769325778	2024-05-11 09:31:33	58.64	False	True	False	True	2	fb603c	5.76	131994626	131994626	131994626	2919	2024-05-11 12:30:11.114232
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	26	99	144	184	2.17	571357.72	5112589342	2024-05-11 09:31:33	60.9	False	True	False	True	2	fb603c	5.11	116969344	116969344	113999007	-8.17	2024-05-11 12:32:26.781597
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	32	110	147	241	2.61	266915.84	2388390525	2024-05-11 09:31:33	63.16	False	True	False	True	2	fb603c	2.38	54643192	54643192	47666094	-27.18	2024-05-11 12:34:42.601765
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	31	98	155	276	2.4	604051.83	5405141731	2024-05-11 09:31:33	65.44	False	True	False	True	2	fb603c	5.40	123662565	123662565	89311198	16.7	2024-05-11 12:36:59.128804
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	33	99	161	326	2.46	529143.89	4734852210	2024-05-11 09:31:33	67.7	False	True	False	True	2	fb603c	4.73	108327206	108327206	62654565	36.42	2024-05-11 12:39:14.951476
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	30	118	169	383	2.13	512087.15	4582225143	2024-05-11 09:31:33	69.98	False	True	False	True	2	fb603c	4.58	104835296	104835296	48114266	-58.04	2024-05-11 12:41:31.802961
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	29	105	177	433	1.97	514274.5	4601797799	2024-05-11 09:31:33	72.23	False	True	False	True	2	fb603c	4.60	105283093	105283093	39129144	97.28	2024-05-11 12:43:46.984560
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	39	121	192	496	2.44	481179	4305653380	2024-05-11 09:31:33	74.49	False	True	False	True	2	fb603c	4.30	98507691	98507691	37702853	14.17	2024-05-11 12:46:02.216369
solana	raydium	APVsjAwHARMf9aCuiovyfSfGtfVBeVpHpXtA6vJixoBz	ANsm8aThbtGmaCZGzKotpAM1P2Vb8zSL7MQNJyQq1rUS	Ansem's Ticker	TICKER	47	161	211	582	2.67	291386.27	2607355240	2024-05-11 09:31:33	76.74	False	True	False	True	2	fb603c	2.60	59652822	59652822	22029334	-51.52	2024-05-11 12:48:17.627641
