chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	322	185	322	185	12.0	27019.38	75839	2024-05-12 18:17:18	5.03	False	True	True	True	3	c3ff15	0.00007583	21.09	21.09	21.09	21.09	2024-05-12 20:22:19.893627
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	125	102	380	242	3.95	27853.14	80369	2024-05-12 18:17:18	7.35	False	True	True	True	3	c3ff15	0.00008036	28.33	28.33	28.33	96.37	2024-05-12 20:24:39.140405
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	133	92	464	286	3.44	32746.09	110706	2024-05-12 18:17:18	9.67	False	True	True	True	3	c3ff15	0.0001107	76.77	76.77	76.77	52.13	2024-05-12 20:26:58.352294
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	155	90	534	332	3.48	33189.5	113240	2024-05-12 18:17:18	12.08	False	True	True	True	3	c3ff15	0.0001132	80.81	80.81	80.81	24.8	2024-05-12 20:29:22.867498
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	103	71	584	365	2.12	33146.95	112695	2024-05-12 18:17:18	14.52	False	True	True	True	3	c3ff15	0.0001126	79.94	79.94	79.94	7.99	2024-05-12 20:31:49.445677
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	124	65	658	397	2.26	34470.5	121302	2024-05-12 18:17:18	17.05	False	True	True	True	3	c3ff15	0.0001213	93.69	93.69	93.69	7.12	2024-05-12 20:34:20.812697
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	143	68	754	445	2.28	38232.83	148334	2024-05-12 18:17:18	19.44	False	True	True	True	3	c3ff15	0.0001483	137	137	137	35.35	2024-05-12 20:36:44.472199
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	152	93	819	492	2.23	42095.76	179711	2024-05-12 18:17:18	21.76	False	True	True	True	3	c3ff15	0.0001797	187	187	187	39.29	2024-05-12 20:39:03.463989
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	162	124	909	559	2.14	39601.64	158792	2024-05-12 18:17:18	24.17	False	True	True	True	3	c3ff15	0.0001587	154	154	154	2.35	2024-05-12 20:41:28.029169
solana	raydium	G6wE37PAfAqNWMMCqzFDVwW1AJSA5UjMcxZWyJUioQsK	AcrhXb2vdrQ8CuzHvd87P8eaw5rreWVcxwCJGjhoyYiF	NUTZZ the squirrel 	$NUTZZ	144	109	976	606	1.77	42727.02	184414	2024-05-12 18:17:18	26.53	False	True	True	True	3	c3ff15	0.0001844	194	194	194	5.91	2024-05-12 20:43:49.928760
