chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	197	193	3358	3182	0.7	66470	404835	2024-05-06 10:59:20	161.91	False	True	True	True	3	bd4573	0.0004130	14118	14118	-36.62	-1.13	2024-05-06 15:41:14.331728
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	182	179	3317	3142	0.66	64335.51	377528	2024-05-06 10:59:20	164.1	False	True	True	True	3	bd4573	0.0003852	13159	13159	-34.56	-7.58	2024-05-06 15:43:26.137637
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	201	209	3274	3084	0.74	62614.4	355951	2024-05-06 10:59:20	166.29	False	True	True	True	3	bd4573	0.0003632	12402	12402	-32.08	-12.29	2024-05-06 15:45:37.283749
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	327	302	3340	3127	1.17	57802.34	301455	2024-05-06 10:59:20	168.49	False	True	True	True	3	bd4573	0.0003076	10488	10488	-23.03	-23.17	2024-05-06 15:47:49.478476
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	330	296	3317	3161	1.19	58739.39	309551	2024-05-06 10:59:20	170.66	False	True	True	True	3	bd4573	0.0003158	10772	10772	-35.89	-13.92	2024-05-06 15:49:59.525109
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	306	281	3344	3178	1.1	51790.02	239237	2024-05-06 10:59:20	172.87	False	True	True	True	3	bd4573	0.0002441	8302	8302	-49.86	-18.9	2024-05-06 15:52:12.253064
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	370	323	3432	3231	1.29	49635.55	218309	2024-05-06 10:59:20	175.05	False	True	True	True	3	bd4573	0.0002227	7567	7567	-55.03	-27.96	2024-05-06 15:54:22.755656
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	387	377	3508	3332	1.32	42597.87	160093	2024-05-06 10:59:20	177.24	False	True	True	True	3	bd4573	0.0001633	5523	5523	-66.22	-36.28	2024-05-06 15:56:34.646643
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	331	349	3531	3369	1.12	50242.38	221400	2024-05-06 10:59:20	179.43	False	True	True	True	3	bd4573	0.0002259	7676	7676	-49.17	12.74	2024-05-06 15:58:45.889748
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	337	362	3537	3382	1.14	48562.63	206793	2024-05-06 10:59:20	179.45	False	True	True	True	3	bd4573	0.0002110	7163	7163	-52.53	5.3	2024-05-06 15:58:46.701819
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	309	335	3557	3435	1.04	48162.18	202510	2024-05-06 10:59:20	181.62	False	True	True	True	3	bd4573	0.0002066	7012	7012	-61.95	22.89	2024-05-06 16:00:57.124060
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	256	274	3487	3403	0.88	45203.61	177054	2024-05-06 10:59:20	183.79	False	True	True	True	3	bd4573	0.0001806	6118	6118	-61.68	-13.46	2024-05-06 16:03:07.463579
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	227	240	3467	3437	0.79	44377.59	170133	2024-05-06 10:59:20	185.96	False	True	True	True	3	bd4573	0.0001736	5875	5875	-69.71	-16.71	2024-05-06 16:05:17.607753
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	180	204	3395	3382	0.64	43202.22	160483	2024-05-06 10:59:20	188.14	False	True	True	True	3	bd4573	0.0001637	5536	5536	-69.14	-11.52	2024-05-06 16:07:28.581186
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	198	217	3397	3393	0.7	38720.8	128661	2024-05-06 10:59:20	190.34	False	True	True	True	3	bd4573	0.0001312	4419	4419	-75.64	-23.47	2024-05-06 16:09:40.439921
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	245	233	3423	3397	0.86	39705.26	134969	2024-05-06 10:59:20	192.53	False	True	True	True	3	bd4573	0.0001377	4640	4640	-70.98	-15.9	2024-05-06 16:11:52.036231
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	212	193	3356	3342	0.76	38693.99	127252	2024-05-06 10:59:20	194.71	False	True	True	True	3	bd4573	0.0001298	4369	4369	-73.45	-3.21	2024-05-06 16:14:02.710908
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	157	139	3291	3266	0.57	39243.16	130371	2024-05-06 10:59:20	196.9	False	True	True	True	3	bd4573	0.0001330	4479	4479	-71.19	-6.3	2024-05-06 16:16:13.925472
solana	raydium	HBKiBqzpqC27MTpfKeLBuUMPZ64KmiNLsVQKgwWY8FnY	AdMf7TVNcGqhbxGVPVKZm7dd78rdkgRTHPbkw2dBurRw	FLOPPA	FLOPPA	118	89	3242	3213	0.44	42845.02	155781	2024-05-06 10:59:20	199.09	False	True	True	True	3	bd4573	0.0001589	5371	5371	-65.48	24.12	2024-05-06 16:18:25.641731
