chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	1	0	33	13	0.36	604358.46	302566	2024-05-09 08:20:45	21.1	False	True	True	True	2	d9a1f7	0.003025	0.19	0.19	0.19	0.54	2024-05-09 10:41:51.071630
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	2	0	35	13	0.69	604224.14	302684	2024-05-09 08:20:45	23.39	False	True	True	True	2	d9a1f7	0.003026	0.23	0.23	0.23	0.04	2024-05-09 10:44:08.210836
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	21	9	54	22	4.67	606452.66	304678	2024-05-09 08:20:45	25.66	False	True	True	True	2	d9a1f7	0.003046	0.89	0.89	0.89	0.7	2024-05-09 10:46:24.348116
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	69	24	106	37	7.81	615032.78	313084	2024-05-09 08:20:45	27.92	False	True	True	True	2	d9a1f7	0.003130	3.68	3.68	3.68	3.2	2024-05-09 10:48:40.046849
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	99	40	158	63	7.52	620855.89	319375	2024-05-09 08:20:45	30.27	False	True	True	True	2	d9a1f7	0.003193	5.76	5.76	5.76	3.98	2024-05-09 10:51:01.296688
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	110	65	216	102	6.11	625919.26	325075	2024-05-09 08:20:45	32.56	False	True	True	True	2	d9a1f7	0.003250	7.65	7.65	7.65	3.83	2024-05-09 10:53:18.400549
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	111	68	285	142	4.67	636518.96	335881	2024-05-09 08:20:45	34.87	False	True	True	True	2	d9a1f7	0.003358	11.23	11.23	11.23	5.68	2024-05-09 10:55:37.173639
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	120	78	346	187	4.16	643373.91	343095	2024-05-09 08:20:45	37.17	False	True	True	True	2	d9a1f7	0.003430	13.62	13.62	13.62	4.05	2024-05-09 10:57:55.029807
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	120	92	401	233	3.59	647328.15	346752	2024-05-09 08:20:45	39.52	False	True	True	True	2	d9a1f7	0.003467	14.83	14.83	14.83	4.29	2024-05-09 11:00:16.399724
solana	raydium	DpcBFJAfGk7Eba1gUUK4jiSQFATBDFCAn6CqFaKnU3Ab	B3sQuaAXVc1Ac93zfsRywZRbg1YJMQE3R1TqkvEWe8zQ	Peter Trump 	Ptrump	103	80	464	284	2.66	647862.34	347069	2024-05-09 08:20:45	41.81	False	True	True	True	2	d9a1f7	0.003470	14.93	14.93	14.93	0.59	2024-05-09 11:02:33.680652
