chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	182	248	486	503	4.49	7956.04	62487	2024-05-09 02:57:49	11.36	False	True	False	True	2	7c449a	0.00006248	6624	6624	6624	180	2024-05-09 05:09:10.560597
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	267	276	628	576	5.1	8805.13	75340	2024-05-09 02:57:49	13.62	False	True	False	True	2	7c449a	0.00007533	8008	8008	8008	149	2024-05-09 05:11:26.248388
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	193	120	843	706	2.75	7268.97	50317	2024-05-09 02:57:49	18.13	False	True	False	True	2	7c449a	0.00005031	5315	5315	5315	10.44	2024-05-09 05:15:57.061758
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	148	88	905	739	1.96	7709.45	56361	2024-05-09 02:57:49	20.38	False	True	False	True	2	7c449a	0.00005636	5965	5965	5965	88.16	2024-05-09 05:18:11.741965
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	26	14	285	277	1.09	8400.61	63026	2024-05-09 02:57:49	103.88	False	True	False	True	2	7c449a	0.00006302	6682	6682	80.54	37.37	2024-05-09 06:41:41.773472
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	32	23	286	275	1.34	8214.51	60240	2024-05-09 02:57:49	106.13	False	True	False	True	2	7c449a	0.00006023	6383	6383	108	35.43	2024-05-09 06:43:56.585125
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	41	25	295	272	1.67	7660.96	52238	2024-05-09 02:57:49	108.38	False	True	False	True	2	7c449a	0.00005223	5521	5521	79.22	2.99	2024-05-09 06:46:11.514180
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	38	19	268	244	1.7	7537.67	50438	2024-05-09 02:57:49	115.26	False	True	False	True	2	7c449a	0.00005043	5328	5328	128	5.07	2024-05-09 06:53:04.589475
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	20	15	266	237	0.9	7785.27	53673	2024-05-09 02:57:49	117.5	False	True	False	True	2	7c449a	0.00005367	5676	5676	163	24.52	2024-05-09 06:55:18.970547
solana	raydium	GTigeG5jCvX65eLkjXMWVsnCgFW6pkrQrjV2i3NuMhYS	B9DVPLgDoawvp5UoDTFp5SEJDB3FPvovSUp9MJF5MCXk	CRYPTO TRUMP	TRUMP	13	13	259	232	0.6	7732.39	53057	2024-05-09 02:57:49	119.78	False	True	False	True	2	7c449a	0.00005305	5610	5610	110	11.26	2024-05-09 06:57:35.968986
