chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	6	0	10	9	7.2	30678.53	66150	2024-05-06 12:46:57	80.45	False	True	True	True	3	df4ef9	0.0006614	23.76	23.76	15.76	11.84	2024-05-06 16:07:23.774902
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	6	2	10	10	7.2	30099.8	63715	2024-05-06 12:46:57	82.66	False	True	True	True	3	df4ef9	0.0006371	19.21	19.21	11.06	5.06	2024-05-06 16:09:36.853071
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	2	2	11	9	2.18	30098.01	63716	2024-05-06 12:46:57	84.83	False	True	True	True	3	df4ef9	0.0006371	19.21	19.21	11.2	-3.68	2024-05-06 16:11:46.884736
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	11	9	1.09	30098.01	63716	2024-05-06 12:46:57	87.04	False	True	True	True	3	df4ef9	0.0006371	19.21	19.21	11.2	0	2024-05-06 16:13:59.333149
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	2	11	10		30255.71	63827	2024-05-06 12:46:57	89.21	False	True	True	True	3	df4ef9	0.0006382	19.41	19.41	11.74	0.17	2024-05-06 16:16:09.469697
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	2	11	6		30255.71	63827	2024-05-06 12:46:57	91.39	False	True	True	True	3	df4ef9	0.0006382	19.41	19.41	11.94	0.17	2024-05-06 16:18:20.592291
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	12	6	1.0	30146.62	63809	2024-05-06 12:46:57	93.58	False	True	True	True	3	df4ef9	0.0006380	19.38	19.38	11.91	-0.03	2024-05-06 16:20:31.652222
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	11	6	1.09	30146.62	63809	2024-05-06 12:46:57	95.77	False	True	True	True	3	df4ef9	0.0006380	19.38	19.38	11.31	-0.03	2024-05-06 16:22:43.034167
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	2	11	8		29727.7	62095	2024-05-06 12:46:57	97.93	False	True	True	True	3	df4ef9	0.0006209	16.17	16.17	8.32	-2.69	2024-05-06 16:24:52.820129
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	2	11	8		29727.7	62095	2024-05-06 12:46:57	100.11	False	True	True	True	3	df4ef9	0.0006209	16.17	16.17	8.32	-2.69	2024-05-06 16:27:03.369302
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	3	11	10		29067.44	59417	2024-05-06 12:46:57	102.28	False	True	True	True	3	df4ef9	0.0005941	11.16	11.16	3.65	-6.4	2024-05-06 16:29:13.918933
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	2	12	10	1.0	29174.14	59898	2024-05-06 12:46:57	104.48	False	True	True	True	3	df4ef9	0.0005989	12.06	12.06	4.49	-3.54	2024-05-06 16:31:26.038988
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	12	10	1.0	29174.14	59898	2024-05-06 12:46:57	106.67	False	True	True	True	3	df4ef9	0.0005989	12.06	12.06	4.49	0.81	2024-05-06 16:33:36.964003
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	0	11	10		29174.14	59898	2024-05-06 12:46:57	108.83	False	True	True	True	3	df4ef9	0.0005989	12.06	12.06	2.68	0	2024-05-06 16:35:46.905095
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	12	10	1.0	29494.04	61084	2024-05-06 12:46:57	111.11	False	True	True	True	3	df4ef9	0.0006108	14.28	14.28	4.71	1.98	2024-05-06 16:38:03.608921
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	12	10	1.0	29494.04	61084	2024-05-06 12:46:57	113.28	False	True	True	True	3	df4ef9	0.0006108	14.28	14.28	4.71	1.98	2024-05-06 16:40:13.921447
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	0	12	10		29494.04	61084	2024-05-06 12:46:57	115.46	False	True	True	True	3	df4ef9	0.0006108	14.28	14.28	4.71	0	2024-05-06 16:42:24.560621
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	13	9	0.92	30566.95	65589	2024-05-06 12:46:57	117.63	False	True	True	True	3	df4ef9	0.0006558	22.71	22.71	11.18	7.38	2024-05-06 16:44:34.693833
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	2	0	13	9	1.85	31429.37	69722	2024-05-06 12:46:57	119.81	False	True	True	True	3	df4ef9	0.0006972	30.44	30.44	17.42	14.14	2024-05-06 16:46:45.818299
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	1	13	10	0.92	31334.04	69345	2024-05-06 12:46:57	121.98	False	True	True	True	3	df4ef9	0.0006934	29.74	29.74	16.78	5.73	2024-05-06 16:48:55.503628
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	2	13	11		31292.94	69009	2024-05-06 12:46:57	124.15	False	True	True	True	3	df4ef9	0.0006900	29.11	29.11	16.22	-1.02	2024-05-06 16:51:06.021717
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	1	14	11	0.86	31374.94	69423	2024-05-06 12:46:57	126.39	False	True	True	True	3	df4ef9	0.0006942	29.89	29.89	16.91	0.11	2024-05-06 16:53:20.410313
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	3	1	16	12	2.25	32620.18	75037	2024-05-06 12:46:57	128.59	False	True	True	True	3	df4ef9	0.0007503	40.39	40.39	26.37	8.73	2024-05-06 16:55:32.565883
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	2	1	16	11	1.5	32620.18	75037	2024-05-06 12:46:57	130.78	False	True	True	True	3	df4ef9	0.0007503	40.39	40.39	26.87	8.09	2024-05-06 16:57:43.904484
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	0	16	11		32620.18	75037	2024-05-06 12:46:57	132.97	False	True	True	True	3	df4ef9	0.0007503	40.39	40.39	26.87	0	2024-05-06 16:59:55.097740
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	0	16	11		32620.18	75037	2024-05-06 12:46:57	135.16	False	True	True	True	3	df4ef9	0.0007503	40.39	40.39	26.87	0	2024-05-06 17:02:06.517060
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	0	16	11	0.75	32729.08	76419	2024-05-06 12:46:57	137.33	False	True	True	True	3	df4ef9	0.0007641	42.97	42.97	26.01	1.84	2024-05-06 17:04:16.514723
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	4	0	16	11	3.0	34410.01	84083	2024-05-06 12:46:57	139.54	False	True	True	True	3	df4ef9	0.0008408	57.31	57.31	30.93	12.06	2024-05-06 17:06:29.577676
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	4	0	14	9	3.43	34584.15	84976	2024-05-06 12:46:57	141.74	False	True	True	True	3	df4ef9	0.0008497	58.98	58.98	33.37	11.2	2024-05-06 17:08:41.173509
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	2	0	14	9	1.71	34530.95	84976	2024-05-06 12:46:57	143.94	False	True	True	True	3	df4ef9	0.0008497	58.98	58.98	33.37	1.06	2024-05-06 17:10:53.311741
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	2	0	15	9	1.6	34524.95	85046	2024-05-06 12:46:57	146.11	False	True	True	True	3	df4ef9	0.0008504	59.11	59.11	33.48	0.08	2024-05-06 17:13:03.855629
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	2	0	16	7	1.5	34679.23	85650	2024-05-06 12:46:57	148.3	False	True	True	True	3	df4ef9	0.0008564	60.24	60.24	34.19	0.79	2024-05-06 17:15:14.874646
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	3	2	17	9	2.12	33502.18	79675	2024-05-06 12:46:57	150.46	False	True	True	True	3	df4ef9	0.0007967	49.06	49.06	24.83	-6.24	2024-05-06 17:17:24.682533
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	1	3	16	10	0.75	33520.36	79527	2024-05-06 12:46:57	152.64	False	True	True	True	3	df4ef9	0.0007952	48.79	48.79	24.63	-7.15	2024-05-06 17:19:35.191859
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	1	16	10		33520.36	79527	2024-05-06 12:46:57	154.83	False	True	True	True	3	df4ef9	0.0007952	48.79	48.79	24.63	-0.19	2024-05-06 17:21:47.055870
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	0	0	16	9		33520.36	79527	2024-05-06 12:46:57	157.08	False	True	True	True	3	df4ef9	0.0007952	48.79	48.79	25.28	0	2024-05-06 17:24:01.616777
solana	raydium	5i5c18JAQz82F2NZLKZx1z5PoDPTuLJprscS8SmfVoSQ	BNNHNPDkYKuGfy7d4ggpPHwUXMpw9xFdPdw9iVEG2ZvN	ZILINSKY	ZLNSKY	3	0	19	8	1.89	33552.13	79912	2024-05-06 12:46:57	159.32	False	True	True	True	3	df4ef9	0.0007991	49.51	49.51	28.69	0.48	2024-05-06 17:26:16.434130
