chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	258	102	339	130	9.13	19132.53	122045	2024-05-08 13:42:12	5.36	False	True	True	True	3	8c7f98	0.0001220	3544	3544	3544	11.96	2024-05-08 15:47:33.479471
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	177	87	412	179	5.16	16290.08	87952	2024-05-08 13:42:12	7.65	False	True	True	True	3	8c7f98	0.00008795	2526	2526	2526	-34.56	2024-05-08 15:49:50.869044
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	120	84	458	212	3.14	16348.85	88396	2024-05-08 13:42:12	9.94	False	True	True	True	3	8c7f98	0.00008839	2539	2539	2539	-28.89	2024-05-08 15:52:08.216842
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	99	58	503	233	2.36	17927.58	106253	2024-05-08 13:42:12	12.24	False	True	True	True	3	8c7f98	0.0001062	3072	3072	3072	25.49	2024-05-08 15:54:26.659422
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	108	54	575	269	2.25	17440.32	100033	2024-05-08 13:42:12	14.55	False	True	True	True	3	8c7f98	0.0001000	2887	2887	2887	8.75	2024-05-08 15:56:45.199994
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	122	82	628	316	2.33	15856.77	82449	2024-05-08 13:42:12	16.83	False	True	True	True	3	8c7f98	0.00008244	2362	2362	2362	-19.54	2024-05-08 15:59:02.029856
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	98	93	668	360	1.76	13479.98	59442	2024-05-08 13:42:12	19.11	False	True	True	True	3	8c7f98	0.00005944	1675	1675	1675	-40.4	2024-05-08 16:01:18.831692
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	74	77	745	439	1.19	12680.93	52344	2024-05-08 13:42:12	23.66	False	True	True	True	3	8c7f98	0.00005234	1463	1463	1463	-12.35	2024-05-08 16:05:51.680821
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	82	58	787	456	1.25	13065.11	55569	2024-05-08 13:42:12	25.98	False	True	True	True	3	8c7f98	0.00005556	1559	1559	1559	25.09	2024-05-08 16:08:10.693886
solana	raydium	Ao1nLSv4USjbjcNUZUbascY2r2yiZzB6Tt8KZr8Fi9Kx	Bdbtwo7Y8Lj1fLQK76kyCHHMc6uapHkFEAGBwo7KsWkp	dwizzy dwake	dwake	70	33	811	471	1.04	14369.25	67135	2024-05-08 13:42:12	28.25	False	True	True	True	3	8c7f98	0.00006713	1904	1904	1904	37.52	2024-05-08 16:10:27.238299
