chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	113	87	938	700	1.45	14572.5	72731	2024-05-11 14:29:33	24.97	False	True	True	True	3	6a43f0	0.001731	5603	5603	5603	95.7	2024-05-11 16:54:31.452546
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	156	141	1026	778	1.82	17072.17	99475	2024-05-11 14:29:33	27.27	False	True	True	True	3	6a43f0	0.002368	7700	7700	7700	136	2024-05-11 16:56:49.183754
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	164	177	1107	880	1.78	16440.06	91692	2024-05-11 14:29:33	29.57	False	True	True	True	3	6a43f0	0.002183	7090	7090	7090	21.35	2024-05-11 16:59:07.421533
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	197	190	1211	953	1.95	16093.63	87076	2024-05-11 14:29:33	31.85	False	True	True	True	3	6a43f0	0.002073	6728	6728	6728	4.21	2024-05-11 17:01:23.911698
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	146	124	1270	1016	1.38	16102.02	86759	2024-05-11 14:29:33	34.11	False	True	True	True	3	6a43f0	0.002065	6703	6703	6703	1.09	2024-05-11 17:03:39.556929
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	152	128	1367	1087	1.33	17148.68	97386	2024-05-11 14:29:33	36.39	False	True	True	True	3	6a43f0	0.002318	7537	7537	7537	18.51	2024-05-11 17:05:56.624756
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	139	115	1406	1127	1.19	15513.65	79584	2024-05-11 14:29:33	38.66	False	True	True	True	3	6a43f0	0.001894	6141	6141	6141	-19.18	2024-05-11 17:08:12.732753
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	108	96	1487	1190	0.87	15120.26	75372	2024-05-11 14:29:33	41.02	False	True	True	True	3	6a43f0	0.001794	5810	5810	5810	-20.31	2024-05-11 17:10:34.133266
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	125	107	1538	1240	0.98	13381.38	58762	2024-05-11 14:29:33	43.3	False	True	True	True	3	6a43f0	0.001399	4508	4508	4508	-21.5	2024-05-11 17:12:50.857095
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	105	85	1587	1268	0.79	15469.67	78344	2024-05-11 14:29:33	45.58	False	True	True	True	3	6a43f0	0.001865	6043	6043	6043	0.32	2024-05-11 17:15:07.966697
solana	raydium	GUjXzcfpR7Ch41oZyvairy1D6SvgKDFPUfQEuvdgx14q	Bq2DD6NnCJgFGYuiUoQiEXdoqSFwLKDaU1Hn3VTPFGdD	CAPI	CAPI	69	50	1631	1301	0.51	13595.57	60266	2024-05-11 14:29:33	47.93	False	True	True	True	3	6a43f0	0.001434	4626	4626	4626	-6.16	2024-05-11 17:17:28.655416
