chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	151	102	656	325	2.76	336565.67	1253003	2024-05-06 14:03:27	14.84	False	True	True	True	3	dc57b1	0.001253	-4.81	-4.81	-4.81	-12.33	2024-05-06 16:18:17.284015
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	158	130	718	384	2.64	340541.89	1283893	2024-05-06 14:03:27	17.02	False	True	True	True	3	dc57b1	0.001283	-2.46	-2.46	-2.46	-10.23	2024-05-06 16:20:28.420153
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	99	105	773	447	1.54	341020.01	1282501	2024-05-06 14:03:27	19.23	False	True	True	True	3	dc57b1	0.001282	-2.57	-2.57	-2.57	3.95	2024-05-06 16:22:40.856387
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	101	89	820	473	1.48	343827.44	1305606	2024-05-06 14:03:27	21.4	False	True	True	True	3	dc57b1	0.001305	-0.82	-0.82	-0.82	1.67	2024-05-06 16:24:50.714029
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	72	55	845	499	1.02	337892.61	1261986	2024-05-06 14:03:27	23.56	False	True	True	True	3	dc57b1	0.001261	-4.13	-4.13	-4.13	-6.85	2024-05-06 16:27:00.745121
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	72	65	888	535	0.97	344675.29	1309186	2024-05-06 14:03:27	25.74	False	True	True	True	3	dc57b1	0.001309	-0.54	-0.54	-0.54	-0.53	2024-05-06 16:29:11.230287
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	79	69	922	565	1.03	346278.89	1324106	2024-05-06 14:03:27	27.91	False	True	True	True	3	dc57b1	0.001324	0.59	0.59	0.59	3.37	2024-05-06 16:31:21.855653
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	70	68	947	589	0.89	349069.19	1341405	2024-05-06 14:03:27	30.1	False	True	True	True	3	dc57b1	0.001341	1.9	1.9	1.9	-0.87	2024-05-06 16:33:32.782280
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	47	49	972	616	0.58	335530.98	1239729	2024-05-06 14:03:27	32.29	False	True	True	True	3	dc57b1	0.001239	-5.82	-5.82	-5.82	-4.65	2024-05-06 16:35:44.368404
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	52	39	999	629	0.62	333642.91	1226795	2024-05-06 14:03:27	34.56	False	True	True	True	3	dc57b1	0.001226	-6.8	-6.8	-6.8	-8.1	2024-05-06 16:38:00.636718
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	57	49	1025	661	0.67	337056.59	1248850	2024-05-06 14:03:27	36.73	False	True	True	True	3	dc57b1	0.001248	-5.13	-5.13	-5.13	-0.52	2024-05-06 16:40:10.769268
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	51	63	1046	689	0.59	343384.56	1294620	2024-05-06 14:03:27	38.91	False	True	True	True	3	dc57b1	0.001294	-1.65	-1.65	-1.65	3.46	2024-05-06 16:42:21.347876
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	41	48	1059	700	0.46	345965.65	1319999	2024-05-06 14:03:27	41.09	False	True	True	True	3	dc57b1	0.001319	0.28	0.28	0.28	2.88	2024-05-06 16:44:32.660200
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	36	37	1082	726	0.4	337214.73	1257120	2024-05-06 14:03:27	43.27	False	True	True	True	3	dc57b1	0.001257	-4.5	-4.5	-4.5	-2.9	2024-05-06 16:46:43.180150
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	37	32	1097	742	0.4	341527.84	1283327	2024-05-06 14:03:27	45.43	False	True	True	True	3	dc57b1	0.001283	-2.51	-2.51	-2.51	1.09	2024-05-06 16:48:52.899637
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	29	32	1111	757	0.31	346307.96	1322257	2024-05-06 14:03:27	47.6	False	True	True	True	3	dc57b1	0.001322	0.45	0.45	0.45	4.78	2024-05-06 16:51:02.785985
solana	raydium	AT8yjwJbGD5mrejJYTNvCF4vP49bbkZhVW78oTCB2atZ	BvLwUmonzcG3Fn5xvZwEzykGGtZvFY1KZgPeCK84WRfj	Bastet Goddess 	BASTET	42	41	1137	783	0.44	343972.35	1305804	2024-05-06 14:03:27	49.83	False	True	True	True	3	dc57b1	0.001305	-0.8	-0.8	-0.8	2.37	2024-05-06 16:53:16.999190
