chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	146	81	266	133	6.59	15214.47	65816	2024-05-18 21:50:03	7.62	False	True	True	True	3	a034ea	0.00006581	4133	4133	4133	41.04	2024-05-18 23:57:40.342489
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	231	113	425	198	6.52	17249.98	83850	2024-05-18 21:50:03	9.94	False	True	True	True	3	a034ea	0.00008385	5293	5293	5293	18	2024-05-18 23:59:59.181917
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	296	139	555	269	6.4	18386.76	94527	2024-05-18 21:50:03	12.33	False	True	True	True	3	a034ea	0.00009452	5979	5979	5979	45.69	2024-05-19 00:02:22.927957
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	199	133	666	357	3.59	17125.27	81390	2024-05-18 21:50:03	14.7	False	True	True	True	3	a034ea	0.00008139	5134	5134	5134	-8.85	2024-05-19 00:04:44.834288
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	144	113	710	391	2.43	17695.16	87003	2024-05-18 21:50:03	17.05	False	True	True	True	3	a034ea	0.00008700	5495	5495	5495	2.47	2024-05-19 00:07:05.918558
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	119	85	772	432	1.85	17705.31	86715	2024-05-18 21:50:03	19.38	False	True	True	True	3	a034ea	0.00008671	5477	5477	5477	32.21	2024-05-19 00:09:25.847872
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	113	79	840	479	1.61	16345.43	73757	2024-05-18 21:50:03	21.72	False	True	True	True	3	a034ea	0.00007375	4643	4643	4643	-20.18	2024-05-19 00:11:45.914518
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	100	75	882	514	1.36	14480.5	57789	2024-05-18 21:50:03	24.01	False	True	True	True	3	a034ea	0.00005778	3616	3616	3616	-33.23	2024-05-19 00:14:03.737028
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	85	81	919	558	1.11	14041.57	54230	2024-05-18 21:50:03	26.33	False	True	True	True	3	a034ea	0.00005423	3388	3388	3388	-21.38	2024-05-19 00:16:23.012897
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	70	69	960	596	0.88	13521.87	50087	2024-05-18 21:50:03	28.67	False	True	True	True	3	a034ea	0.00005008	3121	3121	3121	-10.29	2024-05-19 00:18:43.496203
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	68	59	990	621	0.82	14276.17	55806	2024-05-18 21:50:03	30.95	False	True	True	True	3	a034ea	0.00005580	3489	3489	3489	5.2	2024-05-19 00:21:00.110299
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	60	44	1018	640	0.71	16787.12	77152	2024-05-18 21:50:03	33.3	False	True	True	True	3	a034ea	0.00007715	4862	4862	4862	57.29	2024-05-19 00:23:20.740977
solana	raydium	9xorgPznn4RC4ZWYR45rWvTLPfesPAj82PJr8iPakwJD	CfUpyWk97Y6BX71nzoyyFvnG2e9CAbEuJcupm11m8CSK	the albino cat	BINI	72	50	1067	673	0.81	14860.37	60319	2024-05-18 21:50:03	35.61	False	True	True	True	3	a034ea	0.00006031	3779	3779	3779	5.82	2024-05-19 00:25:39.632652
