chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	193	153	399	219	5.8	25651.05	63411	2024-05-06 20:36:54	7.32	False	False	True	True	3	281e8a	0.00006341	-5.02	-5.02	-5.02	21.51	2024-05-06 22:44:13.416141
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	149	126	447	253	4.0	23391.61	52547	2024-05-06 20:36:54	9.58	False	False	True	True	3	281e8a	0.00005254	-21.29	-21.29	-21.29	-42.65	2024-05-06 22:46:29.077357
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	22	16	664	465	0.4	27681.09	72151	2024-05-06 20:36:54	40.69	False	False	True	True	3	281e8a	0.00007215	8.07	8.07	8.07	87.1	2024-05-06 23:17:35.654841
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	27	24	678	481	0.48	25624.54	61842	2024-05-06 20:36:54	42.89	False	False	True	True	3	281e8a	0.00006184	-7.37	-7.37	-7.37	32.87	2024-05-06 23:19:47.151360
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	19	27	683	492	0.33	23602.02	52376	2024-05-06 20:36:54	45.13	False	False	True	True	3	281e8a	0.00005237	-21.55	-21.55	-21.55	-27.41	2024-05-06 23:22:02.015418
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	41	6	725	508	0.68	28113.12	74280	2024-05-06 20:36:54	51.9	False	False	True	True	3	281e8a	0.00007427	11.26	11.26	11.26	80.65	2024-05-06 23:28:47.821683
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	41	10	732	515	0.67	26741.72	67064	2024-05-06 20:36:54	54.14	False	True	True	True	3	2e73d1	0.00006706	0.45	0.45	0.45	47.2	2024-05-06 23:31:02.201890
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	10	13	733	520	0.16	26435.67	65671	2024-05-06 20:36:54	56.37	False	True	True	True	3	2e73d1	0.00006567	-1.63	-1.63	-1.63	-11.8	2024-05-06 23:33:16.100965
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	5	15	736	527	0.08	25981.77	63513	2024-05-06 20:36:54	58.64	False	True	True	True	3	2e73d1	0.00006351	-4.87	-4.87	-4.87	-4.04	2024-05-06 23:35:32.195543
solana	raydium	3Sdj6MMQjqBEerHtZhDvTigVBCyS35sDPovHapxFtsTy	CfnrEbPXxZZwoX3fGEdTyaFTQ87w8SpVi7rxXmL3eh7P	Lahi Cat	LAHI	22	11	616	495	0.43	27439.35	70728	2024-05-06 20:36:54	60.9	False	True	True	True	3	2e73d1	0.00007072	5.94	5.94	62	8.01	2024-05-06 23:37:47.912705
