chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	146	38	146	38	12.0	26151.09	67040	2024-05-08 10:40:48	2.44	False	True	False	True	2	fe8233	0.00007132	24.33	24.33	24.33	24.33	2024-05-08 12:43:14.483247
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	175	90	226	92	9.29	26658.81	69549	2024-05-08 10:40:48	4.77	False	True	False	True	2	fe8233	0.00007399	28.98	28.98	28.98	24.36	2024-05-08 12:45:34.116672
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	151	96	302	141	6.0	24190.16	56900	2024-05-08 10:40:48	7.1	False	True	False	True	2	fe8233	0.00006053	5.52	5.52	5.52	-13.75	2024-05-08 12:47:54.148343
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	70	19	267	147	3.15	23020.6	50621	2024-05-08 10:40:48	102.61	False	True	False	True	2	fe8233	0.00005385	-6.12	-6.12	115	34.12	2024-05-08 14:23:24.690264
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	70	19	271	144	3.1	25371.84	61343	2024-05-08 10:40:48	104.98	False	True	False	True	2	fe8233	0.00006526	13.76	13.76	97.24	32.72	2024-05-08 14:25:46.615465
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	43	34	288	167	1.79	23674.26	53403	2024-05-08 10:40:48	107.31	False	True	False	True	2	fe8233	0.00005681	-0.96	-0.96	82.06	2.81	2024-05-08 14:28:06.805542
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	35	22	307	171	1.37	26657.67	67696	2024-05-08 10:40:48	109.73	False	True	False	True	2	fe8233	0.00007202	25.54	25.54	117	2.57	2024-05-08 14:30:32.055776
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	37	15	317	182	1.4	25922.71	63914	2024-05-08 10:40:48	112.14	False	True	False	True	2	fe8233	0.00006799	18.53	18.53	103	21.54	2024-05-08 14:32:56.295889
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	27	32	326	199	0.99	23115.2	50978	2024-05-08 10:40:48	114.52	False	True	False	True	2	fe8233	0.00005423	-5.46	-5.46	56.18	-24.7	2024-05-08 14:35:19.457264
solana	raydium	6weRAHUdMsJ5xyNUXywopnNVNfepYUS8BtZwCJGwULNW	Cpv93Lqj3TjuedB1ytSZBBBuV5iZarAACs9kMEo1aeUt	tiny	tiny	17	16	324	197	0.63	24296.85	56298	2024-05-08 10:40:48	116.97	False	True	False	True	2	fe8233	0.00005989	4.4	4.4	45.67	-1.92	2024-05-08 14:37:46.003898
