chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	210	67	210	67	12.0	35882.12	121734	2024-05-16 13:15:14	1.86	False	True	True	True	3	195cb5	0.0001217	90.84	90.84	90.84	90.84	2024-05-16 15:17:05.790808
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	444	204	444	204	12.0	41219.97	158855	2024-05-16 13:15:14	4.17	False	True	True	True	3	195cb5	0.0001588	149	149	149	149	2024-05-16 15:19:23.940604
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	378	236	635	335	7.14	32468.14	97886	2024-05-16 13:15:14	6.45	False	True	True	True	3	195cb5	0.00009788	53.45	53.45	53.45	-0.53	2024-05-16 15:21:40.948682
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	421	272	874	485	5.78	41973.35	162256	2024-05-16 13:15:14	8.8	False	True	True	True	3	195cb5	0.0001622	154	154	154	-0.24	2024-05-16 15:24:02.063131
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	437	252	1060	579	4.95	43491.63	173052	2024-05-16 13:15:14	11.09	False	True	True	True	3	195cb5	0.0001730	171	171	171	68.08	2024-05-16 15:26:19.665160
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	313	187	1232	696	3.05	35474.85	114495	2024-05-16 13:15:14	13.38	False	True	True	True	3	195cb5	0.0001144	79.49	79.49	79.49	-25.47	2024-05-16 15:28:37.055002
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	358	283	1435	873	2.99	32908.33	97468	2024-05-16 13:15:14	15.66	False	True	True	True	3	195cb5	0.00009746	52.8	52.8	52.8	-42.89	2024-05-16 15:30:53.593796
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	338	309	1564	997	2.59	30488.39	82697	2024-05-16 13:15:14	17.93	False	True	True	True	3	195cb5	0.00008269	29.64	29.64	29.64	-33.46	2024-05-16 15:33:09.832269
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	256	219	1661	1072	1.85	36273.11	116482	2024-05-16 13:15:14	20.24	False	True	True	True	3	195cb5	0.0001164	82.61	82.61	82.61	54.04	2024-05-16 15:35:28.250178
solana	raydium	A7XJXrExPrc9MLXLkr7XocENTpxXcyGamQcyGJD3yozk	D37DQXBUtjpTSnCCzkvMGLkEkUDsh6ThwCTNKHC4daJA	gang	gang	178	112	1759	1124	1.21	36461.78	117368	2024-05-16 13:15:14	22.52	False	True	True	True	3	195cb5	0.0001173	84	84	84	33.04	2024-05-16 15:37:45.323854
