chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	64	32	414	220	1.86	25295.23	62263	2024-05-07 16:03:57	31.22	False	True	False	True	2	c560c8	0.00006226	2.55	2.55	2.55	89.52	2024-05-07 18:35:10.221320
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	31	12	462	255	0.81	25091.55	61109	2024-05-07 16:03:57	38.15	False	True	False	True	2	c560c8	0.00006110	0.65	0.65	0.65	43.91	2024-05-07 18:42:05.937011
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	31	17	479	264	0.78	27946.99	75611	2024-05-07 16:03:57	40.49	False	True	False	True	2	c560c8	0.00007561	24.54	24.54	24.54	64.51	2024-05-07 18:44:26.174522
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	41	33	505	289	0.97	29319.62	83016	2024-05-07 16:03:57	42.89	False	True	False	True	2	c560c8	0.00008301	36.74	36.74	36.74	29.98	2024-05-07 18:46:50.456720
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	29	29	515	298	0.68	26672.13	68622	2024-05-07 16:03:57	45.35	False	True	False	True	2	c560c8	0.00006862	13.03	13.03	13.03	-18.18	2024-05-07 18:49:18.039230
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	29	29	515	298	0.68	26672.13	68622	2024-05-07 16:03:57	45.4	False	True	False	True	2	c560c8	0.00006862	13.03	13.03	13.03	-18.18	2024-05-07 18:49:21.098349
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	25	14	534	304	0.56	30250.14	88109	2024-05-07 16:03:57	47.84	False	True	False	True	2	c560c8	0.00008810	45.12	45.12	45.12	4.84	2024-05-07 18:51:47.646628
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	29	15	545	315	0.64	25660.75	63238	2024-05-07 16:03:57	50.3	False	True	False	True	2	c560c8	0.00006323	4.16	4.16	4.16	-9.72	2024-05-07 18:54:14.988275
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	15	15	556	323	0.32	25342.05	61705	2024-05-07 16:03:57	52.67	False	True	False	True	2	c560c8	0.00006170	1.63	1.63	1.63	-23.52	2024-05-07 18:56:36.911989
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	19	12	564	329	0.4	26456.5	67262	2024-05-07 16:03:57	55.0	False	True	False	True	2	c560c8	0.00006726	10.79	10.79	10.79	7.5	2024-05-07 18:58:56.772785
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	18	9	574	332	0.38	26909.59	69467	2024-05-07 16:03:57	57.34	False	True	False	True	2	c560c8	0.00006946	14.42	14.42	14.42	12.58	2024-05-07 19:01:17.647070
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	15	7	578	335	0.31	27486.28	72660	2024-05-07 16:03:57	59.68	False	True	False	True	2	c560c8	0.00007265	19.68	19.68	21.05	6.09	2024-05-07 19:03:38.087880
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	11	14	509	326	0.26	24850.32	59475	2024-05-07 16:03:57	62.08	False	True	False	True	2	c560c8	0.00005947	-2.04	-2.04	18.42	-14.38	2024-05-07 19:06:01.845718
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	11	17	478	314	0.28	25820.42	64286	2024-05-07 16:03:57	64.4	False	True	False	True	2	c560c8	0.00006428	5.89	5.89	44.42	-11.53	2024-05-07 19:08:20.852215
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	11	12	461	307	0.29	24322.7	56943	2024-05-07 16:03:57	66.88	False	True	False	True	2	c560c8	0.00005694	-6.21	-6.21	19.84	-7.94	2024-05-07 19:10:49.650565
solana	raydium	AAY3Nexc46nGAmfjPKYipgb8gnpgbUxBbcZbY2MqEQsR	DRFgvh5sVnUBSFT9omyMmBoAMjRQq1ctmpYWjprLXqht	Planking 	PLANK 	15	11	447	304	0.4	23412.49	52847	2024-05-07 16:03:57	69.21	False	True	False	True	2	c560c8	0.00005284	-12.95	-12.95	-22.4	-11.37	2024-05-07 19:13:09.608219
