chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	197	100	315	148	7.5	12794.96	74960	2024-05-19 09:30:00	6.77	False	True	True	True	3	76a1f9	0.0007495	44.75	44.75	44.75	-4.15	2024-05-19 11:36:45.954362
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	261	124	470	220	6.66	16374.93	119334	2024-05-19 09:30:00	9.08	False	True	True	True	3	76a1f9	0.001193	130	130	130	79.55	2024-05-19 11:39:04.661890
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	300	149	611	294	5.89	16616.05	120707	2024-05-19 09:30:00	11.37	False	True	True	True	3	76a1f9	0.001207	133	133	133	60.39	2024-05-19 11:41:22.061462
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	278	141	769	370	4.34	17043.27	124071	2024-05-19 09:30:00	13.67	False	True	True	True	3	76a1f9	0.001240	140	140	140	-0.8	2024-05-19 11:43:40.371860
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	270	129	886	426	3.66	17219.2	124666	2024-05-19 09:30:00	15.96	False	True	True	True	3	76a1f9	0.001246	141	141	141	7.17	2024-05-19 11:45:57.883456
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	271	134	1024	498	3.18	17800.28	130353	2024-05-19 09:30:00	18.27	False	True	True	True	3	76a1f9	0.001303	152	152	152	8.57	2024-05-19 11:48:16.423423
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	262	140	1147	564	2.74	17405.03	122482	2024-05-19 09:30:00	20.56	False	True	True	True	3	76a1f9	0.001224	137	137	137	-1.41	2024-05-19 11:50:33.782008
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	227	122	1277	632	2.13	20274.45	163245	2024-05-19 09:30:00	22.9	False	True	True	True	3	76a1f9	0.001632	215	215	215	27.81	2024-05-19 11:52:53.751221
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	252	136	1403	700	2.16	19577.65	150256	2024-05-19 09:30:00	25.26	False	True	True	True	3	76a1f9	0.001502	190	190	190	22.04	2024-05-19 11:55:15.454991
solana	raydium	CstPoa7UpLuKo1awqUqcxNoMt53HyLiYvxpx6LZf3phW	DXkZkrCiEDZNBsf4KW6kXXmjKVH2ZTMSAT3g5khze9mJ	Chain AI	CAI	280	143	1531	763	2.19	20399.01	160394	2024-05-19 09:30:00	27.56	False	True	True	True	3	76a1f9	0.001603	210	210	210	4.38	2024-05-19 11:57:33.779283
