chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	173	40	173	40	12.0	31902.31	99894	2024-05-10 04:32:58	2.56	False	True	False	True	2	b15619	0.0001009	65.9	65.9	65.9	65.9	2024-05-10 06:35:31.567525
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	268	120	271	120	11.87	31904.14	99393	2024-05-10 04:32:58	4.82	False	True	False	True	2	b15619	0.0001003	65.07	65.07	65.07	52.08	2024-05-10 06:37:47.153479
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	287	194	461	234	7.47	39829.2	153776	2024-05-10 04:32:58	7.07	False	True	False	True	2	b15619	0.0001553	155	155	155	53.5	2024-05-10 06:40:02.088973
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	332	204	591	309	6.74	42760.71	176945	2024-05-10 04:32:58	9.32	False	True	False	True	2	b15619	0.0001787	194	194	194	30.31	2024-05-10 06:42:17.417380
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	194	119	688	374	3.38	44524.38	191674	2024-05-10 04:32:58	11.59	False	True	False	True	2	b15619	0.0001936	218	218	218	19.48	2024-05-10 06:44:33.462474
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	185	121	788	437	2.82	50774.33	248956	2024-05-10 04:32:58	13.87	False	True	False	True	2	b15619	0.0002514	313	313	313	44.81	2024-05-10 06:46:50.242452
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	233	165	919	535	3.04	50151.24	241946	2024-05-10 04:32:58	16.13	False	True	False	True	2	b15619	0.0002443	302	302	302	21.37	2024-05-10 06:49:05.621676
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	225	163	999	593	2.7	51720.47	256720	2024-05-10 04:32:58	18.38	False	True	False	True	2	b15619	0.0002593	326	326	326	-0.18	2024-05-10 06:51:20.618148
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	145	116	1085	663	1.6	41527.43	165180	2024-05-10 04:32:58	20.66	False	True	False	True	2	b15619	0.0001668	174	174	174	-30.33	2024-05-10 06:53:37.399620
solana	raydium	8zwotc4kFbDMyyLvaWibfrHeHwjDuqmUDU3UU3HU9CxA	DZLXFtvKF6DTdtm3JnKZywmStGYLM7uLLoYs4srKFZ5T	MICHIWIFHAT	MICHIWIF	178	125	1181	719	1.81	46448.75	205844	2024-05-10 04:32:58	22.92	False	True	False	True	2	b15619	0.0002079	242	242	242	-20.31	2024-05-10 06:55:53.321260
