chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	122	58	122	58	12.0	12220.27	77995	2024-05-07 07:30:00	5.34	False	True	True	True	3	7defc9	0.0007799	66.48	66.48	66.48	66.48	2024-05-07 09:35:20.628756
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	112	71	191	98	7.04	12410.42	79400	2024-05-07 07:30:00	7.52	False	True	True	True	3	7defc9	0.0007940	69.48	69.48	69.48	5.14	2024-05-07 09:37:31.287305
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	122	92	249	152	5.88	15320.24	119139	2024-05-07 07:30:00	9.69	False	True	True	True	3	7defc9	0.001191	154	154	154	52.85	2024-05-07 09:39:41.380740
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	127	101	319	199	4.78	14531.27	106088	2024-05-07 07:30:00	11.87	False	True	True	True	3	7defc9	0.001060	126	126	126	21.02	2024-05-07 09:41:52.086705
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	132	93	380	243	4.17	15080.29	112755	2024-05-07 07:30:00	14.03	False	True	True	True	3	7defc9	0.001127	141	141	141	-3.25	2024-05-07 09:44:01.701267
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	121	90	437	286	3.32	15477.97	117522	2024-05-07 07:30:00	16.2	False	True	True	True	3	7defc9	0.001175	151	151	151	3.41	2024-05-07 09:46:12.270364
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	99	82	493	334	2.41	17125.57	142408	2024-05-07 07:30:00	18.4	False	True	True	True	3	7defc9	0.001424	204	204	204	8.82	2024-05-07 09:48:24.179412
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	95	83	538	374	2.12	17069.09	140395	2024-05-07 07:30:00	20.57	False	True	True	True	3	7defc9	0.001403	200	200	200	0.88	2024-05-07 09:50:34.252320
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	108	95	601	429	2.16	18241.22	158800	2024-05-07 07:30:00	22.77	False	True	True	True	3	7defc9	0.001587	239	239	239	11.51	2024-05-07 09:52:46.416684
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	107	97	645	471	1.99	18512.89	161812	2024-05-07 07:30:00	24.96	False	True	True	True	3	7defc9	0.001618	245	245	245	15.25	2024-05-07 09:54:57.453970
solana	raydium	2WrPuzkJgr74JLsngBriAXEiS9m5MuXpnbu7uEfmsbD8	DasRmhfo1r163MdHrxVHvbhF4MaXEPaWjjncUiLcQC1E	PonySwap	PONY	109	101	698	519	1.87	19003.02	169058	2024-05-07 07:30:00	27.14	False	True	True	True	3	7defc9	0.001690	261	261	261	-6.43	2024-05-07 09:57:08.593743
