chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	7	4	71	60	1.18	2524.18	10135139	2024-05-07 08:05:52	67.75	False	True	True	True	3	769b81	0.01013	217174	217174	141714	97566	2024-05-07 11:13:36.925306
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	4	0	63	56	0.76	2524.18	10135139	2024-05-07 08:05:52	69.95	False	True	True	True	3	769b81	0.01013	217174	217174	110458	87831	2024-05-07 11:15:48.866751
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	58	51		2524.18	10135139	2024-05-07 08:05:52	72.19	False	True	True	True	3	769b81	0.01013	217174	217174	102434	0	2024-05-07 11:18:03.321575
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	48	49		2524.18	10135139	2024-05-07 08:05:52	74.39	False	True	True	True	3	769b81	0.01013	217174	217174	79601	0	2024-05-07 11:20:15.140378
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	46	44		2524.18	10135139	2024-05-07 08:05:52	76.58	False	True	True	True	3	769b81	0.01013	217174	217174	95801	0	2024-05-07 11:22:26.502345
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	42	41		2524.18	10135139	2024-05-07 08:05:52	78.75	False	True	True	True	3	769b81	0.01013	217174	217174	82206	0	2024-05-07 11:24:36.820560
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	40	41		2524.18	10135139	2024-05-07 08:05:52	80.94	False	True	True	True	3	769b81	0.01013	217174	217174	77579	0	2024-05-07 11:26:48.692954
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	39	37		2524.18	10135139	2024-05-07 08:05:52	83.16	False	True	True	True	3	769b81	0.01013	217174	217174	94035	0	2024-05-07 11:29:01.578396
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	35	36		2524.18	10135139	2024-05-07 08:05:52	85.35	False	True	True	True	3	769b81	0.01013	217174	217174	81759	0	2024-05-07 11:31:12.892374
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	33	34		2524.18	10135139	2024-05-07 08:05:52	87.5	False	True	True	True	3	769b81	0.01013	217174	217174	87739	0	2024-05-07 11:33:22.223253
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	29	31		2524.18	10135139	2024-05-07 08:05:52	89.71	False	True	True	True	3	769b81	0.01013	217174	217174	79976	0	2024-05-07 11:35:34.379959
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	29	31		2524.18	10135139	2024-05-07 08:05:52	91.9	False	True	True	True	3	769b81	0.01013	217174	217174	79976	0	2024-05-07 11:37:45.741364
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	27	27		2524.18	10135139	2024-05-07 08:05:52	94.07	False	True	True	True	3	769b81	0.01013	217174	217174	96822	0	2024-05-07 11:39:55.909725
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	24	24		2524.18	10135139	2024-05-07 08:05:52	96.23	False	True	True	True	3	769b81	0.01013	217174	217174	87079	0	2024-05-07 11:42:05.541502
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	20	21		2524.18	10135139	2024-05-07 08:05:52	98.41	False	True	True	True	3	769b81	0.01013	217174	217174	86126	0	2024-05-07 11:44:16.646455
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	18	18		2524.18	10135139	2024-05-07 08:05:52	100.61	False	True	True	True	3	769b81	0.01013	217174	217174	83232	0	2024-05-07 11:46:28.781975
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	18	18		2524.18	10135139	2024-05-07 08:05:52	102.82	False	True	True	True	3	769b81	0.01013	217174	217174	83232	0	2024-05-07 11:48:41.145213
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	18	18		2524.18	10135139	2024-05-07 08:05:52	105.01	False	True	True	True	3	769b81	0.01013	217174	217174	83232	0	2024-05-07 11:50:52.860678
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	18	18		2524.18	10135139	2024-05-07 08:05:52	107.18	False	True	True	True	3	769b81	0.01013	217174	217174	83232	0	2024-05-07 11:53:02.825987
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	18	18		2524.18	10135139	2024-05-07 08:05:52	109.38	False	True	True	True	3	769b81	0.01013	217174	217174	83232	0	2024-05-07 11:55:14.809170
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	17	18		2524.18	10135139	2024-05-07 08:05:52	111.56	False	True	True	True	3	769b81	0.01013	217174	217174	78885	0	2024-05-07 11:57:25.429014
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	16	16		2524.18	10135139	2024-05-07 08:05:52	113.75	False	True	True	True	3	769b81	0.01013	217174	217174	85945	0	2024-05-07 11:59:36.870392
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	13	13		2524.18	10135139	2024-05-07 08:05:52	115.96	False	True	True	True	3	769b81	0.01013	217174	217174	79279	0	2024-05-07 12:01:49.404254
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	13	13		2524.18	10135139	2024-05-07 08:05:52	118.13	False	True	True	True	3	769b81	0.01013	217174	217174	79279	0	2024-05-07 12:03:59.739632
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	12	10		2524.18	10135139	2024-05-07 08:05:52	120.31	False	True	True	True	3	769b81	0.01013	217174	217174	91329	0	2024-05-07 12:06:10.635933
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	8	6		2524.18	10135139	2024-05-07 08:05:52	122.48	False	True	True	True	3	769b81	0.01013	217174	217174	91373	0	2024-05-07 12:08:20.771748
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	4	0		2524.18	10135139	2024-05-07 08:05:52	124.64	False	True	True	True	3	769b81	0.01013	217174	217174	87831	0	2024-05-07 12:10:30.127666
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	0	0		2524.18	10135139	2024-05-07 08:05:52	126.79	False	True	True	True	3	769b81	0.01013	217174	217174	0	0	2024-05-07 12:12:39.488096
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	0	0		2524.18	10135139	2024-05-07 08:05:52	129.0	False	True	True	True	3	769b81	0.01013	217174	217174	0	0	2024-05-07 12:14:51.999977
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	0	0		2524.18	10135139	2024-05-07 08:05:52	131.2	False	True	True	True	3	769b81	0.01013	217174	217174	0	0	2024-05-07 12:17:03.904530
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	1	0	1	0	12.0	15651.55	62908537	2024-05-07 08:05:52	133.37	False	True	True	True	3	769b81	0.06290	1348515	1348515	521	521	2024-05-07 12:19:14.476129
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	1	0	1	0	12.0	15651.55	62908537	2024-05-07 08:05:52	135.56	False	True	True	True	3	769b81	0.06290	1348515	1348515	521	521	2024-05-07 12:21:25.586691
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	1	0	2	0	6.0	116486.77	468280113	2024-05-07 08:05:52	137.72	False	True	True	True	3	769b81	0.4682	10038754	10038754	4520	644	2024-05-07 12:23:35.399520
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	2	0	3	0	8.0	293723.5	1180797318	2024-05-07 08:05:52	139.89	False	True	True	True	3	769b81	1.18	25313491	25313491	11551	1777	2024-05-07 12:25:45.680110
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	2	0	3	0	8.0	293723.5	1180797318	2024-05-07 08:05:52	142.08	False	True	True	True	3	769b81	1.18	25313491	25313491	11551	1777	2024-05-07 12:27:56.764938
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	3	0		293723.5	1180797318	2024-05-07 08:05:52	144.28	False	True	True	True	3	769b81	1.18	25313491	25313491	11551	0	2024-05-07 12:30:08.725469
solana	raydium	79bRgNBTP9QN6n7GHd257A47rFNJYKx767oM3e5dTR9N	DogUV6865APawuuGpUjkAqjZ3FRgLCh2qNbZ9Ye1GiPn	DOGHUB	DOGHUB	0	0	3	0		293723.5	1180797318	2024-05-07 08:05:52	146.46	False	True	True	True	3	769b81	1.18	25313491	25313491	11551	0	2024-05-07 12:32:19.537196
