chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	9	6	149	109	0.72	26057.45	53304	2024-05-18 14:07:49	36.02	False	True	True	True	3	95c108	0.00005978	-15.28	-15.28	-15.28	-2.96	2024-05-18 16:43:50.015625
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	8	10	151	114	0.64	25935.91	52913	2024-05-18 14:07:49	38.32	False	True	True	True	3	95c108	0.00005934	-15.9	-15.9	-15.9	-4.5	2024-05-18 16:46:08.130586
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	4	6	152	114	0.32	25944.68	52906	2024-05-18 14:07:49	40.65	False	True	True	True	3	95c108	0.00005933	-15.92	-15.92	-15.92	-2.63	2024-05-18 16:48:28.278655
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	2	2	154	116	0.16	25369.52	50633	2024-05-18 14:07:49	43.03	False	True	True	True	3	95c108	0.00005678	-19.53	-19.53	-19.53	-4.3	2024-05-18 16:50:50.640612
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	4	4	156	118	0.31	25493.46	51087	2024-05-18 14:07:49	45.39	False	True	True	True	3	95c108	0.00005729	-18.81	-18.81	-18.81	-3.44	2024-05-18 16:53:12.332765
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	2	3	156	119	0.15	25520.18	51111	2024-05-18 14:07:49	47.72	False	True	True	True	3	95c108	0.00005732	-18.77	-18.77	-18.77	3.71	2024-05-18 16:55:32.018450
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	1	2	157	120	0.08	25699.18	51882	2024-05-18 14:07:49	50.1	False	True	True	True	3	95c108	0.00005818	-17.54	-17.54	-17.54	1.55	2024-05-18 16:57:54.863294
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	2	4	158	123	0.15	25613.58	51523	2024-05-18 14:07:49	52.46	False	True	True	True	3	95c108	0.00005778	-18.11	-18.11	-18.11	0.8	2024-05-18 17:00:16.355856
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	6	0	18	13	4.0	25559.03	51745	2024-05-18 14:07:49	174.71	False	True	True	True	3	95c108	0.00005803	-17.76	-17.76	9.66	21.4	2024-05-18 19:02:31.828355
solana	raydium	JB1NAxctkXuMbkfVEFA5Mw1SDyKq4bzf1FngpPGioUsg	Dpf2LxgXJcX281SEUbw9QwFWdTorxJcFJh9kcDhAwxnN	McBag	McB	6	2	19	14	3.79	25576.46	51665	2024-05-18 14:07:49	177.14	False	True	True	True	3	95c108	0.00005794	-17.89	-17.89	6.3	7.94	2024-05-18 19:04:57.488170
