chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	150	104	620	341	2.9	37542.33	138175	2024-05-08 00:32:11	20.87	False	True	True	True	3	b77395	0.0001381	117	117	117	-16.37	2024-05-08 02:53:03.257824
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	129	89	697	394	2.22	46516.14	211765	2024-05-08 00:32:11	23.13	False	True	True	True	3	b77395	0.0002117	232	232	232	58.92	2024-05-08 02:55:18.587285
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	156	110	768	445	2.44	41582.36	168511	2024-05-08 00:32:11	25.42	False	True	True	True	3	b77395	0.0001685	164	164	164	1.23	2024-05-08 02:57:36.381124
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	116	82	824	482	1.69	42137.6	172639	2024-05-08 00:32:11	27.7	False	True	True	True	3	b77395	0.0001726	171	171	171	0.41	2024-05-08 02:59:53.193675
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	120	87	889	534	1.62	33320.49	107720	2024-05-08 00:32:11	30.01	False	True	True	True	3	b77395	0.0001077	68.79	68.79	68.79	-43.75	2024-05-08 03:02:11.309270
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	153	138	974	615	1.89	28815.37	80406	2024-05-08 00:32:11	32.28	False	True	True	True	3	b77395	0.00008040	25.99	25.99	25.99	-56.81	2024-05-08 03:04:27.546649
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	149	119	1046	663	1.71	26043.97	65339	2024-05-08 00:32:11	34.59	False	True	True	True	3	b77395	0.00006533	2.38	2.38	2.38	-37.64	2024-05-08 03:06:46.240312
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	145	79	1186	742	1.47	24069.7	55211	2024-05-08 00:32:11	39.15	False	True	True	True	3	b77395	0.00005521	-13.49	-13.49	-13.49	-8.68	2024-05-08 03:11:19.811302
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	64	22	1310	857	0.59	23838.48	54019	2024-05-08 00:32:11	50.63	False	True	True	True	3	b77395	0.00005401	-15.35	-15.35	-15.35	65.69	2024-05-08 03:22:49.021235
solana	raydium	5GfmMWugVE7TjUwXWdkF23HdNg8eQty76ApKqhA36naz	DpvQuw5KowQjiT7iyUDtVXsMynoHX187pxWnuAw2rkuZ	NEKONET	NEKONET	62	30	1330	878	0.56	23112.82	50885	2024-05-08 00:32:11	53.03	False	True	True	True	3	b77395	0.00005088	-20.26	-20.26	-20.26	36.97	2024-05-08 03:25:12.647553
