chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	309	251	881	549	4.21	10115.63	64529	2024-05-08 04:26:32	11.94	False	True	True	True	3	b8b0db	0.006452	4231	4231	4231	50.95	2024-05-08 06:38:28.455357
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	272	251	1012	681	3.23	11465.69	82152	2024-05-08 04:26:32	14.22	False	True	True	True	3	b8b0db	0.008215	5414	5414	5414	145	2024-05-08 06:40:45.411486
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	288	248	1181	807	2.93	9189.42	52214	2024-05-08 04:26:32	16.49	False	True	True	True	3	b8b0db	0.005221	3404	3404	3404	-17.6	2024-05-08 06:43:01.408782
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	336	362	1341	1040	3.01	11462.48	80001	2024-05-08 04:26:32	18.77	False	True	True	True	3	b8b0db	0.008000	5269	5269	5269	17.78	2024-05-08 06:45:18.060292
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	207	270	1441	1117	1.72	10543.78	67169	2024-05-08 04:26:32	21.05	False	True	True	True	3	b8b0db	0.006716	4408	4408	4408	7.85	2024-05-08 06:47:34.715346
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	159	113	1519	1169	1.26	9595.37	55307	2024-05-08 04:26:32	23.3	False	True	True	True	3	b8b0db	0.005530	3612	3612	3612	-26.94	2024-05-08 06:49:50.143504
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	125	103	1566	1220	0.96	10239.34	62796	2024-05-08 04:26:32	25.64	False	True	True	True	3	b8b0db	0.006279	4115	4115	4115	-6.51	2024-05-08 06:52:10.173804
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	136	135	1634	1286	1.0	11049.18	72703	2024-05-08 04:26:32	27.9	False	True	True	True	3	b8b0db	0.007270	4779	4779	4779	10.94	2024-05-08 06:54:26.139642
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	141	110	1712	1341	0.99	11044.78	72385	2024-05-08 04:26:32	30.18	False	True	True	True	3	b8b0db	0.007238	4758	4758	4758	15.64	2024-05-08 06:56:42.673694
solana	raydium	GCiQEEwqzUGwHwmrXhjmokyhTQ2mEskkYZran8QiRMSn	DuLBVBThfhzKxR7ZobrW8yWrkEcyCuR1QcDoHKGQAxy6	pengi	pengi	162	120	1796	1406	1.08	11315.35	75503	2024-05-08 04:26:32	32.44	False	True	True	True	3	b8b0db	0.007550	4967	4967	4967	3.85	2024-05-08 06:58:58.121671
