chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	186	96	623	272	3.58	45030.59	322454	2024-05-19 16:39:33	11.98	False	True	True	True	3	ae8c56	0.0003224	10046	10046	10046	-2.3	2024-05-19 18:51:32.014956
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	179	107	714	343	3.01	39206.79	243310	2024-05-19 16:39:33	14.61	False	True	True	True	3	ae8c56	0.0002433	7555	7555	7555	-0.86	2024-05-19 18:54:09.807047
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	164	111	812	408	2.42	38121.31	228318	2024-05-19 16:39:33	17.26	False	True	True	True	3	ae8c56	0.0002283	7084	7084	7084	-22.16	2024-05-19 18:56:48.669204
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	131	102	894	477	1.76	35005.56	191584	2024-05-19 16:39:33	19.92	False	True	True	True	3	ae8c56	0.0001915	5928	5928	5928	-16.12	2024-05-19 18:59:27.998348
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	143	109	970	533	1.77	38896.42	234214	2024-05-19 16:39:33	22.53	False	True	True	True	3	ae8c56	0.0002342	7269	7269	7269	10.57	2024-05-19 19:02:05.015441
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	104	82	1036	580	1.2	37140.3	211795	2024-05-19 16:39:33	25.17	False	True	True	True	3	ae8c56	0.0002117	6564	6564	6564	1.51	2024-05-19 19:04:43.143087
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	110	80	1086	614	1.22	39561.87	239849	2024-05-19 16:39:33	27.8	False	True	True	True	3	ae8c56	0.0002398	7447	7447	7447	2.48	2024-05-19 19:07:21.286722
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	93	70	1142	658	0.98	42321.83	272142	2024-05-19 16:39:33	30.43	False	True	True	True	3	ae8c56	0.0002721	8463	8463	8463	7.89	2024-05-19 19:09:58.988421
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	109	82	1217	715	1.07	38750.9	225728	2024-05-19 16:39:33	33.06	False	True	True	True	3	ae8c56	0.0002257	7002	7002	7002	-3.62	2024-05-19 19:12:36.440770
solana	raydium	8HNxmktAVFaut27VD7CcFmMvGm6WoEeYrmr1ueTGbkaw	DuSXXwimjUiQbeNDNQtxNoM7v8gTJcy6zNhfJ8pLrcb7	NAKE ME AI	NAKE	132	88	1283	755	1.23	38826.65	223989	2024-05-19 16:39:33	35.67	False	True	True	True	3	ae8c56	0.0002239	6948	6948	6948	-21.88	2024-05-19 19:15:13.432131
