chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	58	36	1026	787	0.68	48703.76	350332	2024-05-06 21:06:05	31.69	False	True	True	True	3	550008	0.0003941	21517	21517	21517	59.85	2024-05-06 23:37:46.666980
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	76	53	1061	816	0.86	45462.79	305301	2024-05-06 21:06:05	33.88	False	True	True	True	3	550008	0.0003434	18738	18738	18738	41.35	2024-05-06 23:39:57.638890
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	87	64	1106	845	0.94	46062.91	312529	2024-05-06 21:06:05	36.11	False	True	True	True	3	550008	0.0003515	19184	19184	19184	-7.05	2024-05-06 23:42:11.772075
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	91	52	1147	868	0.95	44616.69	293219	2024-05-06 21:06:05	38.36	False	True	True	True	3	550008	0.0003298	17993	17993	17993	0.66	2024-05-06 23:44:26.824250
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	67	44	1179	889	0.68	41134.35	248915	2024-05-06 21:06:05	40.61	False	True	True	True	3	550008	0.0002800	15259	15259	15259	-25.89	2024-05-06 23:46:41.458948
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	92	53	1241	923	0.89	35733.2	187337	2024-05-06 21:06:05	42.84	False	True	True	True	3	550008	0.0002107	11459	11459	11459	-32.93	2024-05-06 23:48:55.134036
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	108	67	1285	954	1.01	35918.64	188753	2024-05-06 21:06:05	45.04	False	True	True	True	3	550008	0.0002123	11547	11547	11547	-32.6	2024-05-06 23:51:07.503904
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	120	78	1344	998	1.07	32121.15	150295	2024-05-06 21:06:05	47.22	False	True	True	True	3	550008	0.0001690	9174	9174	9174	-11.07	2024-05-06 23:53:17.948026
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	104	89	1383	1038	0.9	25710.69	96316	2024-05-06 21:06:05	49.4	False	True	True	True	3	550008	0.0001083	5843	5843	5843	-51.61	2024-05-06 23:55:29.128587
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	60	68	1410	1070	0.51	24141.21	84457	2024-05-06 21:06:05	51.65	False	True	True	True	3	550008	0.00009501	5111	5111	5111	-43.12	2024-05-06 23:57:44.068864
solana	raydium	8bqCp7MHF2fvk33ig2sJfWsYzrUmv1xSnbC89y9XKKNk	E3dNPxgSY4Et9tCL4f4hXjks3JM3ojZ8NtWqiy41xSMK	WONTON	WONTON	30	56	1415	1094	0.25	19447.35	54778	2024-05-06 21:06:05	53.83	False	True	True	True	3	550008	0.00006162	3280	3280	3280	-43.81	2024-05-06 23:59:54.609315
