chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	29	5	98	38	3.55	24295.8	59307	2024-05-11 03:18:18	320.73	False	True	False	True	2	e0c98d	0.00005930	6.21	6.21	114	68.13	2024-05-11 10:39:01.731980
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	38	7	109	40	4.18	26469.49	70317	2024-05-11 03:18:18	322.98	False	True	False	True	2	e0c98d	0.00007031	25.93	25.93	141	82.96	2024-05-11 10:41:17.016229
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	29	8	127	45	2.74	28946.6	84149	2024-05-11 03:18:18	325.24	False	True	False	True	2	e0c98d	0.00008414	50.7	50.7	187	39.23	2024-05-11 10:43:32.512884
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	43	26	148	63	3.49	32682.86	107217	2024-05-11 03:18:18	327.51	False	True	False	True	2	e0c98d	0.0001072	92.01	92.01	251	52.04	2024-05-11 10:45:48.734647
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	37	25	157	68	2.83	33821.49	114779	2024-05-11 03:18:18	329.79	False	True	False	True	2	e0c98d	0.0001147	106	106	265	36.4	2024-05-11 10:48:05.314198
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	32	22	169	77	2.27	35456	126200	2024-05-11 03:18:18	332.07	False	True	False	True	2	e0c98d	0.0001262	126	126	298	30.4	2024-05-11 10:50:22.264380
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	14	25	172	91	0.98	32410.44	105226	2024-05-11 03:18:18	334.35	False	True	False	True	2	e0c98d	0.0001052	88.44	88.44	221	-14.22	2024-05-11 10:52:39.058939
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	9	34	173	108	0.62	29811.53	89067	2024-05-11 03:18:18	336.62	False	True	False	True	2	e0c98d	0.00008906	59.5	59.5	169	-27.39	2024-05-11 10:54:55.261801
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	15	25	179	110	1.01	33001.51	109149	2024-05-11 03:18:18	338.89	False	True	False	True	2	e0c98d	0.0001091	95.47	95.47	244	2.77	2024-05-11 10:57:11.391858
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	12	11	185	115	0.78	31426.11	99117	2024-05-11 03:18:18	341.14	False	True	False	True	2	e0c98d	0.00009911	77.5	77.5	282	7.98	2024-05-11 10:59:26.618855
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	26	8	203	114	1.54	36122.09	130860	2024-05-11 03:18:18	343.41	False	True	False	True	2	e0c98d	0.0001308	134	134	411	19.89	2024-05-11 11:01:42.655091
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	34	11	217	124	1.88	35642.09	127235	2024-05-11 03:18:18	345.68	False	True	False	True	2	e0c98d	0.0001272	128	128	397	28.37	2024-05-11 11:03:58.957130
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	26	20	229	133	1.36	37356.31	139687	2024-05-11 03:18:18	347.98	False	True	False	True	2	e0c98d	0.0001396	150	150	449	6.75	2024-05-11 11:06:17.047589
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	17	17	236	141	0.86	37303.59	139390	2024-05-11 03:18:18	350.29	False	True	False	True	2	e0c98d	0.0001393	150	150	442	0.59	2024-05-11 11:08:35.351315
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	13	11	243	143	0.64	37753.94	142378	2024-05-11 03:18:18	352.56	False	True	False	True	2	e0c98d	0.0001423	155	155	472	-5.06	2024-05-11 11:10:51.591953
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	10	9	245	147	0.49	36221.36	131019	2024-05-11 03:18:18	354.84	False	True	False	True	2	e0c98d	0.0001310	135	135	425	-7.02	2024-05-11 11:13:08.542421
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	6	10	247	152	0.29	34799.52	120928	2024-05-11 03:18:18	357.1	False	True	False	True	2	e0c98d	0.0001209	117	117	384	-15.62	2024-05-11 11:15:24.046088
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	6	5	249	152	0.29	35001.77	122172	2024-05-11 03:18:18	359.37	False	True	False	True	2	e0c98d	0.0001221	119	119	392	-3.12	2024-05-11 11:17:40.180525
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	9	4	250	154	0.43	34633.46	119570	2024-05-11 03:18:18	361.65	False	True	False	True	2	e0c98d	0.0001195	114	322	313	-1.12	2024-05-11 11:19:56.850890
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	10	7	252	158	0.48	34486.04	118727	2024-05-11 03:18:18	363.94	False	True	False	True	2	e0c98d	0.0001187	113	553	291	-2.82	2024-05-11 11:22:14.125411
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	9	12	247	165	0.44	31916.49	101717	2024-05-11 03:18:18	366.2	False	True	False	True	2	e0c98d	0.0001017	82.16	404	210	-14.64	2024-05-11 11:24:30.293313
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	11	16	254	173	0.52	31643.43	99945	2024-05-11 03:18:18	368.48	False	True	False	True	2	e0c98d	0.00009994	78.99	773	204	-9.93	2024-05-11 11:26:46.691777
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	8	11	238	170	0.4	31549.19	99350	2024-05-11 03:18:18	370.74	False	True	False	True	2	e0c98d	0.00009935	77.92	301	137	-2.33	2024-05-11 11:29:02.642500
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	1	4	236	171	0.05	30942.28	95347	2024-05-11 03:18:18	373.0	False	True	False	True	2	e0c98d	0.00009534	70.75	161	116	-4.6	2024-05-11 11:31:18.051345
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	3	5	232	171	0.16	30648.89	93431	2024-05-11 03:18:18	375.28	False	True	False	True	2	e0c98d	0.00009343	67.32	102	162	-5.96	2024-05-11 11:33:34.935915
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	5	5	230	173	0.26	30417.11	92131	2024-05-11 03:18:18	377.55	False	True	False	True	2	e0c98d	0.00009213	64.99	242	140	-3.37	2024-05-11 11:35:50.777764
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	4	7	208	174	0.23	29126.32	84261	2024-05-11 03:18:18	379.81	False	True	False	True	2	e0c98d	0.00008426	50.9	211	47.38	-9.81	2024-05-11 11:38:06.397802
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	9	8	207	175	0.52	29369.36	85764	2024-05-11 03:18:18	382.09	False	True	False	True	2	e0c98d	0.00008576	53.59	317	33.06	-6.91	2024-05-11 11:40:23.670831
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	9	4	186	169	0.58	30366.8	91657	2024-05-11 03:18:18	384.4	False	True	False	True	2	e0c98d	0.00009165	64.14	347	8.92	14.73	2024-05-11 11:42:42.009151
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	11	7	175	161	0.75	31602.78	99332	2024-05-11 03:18:18	386.66	False	True	False	True	2	e0c98d	0.00009933	77.89	445	2.64	15.72	2024-05-11 11:44:57.619766
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	11	10	160	155	0.82	31079.71	95962	2024-05-11 03:18:18	388.93	False	True	False	True	2	e0c98d	0.00009596	71.85	368	-16.77	4.7	2024-05-11 11:47:13.677779
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	9	8	153	147	0.71	32557.65	105179	2024-05-11 03:18:18	391.2	False	True	False	True	2	e0c98d	0.0001051	88.36	321	-16.43	5.24	2024-05-11 11:49:30.290228
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	11	1	154	131	0.86	33996.06	114761	2024-05-11 03:18:18	393.49	False	True	False	True	2	e0c98d	0.0001147	106	319	8.05	17.51	2024-05-11 11:51:47.465414
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	12	5	155	115	0.93	34379.89	117368	2024-05-11 03:18:18	395.74	False	True	False	True	2	e0c98d	0.0001173	110	390	32.31	11.59	2024-05-11 11:54:02.529585
solana	raydium	3z6mUVaDWf9cVCnjG1hv7sb9bvNuxLPBdGpk13Civm7X	E9P7aDEx4gPVG6UeYqZkwzFTAptKpJz98rCTjsfDrfWG	puf	puf	10	7	150	115	0.8	34576.91	118740	2024-05-11 03:18:18	398.02	False	True	False	True	2	e0c98d	0.0001187	113	436	24.79	4.1	2024-05-11 11:56:19.280590
