chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	74	25	74	25	12.0	27428.41	73852	2024-05-06 19:26:45	1.36	False	False	True	True	3	73e5e0	0.00007535	14.96	14.96	14.96	14.96	2024-05-06 21:28:06.816395
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	238	116	238	116	12.0	26993.24	71150	2024-05-06 19:26:45	3.61	False	False	True	True	3	73e5e0	0.00007260	10.75	10.75	10.75	10.75	2024-05-06 21:30:21.693687
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	150	94	393	212	4.58	23989.45	55673	2024-05-06 19:26:45	8.11	False	False	True	True	3	73e5e0	0.00005680	-13.34	-13.34	-13.34	-20.92	2024-05-06 21:34:51.504370
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	76	63	457	272	2.0	24296.02	56924	2024-05-06 19:26:45	12.64	False	False	True	True	3	73e5e0	0.00005808	-11.39	-11.39	-11.39	21.36	2024-05-06 21:39:23.380742
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	69	51	482	294	1.72	27064.99	70668	2024-05-06 19:26:45	14.87	False	False	True	True	3	73e5e0	0.00007210	10	10	10	56.61	2024-05-06 21:41:37.452376
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	53	49	513	324	1.24	23876.71	54581	2024-05-06 19:26:45	17.08	False	False	True	True	3	73e5e0	0.00005569	-15.04	-15.04	-15.04	-4.27	2024-05-06 21:43:49.916979
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	48	41	531	335	1.08	25215.07	60887	2024-05-06 19:26:45	19.3	False	False	True	True	3	73e5e0	0.00006212	-5.23	-5.23	-5.23	-13.81	2024-05-06 21:46:03.276650
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	44	27	551	345	0.96	24022.61	55011	2024-05-06 19:26:45	21.54	False	False	True	True	3	73e5e0	0.00005613	-14.37	-14.37	-14.37	-1.48	2024-05-06 21:48:17.336026
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	56	17	589	353	1.14	25095.46	60040	2024-05-06 19:26:45	23.77	False	False	True	True	3	73e5e0	0.00006126	-6.54	-6.54	-6.54	-1.44	2024-05-06 21:50:30.920641
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	43	8	773	481	0.67	23245.64	51038	2024-05-06 19:26:45	48.31	False	False	True	True	3	73e5e0	0.00005207	-20.56	-20.56	-20.56	13.49	2024-05-06 22:15:03.805556
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	14	3	37	17	4.54	24126.62	54224	2024-05-06 19:26:45	243.46	False	True	True	True	3	55d36a	0.00005533	-15.6	-15.6	60.18	27.61	2024-05-07 01:30:12.638301
solana	raydium	FxjGHTErvUFjqoyyfQoSvLrvqn1NF9ErAGEBLQqAqLWX	EQCHMKB9Uzui4oneJfpJc85c5JZGogL7HWhUcz2nUtSt	PONDA	PONDA	11	2	41	16	3.22	24387.96	55403	2024-05-06 19:26:45	245.64	False	True	True	True	3	55d36a	0.00005653	-13.76	-13.76	66.35	14.39	2024-05-07 01:32:23.641533
