chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	88	63	527	338	2.0	29452.97	82280	2024-05-07 00:54:13	14.04	False	True	False	True	2	10553d	0.00008228	23.88	23.88	23.88	80.57	2024-05-07 03:08:15.303395
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	74	64	552	369	1.61	24483.5	56756	2024-05-07 00:54:13	16.22	False	True	False	True	2	10553d	0.00005675	-14.55	-14.55	-14.55	58.93	2024-05-07 03:10:26.380098
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	54	37	587	381	1.1	29683.5	83139	2024-05-07 00:54:13	18.41	False	True	False	True	2	10553d	0.00008313	25.18	25.18	25.18	8.77	2024-05-07 03:12:37.756175
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	101	53	653	422	1.86	41279.15	160063	2024-05-07 00:54:13	20.58	False	True	False	True	2	10553d	0.0001600	141	141	141	182	2024-05-07 03:14:47.956703
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	148	96	735	477	2.42	40049.34	150127	2024-05-07 00:54:13	22.79	False	True	False	True	2	10553d	0.0001501	126	126	126	80.57	2024-05-07 03:17:00.467353
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	161	91	804	511	2.4	41662.08	162336	2024-05-07 00:54:13	24.97	False	True	False	True	2	10553d	0.0001623	144	144	144	9.28	2024-05-07 03:19:11.353831
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	144	72	862	539	2.0	42894.11	171396	2024-05-07 00:54:13	27.14	False	True	False	True	2	10553d	0.0001713	158	158	158	3.85	2024-05-07 03:21:21.254539
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	112	65	893	566	1.51	38685.81	139312	2024-05-07 00:54:13	29.3	False	True	False	True	2	10553d	0.0001393	110	110	110	-7.7	2024-05-07 03:23:31.167365
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	91	66	954	607	1.14	37349.5	129813	2024-05-07 00:54:13	31.49	False	True	False	True	2	10553d	0.0001298	95.45	95.45	95.45	-16.08	2024-05-07 03:25:42.372346
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	95	69	990	640	1.15	31119.37	89771	2024-05-07 00:54:13	33.65	False	True	False	True	2	10553d	0.00008977	35.16	35.16	35.16	-19.57	2024-05-07 03:27:51.876510
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	78	50	1029	654	0.91	34634.44	111137	2024-05-07 00:54:13	35.82	False	True	False	True	2	10553d	0.0001111	67.33	67.33	67.33	-16.13	2024-05-07 03:30:02.236830
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	82	48	1055	682	0.93	28911.53	77148	2024-05-07 00:54:13	37.99	False	True	False	True	2	10553d	0.00007714	16.16	16.16	16.16	2.84	2024-05-07 03:32:12.239426
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	64	43	1078	695	0.71	30127.39	83575	2024-05-07 00:54:13	40.17	False	True	False	True	2	10553d	0.00008357	25.83	25.83	25.83	-15.95	2024-05-07 03:34:23.485680
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	44	23	1101	706	0.48	31865.2	93242	2024-05-07 00:54:13	42.35	False	True	False	True	2	10553d	0.00009324	40.39	40.39	40.39	20.66	2024-05-07 03:36:33.947763
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	43	17	1121	714	0.46	32988.77	99907	2024-05-07 00:54:13	44.52	False	True	False	True	2	10553d	0.00009990	50.42	50.42	50.42	29.18	2024-05-07 03:38:44.090991
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	27	22	1128	728	0.29	33347.91	101946	2024-05-07 00:54:13	46.7	False	True	False	True	2	10553d	0.0001019	53.49	53.49	53.49	9.33	2024-05-07 03:40:55.288166
solana	raydium	3m4LT3QCHCQHVfwvGTES2JGJ3UKXZtW7yfm8744YpLY2	EQPEHV99neP29MBjaQRLc6KaANPmdDegZBwdSSUMvr6z	HAT	HAT	14	28	1133	741	0.15	30779.96	86636	2024-05-07 00:54:13	48.88	False	True	False	True	2	10553d	0.00008663	30.44	30.44	30.44	-13.23	2024-05-07 03:43:05.871850
