chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	4	6	13	27	3.69	25531.49	156653	2024-05-09 09:20:15	365.91	False	True	True	True	3	369f28	0.1566	11077	8645	15.14	5.63	2024-05-09 17:26:09.561874
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	7	12	17	34	4.94	26406.89	166815	2024-05-09 09:20:15	368.19	False	True	True	True	3	369f28	0.1668	11802	9154	22.61	12.31	2024-05-09 17:28:26.625088
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	7	17	34	0.71	26406.89	166815	2024-05-09 09:20:15	370.53	False	True	True	True	3	369f28	0.1668	11802	8693	22.61	-4.47	2024-05-09 17:30:46.647573
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	17	35		26362.72	165930	2024-05-09 09:20:15	372.82	False	True	True	True	3	369f28	0.1659	11738	8240	21.96	-0.53	2024-05-09 17:33:03.984894
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	17	35		26362.72	165930	2024-05-09 09:20:15	375.11	False	True	True	True	3	369f28	0.1659	11738	8502	21.96	-0.53	2024-05-09 17:35:21.430441
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	0	17	35		26362.72	165930	2024-05-09 09:20:15	377.37	False	True	True	True	3	369f28	0.1659	11738	8609	21.96	0	2024-05-09 17:37:37.065913
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	0	17	34		26362.72	165930	2024-05-09 09:20:15	379.74	False	True	True	True	3	369f28	0.1659	11738	8605	21.23	0	2024-05-09 17:39:59.425618
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	0	16	34		26362.72	165930	2024-05-09 09:20:15	382.02	False	True	True	True	3	369f28	0.1659	11738	8529	20.85	0	2024-05-09 17:42:15.972645
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	16	35		26207.24	164659	2024-05-09 09:20:15	384.29	False	True	True	True	3	369f28	0.1646	11648	8297	19.92	-0.77	2024-05-09 17:44:32.148683
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	16	35		26207.24	164659	2024-05-09 09:20:15	386.59	False	True	True	True	3	369f28	0.1646	11648	8290	19.92	-0.77	2024-05-09 17:46:50.189240
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	0	17	35	0.71	26145.76	164716	2024-05-09 09:20:15	388.86	False	True	True	True	3	369f28	0.1647	11652	8348	19.96	0.03	2024-05-09 17:49:06.675182
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	0	17	35	0.71	26145.76	164716	2024-05-09 09:20:15	391.25	False	True	True	True	3	369f28	0.1647	11652	8357	19.96	0.03	2024-05-09 17:51:29.782139
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	16	35		26066.34	163806	2024-05-09 09:20:15	393.57	False	True	True	True	3	369f28	0.1638	11587	8959	19.64	-0.55	2024-05-09 17:53:49.019359
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	2	2	17	33	1.41	26699.11	171814	2024-05-09 09:20:15	395.84	False	True	True	True	3	369f28	0.1718	12158	9088	63.58	4.31	2024-05-09 17:56:05.304841
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	2	1	16	32	1.5	26699.11	171814	2024-05-09 09:20:15	398.13	False	True	True	True	3	369f28	0.1718	12158	9088	63.11	4.89	2024-05-09 17:58:23.046062
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	2	2	17	32	1.41	27223.94	178128	2024-05-09 09:20:15	400.41	False	True	True	True	3	369f28	0.1781	12609	9425	39.88	3.67	2024-05-09 18:00:39.429426
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	3	4	18	33	2.0	27071.91	175986	2024-05-09 09:20:15	402.72	False	True	True	True	3	369f28	0.1759	12456	9311	14.82	2.43	2024-05-09 18:02:58.276181
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	3	18	34	0.67	27096.03	175903	2024-05-09 09:20:15	405.0	False	True	True	True	3	369f28	0.1759	12450	9357	14.76	-1.25	2024-05-09 18:05:15.237209
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	2	18	35		26941.1	174009	2024-05-09 09:20:15	407.35	False	True	True	True	3	369f28	0.1740	12315	9255	13.53	-1.12	2024-05-09 18:07:36.010610
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	0	18	32		26941.1	174009	2024-05-09 09:20:15	409.62	False	True	True	True	3	369f28	0.1740	12315	9255	12.97	0	2024-05-09 18:09:52.131031
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	18	33		26956.24	173181	2024-05-09 09:20:15	411.93	False	True	True	True	3	369f28	0.1731	12256	9289	12.43	-0.48	2024-05-09 18:12:10.608380
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	18	32		26956.24	173181	2024-05-09 09:20:15	414.21	False	True	True	True	3	369f28	0.1731	12256	9297	13.46	-0.48	2024-05-09 18:14:27.681412
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	0	19	31	0.63	27046.11	174243	2024-05-09 09:20:15	416.49	False	True	True	True	3	369f28	0.1742	12331	9489	16.05	0.61	2024-05-09 18:16:44.657299
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	0	18	26	0.67	27046.11	174243	2024-05-09 09:20:15	418.77	False	True	True	True	3	369f28	0.1742	12331	9489	18.14	0.61	2024-05-09 18:19:01.266244
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	0	15	24	0.8	27046.11	174243	2024-05-09 09:20:15	421.03	False	True	True	True	3	369f28	0.1742	12331	9434	17.49	0.61	2024-05-09 18:21:16.864254
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	0	14	23		27046.11	174243	2024-05-09 09:20:15	423.3	False	True	True	True	3	369f28	0.1742	12331	9434	17.31	0	2024-05-09 18:23:32.967318
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	0	9	18	1.33	27163.95	175383	2024-05-09 09:20:15	425.56	False	True	True	True	3	369f28	0.1753	12413	9497	0.44	0.65	2024-05-09 18:25:48.795525
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	0	1	8	12		26081.47	161542	2024-05-09 09:20:15	427.82	False	True	True	True	3	369f28	0.1615	11425	8740	-3.16	-7.89	2024-05-09 18:28:04.114460
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	1	1	9	12	1.33	25134.89	150233	2024-05-09 09:20:15	430.12	False	True	True	True	3	369f28	0.1502	10618	8121	-9.94	-14.34	2024-05-09 18:30:22.121281
solana	raydium	5iejiztnauacWf78aqK1p6WZLoN3AXDwUWVfzJAKdzHG	EUroSPBddnvGhRGWj56S864XWG6wgJ42yLsHSNyAWBj	Albärt	Albärt	4	0	12	11	4.0	25451.71	154356	2024-05-09 09:20:15	432.42	False	True	True	True	3	369f28	0.1543	10913	8346	-6.97	-4.45	2024-05-09 18:32:40.196454
