chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	6	11	225	258	0.32	9781.72	68788	2024-05-08 19:31:31	70.99	False	True	True	True	3	1c1816	0.00006878	12053	12053	321	13.64	2024-05-08 22:42:30.193217
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	14	11	208	249	0.81	8421.14	51110	2024-05-08 19:31:31	77.9	False	True	True	True	3	1c1816	0.00005111	8930	8930	114	13.31	2024-05-08 22:49:24.823853
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	11	4	98	134	1.35	9561.73	65504	2024-05-08 19:31:31	119.3	False	True	True	True	3	1c1816	0.00006550	11473	11473	-2.9	103	2024-05-08 23:30:49.115952
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	14	12	96	129	1.75	9912.75	70208	2024-05-08 19:31:31	121.76	False	True	True	True	3	1c1816	0.00007020	12304	12304	-16.08	71.19	2024-05-08 23:33:16.640286
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	9	11	89	123	1.21	9732.65	67826	2024-05-08 19:31:31	124.03	False	True	True	True	3	1c1816	0.00006782	11883	11883	7.49	58.46	2024-05-08 23:35:32.816007
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	13	13	93	120	1.68	11594.4	96408	2024-05-08 19:31:31	126.34	False	True	True	True	3	1c1816	0.00009641	16933	16933	59.27	37.32	2024-05-08 23:37:51.188876
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	14	17	90	121	1.87	10604.42	80361	2024-05-08 19:31:31	128.6	False	True	True	True	3	1c1816	0.00008036	14098	14098	16.81	18.48	2024-05-08 23:40:06.950914
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	6	19	93	122	0.77	10005.88	71445	2024-05-08 19:31:31	130.88	False	True	True	True	3	1c1816	0.00007144	12522	12522	3.86	-31.89	2024-05-08 23:42:23.696489
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	12	10	93	109	1.55	9467.88	63909	2024-05-08 19:31:31	133.16	False	True	True	True	3	1c1816	0.00006391	11191	11191	50.46	-20.47	2024-05-08 23:44:40.719653
solana	raydium	BNXHa9PyByHeCoqE9a2FMbSpqjwbXt3ka5GyqSbC8EZy	EmW5mEGN6PY45mnEjLcYtC2X6tR8yjY9ccSis8UWMFKd	nubdoge	ndoge	9	5	89	108	1.21	8592.09	52623	2024-05-08 19:31:31	135.45	False	True	True	True	3	1c1816	0.00005262	9197	9197	22.31	-24.91	2024-05-08 23:46:58.082726
