chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	47	17	221	119	2.55	28399.63	79295	2024-05-10 11:43:38	28.82	False	True	False	True	2	ad2c88	0.00007929	34.71	34.71	34.71	37.58	2024-05-10 14:12:26.931485
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	39	16	239	129	1.96	28692.73	80683	2024-05-10 11:43:38	31.09	False	True	False	True	2	ad2c88	0.00008068	37.07	37.07	37.07	18.29	2024-05-10 14:14:43.329361
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	31	18	254	138	1.46	30490.9	90774	2024-05-10 11:43:38	33.39	False	True	False	True	2	ad2c88	0.00009077	54.21	54.21	54.21	15.38	2024-05-10 14:17:01.147734
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	32	24	270	153	1.42	28143.73	77396	2024-05-10 11:43:38	35.68	False	True	False	True	2	ad2c88	0.00007739	31.48	31.48	31.48	-3.27	2024-05-10 14:19:18.929825
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	25	34	277	170	1.08	24555.92	58924	2024-05-10 11:43:38	37.94	False	True	False	True	2	ad2c88	0.00005892	0.1	0.1	0.1	-38.61	2024-05-10 14:21:34.504497
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	27	23	297	179	1.09	28273.66	78074	2024-05-10 11:43:38	40.2	False	True	False	True	2	ad2c88	0.00007807	32.64	32.64	32.64	5.16	2024-05-10 14:23:50.035739
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	33	11	311	184	1.27	29331.28	84091	2024-05-10 11:43:38	42.48	False	True	False	True	2	ad2c88	0.00008409	42.86	42.86	42.86	43.01	2024-05-10 14:26:06.532630
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	24	15	318	194	0.91	29906.38	87425	2024-05-10 11:43:38	44.74	False	True	False	True	2	ad2c88	0.00008742	48.52	48.52	48.52	20.54	2024-05-10 14:28:22.625114
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	20	22	333	207	0.72	31318.88	95753	2024-05-10 11:43:38	47.02	False	True	False	True	2	ad2c88	0.00009575	62.67	62.67	62.67	12.94	2024-05-10 14:30:39.129308
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	15	18	337	213	0.53	30710.57	92057	2024-05-10 11:43:38	49.28	False	True	False	True	2	ad2c88	0.00009205	56.39	56.39	56.39	3.21	2024-05-10 14:32:54.867631
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	11	17	343	223	0.38	26521.71	68602	2024-05-10 11:43:38	51.54	False	True	False	True	2	ad2c88	0.00006860	16.54	16.54	16.54	-28.82	2024-05-10 14:35:10.371580
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	15	16	352	227	0.51	30841.65	92594	2024-05-10 11:43:38	53.8	False	True	False	True	2	ad2c88	0.00009259	57.3	57.3	57.3	-0.87	2024-05-10 14:37:25.955538
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	8	8	354	232	0.27	28852.45	81133	2024-05-10 11:43:38	56.05	False	True	False	True	2	ad2c88	0.00008113	37.83	37.83	37.83	1.04	2024-05-10 14:39:41.297133
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	3	10	355	238	0.1	27245.88	72352	2024-05-10 11:43:38	58.32	False	True	False	True	2	ad2c88	0.00007235	22.91	22.91	22.91	-21.63	2024-05-10 14:41:57.252362
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	10	8	321	235	0.37	28539.49	79500	2024-05-10 11:43:38	60.62	False	True	False	True	2	ad2c88	0.00007950	35.06	35.06	123	-2.01	2024-05-10 14:44:14.936485
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	15	5	282	223	0.64	30843.45	92722	2024-05-10 11:43:38	62.89	False	True	False	True	2	ad2c88	0.00009272	57.52	57.52	75.35	26.92	2024-05-10 14:46:31.209478
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	9	10	276	210	0.39	27330.67	72854	2024-05-10 11:43:38	65.15	False	True	False	True	2	ad2c88	0.00007285	23.77	23.77	58.42	-12.27	2024-05-10 14:48:46.776366
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	17	14	284	200	0.72	31142.28	94677	2024-05-10 11:43:38	67.4	False	True	False	True	2	ad2c88	0.00009467	60.84	60.84	245	-0.33	2024-05-10 14:51:01.772750
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	16	8	273	197	0.7	31215.49	94991	2024-05-10 11:43:38	69.67	False	True	False	True	2	ad2c88	0.00009499	61.38	61.38	195	13.26	2024-05-10 14:53:18.479556
solana	raydium	9BUc9YvBA8on8ov8fYqCsVswytbqCnmmDDJmRcV4ejnV	Ez1RbhRvHd17EgKXXCwgJEfkaaPMrNcN4jwaxo8WRh9C	Build the wall Crime will fall	WALL	11	8	268	196	0.49	29281.39	83577	2024-05-10 11:43:38	71.95	False	True	False	True	2	ad2c88	0.00008357	41.98	41.98	122	-12.75	2024-05-10 14:55:35.294636
