chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	6	6	118	134	0.61	1066.41	1129505	2024-05-07 11:40:00	31.15	False	True	True	True	5	b61b14	0.0004608	34856	34856	34856	594	2024-05-07 14:11:08.958231
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	15	112	130	241	1.38	1337.15	1766874	2024-05-07 11:40:00	33.44	False	True	True	True	5	b61b14	0.0007209	54582	54582	54582	1054	2024-05-07 14:13:26.559745
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	14	107	138	243	1.22	1257.75	1560621	2024-05-07 11:40:00	35.75	False	True	True	True	5	b61b14	0.0006368	48199	48199	48199	43.73	2024-05-07 14:15:44.902523
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	4	0	84	127	0.57	1020.83	1021036	2024-05-07 11:40:00	70.62	False	True	True	True	5	b61b14	0.0004166	31499	31499	1646	25.05	2024-05-07 14:50:37.109065
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	7	2	87	129	0.97	1004.04	987848	2024-05-07 11:40:00	75.25	False	True	True	True	5	b61b14	0.0004030	30472	30472	1439	-3.25	2024-05-07 14:55:14.979924
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	4	0	87	127	0.55	1081.61	1147014	2024-05-07 11:40:00	77.57	False	True	True	True	5	b61b14	0.0004680	35398	35398	1133	33.05	2024-05-07 14:57:34.287772
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	3	1	87	128	0.41	1085.62	1155936	2024-05-07 11:40:00	79.89	False	True	True	True	5	b61b14	0.0004716	35674	35674	892	17.02	2024-05-07 14:59:53.504767
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	2	1	84	128	0.29	1110.77	1209600	2024-05-07 11:40:00	82.2	False	True	True	True	5	b61b14	0.0004935	37335	37335	747	5.46	2024-05-07 15:02:11.954746
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	3	1	75	128	0.48	1087.24	1158903	2024-05-07 11:40:00	84.54	False	True	True	True	5	b61b14	0.0004728	35766	35766	615	0.26	2024-05-07 15:04:32.684138
solana	raydium	9MASpLJds5N7CWPNAEZRshtndZ1kxtjTqnQhjmTDoSGy	EzaJM9juGxZ1opg6yFgGKMvetCZ39RBA7DYVBqSWtss8	Marucoin	MARU	1	1	74	128	0.16	1087.24	1158903	2024-05-07 11:40:00	86.96	False	True	True	True	5	b61b14	0.0004728	35766	35766	613	-9.36	2024-05-07 15:06:57.556610
